key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.4786,space,5.4649,space,21.6567,space,8.865,space,1.8078,space,6.8466,89,PF,31.46875,93.62890625,1,0,0,response1disk_5,7,4.1858,0.7734375,-0.0625,1,0,0,rectangle_8,0.7734375,-0.0625,1,0,0,0.7734375,-0.0625,1,0,0,0,0,0,2,1,60fddf4bee48a7eaf1885893,61036f20d1f92de10ffb3f05,2021-07-29_22h17.20.970,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,PF,43.31640625,85.109375,1,0,0,response1disk_5,7,3.2176,-10.9140625,-15.31640625,1,0,0,rectangle_8,30.40625,58.55078125,1,0,0,2.3828125,1.08984375,1,0,0,0,1,1,4,1,60fddf4bee48a7eaf1885893,61036f20d1f92de10ffb3f05,2021-07-29_22h17.20.970,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.4009,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,PF,55.30078125,83.984375,1,0,0,response1disk_5,7,4.5841,-7.21484375,3.15625,1,0,0,rectangle_8,-7.21484375,3.15625,1,0,0,-7.21484375,3.15625,1,0,0,0,2,2,1,1,60fddf4bee48a7eaf1885893,61036f20d1f92de10ffb3f05,2021-07-29_22h17.20.970,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,FF,68.04296875,19.5078125,1,0,0,response1disk_5,6,1.8835,-16.26953125,-5.484375,1,0,0,rectangle_8,-16.26953125,-5.484375,1,0,0,-16.26953125,-5.484375,1,0,0,0,3,3,3,1,60fddf4bee48a7eaf1885893,61036f20d1f92de10ffb3f05,2021-07-29_22h17.20.970,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,139,FF,-37.90625,-71.08984375,1,0,0,response5disk_5,3,3.4335,13.3984375,10.10546875,1,0,0,rectangle_8,26.01171875,68.171875,1,0,0,-8.99609375,2.0390625,1,0,0,0,4,4,5,1,60fddf4bee48a7eaf1885893,61036f20d1f92de10ffb3f05,2021-07-29_22h17.20.970,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.6151,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,59,PF,-39.18359375,-73.67578125,1,0,0,response5disk_5,3,1.5836,-2.8046875,2.4765625,1,0,0,rectangle_8,-2.8046875,2.4765625,1,0,0,-2.8046875,2.4765625,1,0,0,0,5,5,6,1,60fddf4bee48a7eaf1885893,61036f20d1f92de10ffb3f05,2021-07-29_22h17.20.970,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,FF,65.0078125,-32.90625,1,0,0,response3disk_5,5,1.4318,6.69921875,8.21875,1,0,0,rectangle_8,6.69921875,8.21875,1,0,0,6.69921875,8.21875,1,0,0,0,6,6,0,1,60fddf4bee48a7eaf1885893,61036f20d1f92de10ffb3f05,2021-07-29_22h17.20.970,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.483,,,,,,,,,,,,,,,,,,,,,,60fddf4bee48a7eaf1885893,61036f20d1f92de10ffb3f05,2021-07-29_22h17.20.970,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.7986,3216,69.6640625,29.44921875,1,0,0,response1disk,,6,2.40625,0.9140625,1,0,0,rectangle,2.40625,0.9140625,1,0,0,2.40625,0.9140625,1,0,0,0,0,0,17,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.8999,,,,,,,,,,,,,,,,,,,,,,60fddf4bee48a7eaf1885893,61036f20d1f92de10ffb3f05,2021-07-29_22h17.20.970,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2592,59.19921875,-19.44921875,1,0,0,response3disk,,5,-6.9453125,-1.328125,1,0,0,rectangle,-6.9453125,-1.328125,1,0,0,-6.9453125,-1.328125,1,0,0,0,1,1,49,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.117,,,,,,,,,,,,,,,,,,,,,,60fddf4bee48a7eaf1885893,61036f20d1f92de10ffb3f05,2021-07-29_22h17.20.970,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3263,28.59765625,77.94921875,1,0,0,response1disk,,7,-1.3671875,0.46484375,1,0,0,rectangle,-1.3671875,0.46484375,1,0,0,-1.3671875,0.46484375,1,0,0,0,2,2,86,1,,,,,,,,
