key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,9.517,space,1.572,space,10.395,space,7.025,space,0.67,space,8.619,56,PF,83,-26,1,0,0,response3disk_5,5,11.1,-8,-4,1,0,0,rectangle_8,-8,-4,1,0,0,-8,-4,1,0,0,0,0,0,1,1,60fde5cdab904cdcf81f2ccd,61036d564801fb346dd0fa63,2021-07-29_22h11.02.872,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,PF,100,36,1,0,0,response1disk_5,6,2.983,13,4,1,0,0,rectangle_8,101,46,1,0,0,13,-11,1,0,0,0,1,1,6,1,60fde5cdab904cdcf81f2ccd,61036d564801fb346dd0fa63,2021-07-29_22h11.02.872,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.9,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,PF,67,-30,1,0,0,response3disk_5,5,2.182,7,1,1,0,0,rectangle_8,7,1,1,0,0,7,1,1,0,0,0,2,2,4,1,60fde5cdab904cdcf81f2ccd,61036d564801fb346dd0fa63,2021-07-29_22h11.02.872,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,73,PF,44,85,1,0,0,response1disk_5,7,1.699,-6,-7,1,0,0,rectangle_8,-6,-7,1,0,0,-6,-7,1,0,0,0,3,3,2,1,60fde5cdab904cdcf81f2ccd,61036d564801fb346dd0fa63,2021-07-29_22h11.02.872,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,FF,62,51,1,0,0,response1disk_5,6,2.766,15,-2,1,0,0,rectangle_8,90,39,1,0,0,1,5,1,0,0,0,4,4,3,1,60fde5cdab904cdcf81f2ccd,61036d564801fb346dd0fa63,2021-07-29_22h11.02.872,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.116,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,FF,65,-40,1,0,0,response3disk_5,5,2.132,-5,7,1,0,0,rectangle_8,-5,7,1,0,0,-5,7,1,0,0,0,5,5,5,1,60fde5cdab904cdcf81f2ccd,61036d564801fb346dd0fa63,2021-07-29_22h11.02.872,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,122,FF,32,-65,1,0,0,response3disk_5,4,1.749,10,8,1,0,0,rectangle_8,10,8,1,0,0,10,8,1,0,0,0,6,6,0,1,60fde5cdab904cdcf81f2ccd,61036d564801fb346dd0fa63,2021-07-29_22h11.02.872,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.818,,,,,,,,,,,,,,,,,,,,,,60fde5cdab904cdcf81f2ccd,61036d564801fb346dd0fa63,2021-07-29_22h11.02.872,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.013,3036,43,-61,1,0,0,response3disk,,4,11,10,1,0,0,rectangle,11,10,1,0,0,11,10,1,0,0,0,0,0,50,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.283,,,,,,,,,,,,,,,,,,,,,,60fde5cdab904cdcf81f2ccd,61036d564801fb346dd0fa63,2021-07-29_22h11.02.872,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,167,-29,-95,1,0,0,response5disk,,3,19,8,1,0,0,rectangle,19,8,1,0,0,19,8,1,0,0,0,1,1,158,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.516,,,,,,,,,,,,,,,,,,,,,,60fde5cdab904cdcf81f2ccd,61036d564801fb346dd0fa63,2021-07-29_22h11.02.872,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4047,-38,-79,1,0,0,response5disk,,3,7,5,1,0,0,rectangle,7,5,1,0,0,7,5,1,0,0,0,2,2,143,1,,,,,,,,
