key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.305,space,3.11,space,18.932,space,10.831,space,0.619,space,2.711,12,FF,40,-77,1,0,0,response3disk_5,4,14.829,-1,7,1,0,0,rectangle_8,-1,7,1,0,0,-1,7,1,0,0,0,0,0,5,1,60fdf33fdfb2399145bb4df4,61036e491c694e0cea5f117b,2021-07-29_22h13.43.148,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,PF,-33,-59,1,0,0,response5disk_5,3,3.085,8,-4,1,0,0,rectangle_8,85,-38,1,0,0,-2,0,1,0,0,0,1,1,2,1,60fdf33fdfb2399145bb4df4,61036e491c694e0cea5f117b,2021-07-29_22h13.43.148,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.906,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,PF,41,79,1,0,0,response1disk_5,7,3.53,-2,7,1,0,0,rectangle_8,-2,7,1,0,0,-2,7,1,0,0,0,2,2,4,1,60fdf33fdfb2399145bb4df4,61036e491c694e0cea5f117b,2021-07-29_22h13.43.148,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,90,FF,48,83,1,0,0,response1disk_5,7,1.883,-14,-3,1,0,0,rectangle_8,-14,-3,1,0,0,-14,-3,1,0,0,0,3,3,3,1,60fdf33fdfb2399145bb4df4,61036e491c694e0cea5f117b,2021-07-29_22h13.43.148,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,FF,50,106,1,0,0,response1disk_5,7,3.042,-5,2,1,0,0,rectangle_8,82,-45,1,0,0,8,-8,1,0,0,0,4,4,0,1,60fdf33fdfb2399145bb4df4,61036e491c694e0cea5f117b,2021-07-29_22h13.43.148,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.64,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,66,PF,71,-40,1,0,0,response3disk_5,5,2.527,14,-1,1,0,0,rectangle_8,14,-1,1,0,0,14,-1,1,0,0,0,5,5,1,1,60fdf33fdfb2399145bb4df4,61036e491c694e0cea5f117b,2021-07-29_22h13.43.148,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,126,PF,-49,-78,1,0,0,response5disk_5,3,1.817,-6,1,1,0,0,rectangle_8,-6,1,1,0,0,-6,1,1,0,0,0,6,6,6,1,60fdf33fdfb2399145bb4df4,61036e491c694e0cea5f117b,2021-07-29_22h13.43.148,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.123,,,,,,,,,,,,,,,,,,,,,,60fdf33fdfb2399145bb4df4,61036e491c694e0cea5f117b,2021-07-29_22h13.43.148,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.621,1228,18,-65,1,0,0,response3disk,,4,0,-1,1,0,0,rectangle,0,-1,1,0,0,0,-1,1,0,0,0,0,0,13,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.291,,,,,,,,,,,,,,,,,,,,,,60fdf33fdfb2399145bb4df4,61036e491c694e0cea5f117b,2021-07-29_22h13.43.148,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1522,67,36,1,0,0,response1disk,,6,18,-10,1,0,0,rectangle,18,-10,1,0,0,18,-10,1,0,0,0,1,1,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.395,,,,,,,,,,,,,,,,,,,,,,60fdf33fdfb2399145bb4df4,61036e491c694e0cea5f117b,2021-07-29_22h13.43.148,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1590,40,68,1,0,0,response1disk,,7,4,9,1,0,0,rectangle,4,9,1,0,0,4,9,1,0,0,0,2,2,98,1,,,,,,,,
