key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.6946,space,59.0742,space,20.0206,space,8.0658,space,34.7367,space,2.8643,2,PF,77.36645508,-40.58270264,1,0,0,response3disk_5,5,5.1049,9.361694336,-2.379486084,1,0,0,rectangle_8,9.361694336,-2.379486084,1,0,0,9.361694336,-2.379486084,1,0,0,0,0,0,4,1,60fdfb0996257ffd90d67d2a,61036eb922306843fd58b97c,2021-07-29_22h16.34.850,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,36,FF,-85.28149414,16.4901123,1,0,0,response7disk_5,1,1.6681,-4.949279785,-6.585021973,1,0,0,rectangle_8,80.54846191,35.9934082,1,0,0,-1.587890625,-1.55657959,1,0,0,0,1,1,3,1,60fdfb0996257ffd90d67d2a,61036eb922306843fd58b97c,2021-07-29_22h16.34.850,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.0853,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,FF,-64.909729,33.41320801,1,0,0,response7disk_5,1,1.4659,-13.34436035,12.26879883,1,0,0,rectangle_8,-13.34436035,12.26879883,1,0,0,-13.34436035,12.26879883,1,0,0,0,2,2,5,1,60fdfb0996257ffd90d67d2a,61036eb922306843fd58b97c,2021-07-29_22h16.34.850,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,FF,-67.00195313,-48.80639648,1,0,0,response5disk_5,2,1.4159,16.34484863,-15.51617432,1,0,0,rectangle_8,16.34484863,-15.51617432,1,0,0,16.34484863,-15.51617432,1,0,0,0,3,3,0,1,60fdfb0996257ffd90d67d2a,61036eb922306843fd58b97c,2021-07-29_22h16.34.850,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,PF,56.80792236,-86.80432129,1,0,0,response3disk_5,4,1.3163,16.57696533,-0.874938965,1,0,0,rectangle_8,91.30212402,32.91171265,1,0,0,-25.387146,6.117095947,1,0,0,0,4,4,6,1,60fdfb0996257ffd90d67d2a,61036eb922306843fd58b97c,2021-07-29_22h16.34.850,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,1.5672,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,PF,-73.66369629,-50.74377441,1,0,0,response5disk_5,2,2.3167,5.739929199,2.9453125,1,0,0,rectangle_8,5.739929199,2.9453125,1,0,0,5.739929199,2.9453125,1,0,0,0,5,5,2,1,60fdfb0996257ffd90d67d2a,61036eb922306843fd58b97c,2021-07-29_22h16.34.850,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,135,PF,-78.35546875,-55.44616699,1,0,0,response5disk_5,2,1.1335,-2.586242676,-4.327575684,1,0,0,rectangle_8,-2.586242676,-4.327575684,1,0,0,-2.586242676,-4.327575684,1,0,0,0,6,6,1,1,60fdfb0996257ffd90d67d2a,61036eb922306843fd58b97c,2021-07-29_22h16.34.850,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5012,,,,,,,,,,,,,,,,,,,,,,60fdfb0996257ffd90d67d2a,61036eb922306843fd58b97c,2021-07-29_22h16.34.850,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.5083,1531,-84.70001221,-27.09213257,1,0,0,response5disk,,2,10.30285645,-13.77178955,1,0,0,rectangle,10.30285645,-13.77178955,1,0,0,10.30285645,-13.77178955,1,0,0,0,0,0,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8342,,,,,,,,,,,,,,,,,,,,,,60fdfb0996257ffd90d67d2a,61036eb922306843fd58b97c,2021-07-29_22h16.34.850,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,676,-40.44378662,-83.53173828,1,0,0,response5disk,,3,-21.39385986,-11.82318115,1,0,0,rectangle,-21.39385986,-11.82318115,1,0,0,-21.39385986,-11.82318115,1,0,0,0,1,1,53,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1344,,,,,,,,,,,,,,,,,,,,,,60fdfb0996257ffd90d67d2a,61036eb922306843fd58b97c,2021-07-29_22h16.34.850,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1415,-26.41448975,-77.62432861,1,0,0,response5disk,,3,-9.631347656,-2.335266113,1,0,0,rectangle,-9.631347656,-2.335266113,1,0,0,-9.631347656,-2.335266113,1,0,0,0,2,2,52,1,,,,,,,,
