key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.047,space,2.413,space,17.886,space,10.144,space,1.062,space,3.906,19,PF,-39,-107,1,0,0,response5disk_5,3,5.4,3,-1,1,0,0,rectangle_8,3,-1,1,0,0,3,-1,1,0,0,0,0,0,6,1,60fdff6234e9b78c0d472d5b,610366ea73c4d05e1f484f6e,2021-07-29_22h42.46.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,FF,-31,73,1,0,0,response7disk_5,0,2.017,-5,6,1,0,0,rectangle_8,54,108,1,0,0,-1,-1,1,0,0,0,1,1,0,1,60fdff6234e9b78c0d472d5b,610366ea73c4d05e1f484f6e,2021-07-29_22h42.46.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.4,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,139,PF,-46,-104,1,0,0,response5disk_5,3,2.668,7,13,1,0,0,rectangle_8,7,13,1,0,0,7,13,1,0,0,0,2,2,4,1,60fdff6234e9b78c0d472d5b,610366ea73c4d05e1f484f6e,2021-07-29_22h42.46.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,44,PF,58,80,1,0,0,response1disk_5,7,1.666,-5,-8,1,0,0,rectangle_8,-5,-8,1,0,0,-5,-8,1,0,0,0,3,3,1,1,60fdff6234e9b78c0d472d5b,610366ea73c4d05e1f484f6e,2021-07-29_22h42.46.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,FF,-42,71,1,0,0,response7disk_5,0,1.834,-15,-2,1,0,0,rectangle_8,66,98,1,0,0,4,-1,1,0,0,0,4,4,3,1,60fdff6234e9b78c0d472d5b,610366ea73c4d05e1f484f6e,2021-07-29_22h42.46.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.85,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84,PF,44,88,1,0,0,response1disk_5,7,1.366,14,8,1,0,0,rectangle_8,14,8,1,0,0,14,8,1,0,0,0,5,5,2,1,60fdff6234e9b78c0d472d5b,610366ea73c4d05e1f484f6e,2021-07-29_22h42.46.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,FF,-55,-96,1,0,0,response5disk_5,3,7.317,6,5,1,0,0,rectangle_8,6,5,1,0,0,6,5,1,0,0,0,6,6,5,1,60fdff6234e9b78c0d472d5b,610366ea73c4d05e1f484f6e,2021-07-29_22h42.46.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.435,,,,,,,,,,,,,,,,,,,,,,60fdff6234e9b78c0d472d5b,610366ea73c4d05e1f484f6e,2021-07-29_22h42.46.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,4.269,2171,-68,-85,1,0,0,response5disk,,3,19,-2,1,0,0,rectangle,19,-2,1,0,0,19,-2,1,0,0,0,0,0,107,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.718,,,,,,,,,,,,,,,,,,,,,,60fdff6234e9b78c0d472d5b,610366ea73c4d05e1f484f6e,2021-07-29_22h42.46.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2009,44,74,1,0,0,response1disk,,7,7,11,1,0,0,rectangle,7,11,1,0,0,7,11,1,0,0,0,1,1,112,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.367,,,,,,,,,,,,,,,,,,,,,,60fdff6234e9b78c0d472d5b,610366ea73c4d05e1f484f6e,2021-07-29_22h42.46.263,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1880,40,91,1,0,0,response1disk,,7,5,-3,1,0,0,rectangle,5,-3,1,0,0,5,-3,1,0,0,0,2,2,6,1,,,,,,,,
