key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.8099,space,13.5821,space,7.5971,space,3.1346,space,2.1829,space,4.1056,29,PF,-81.99998337,41.33330349,1,0,0,response7disk_5,1,15.5527,6.666685939,-1.333344102,1,0,0,rectangle_8,6.666685939,-1.333344102,1,0,0,6.666685939,-1.333344102,1,0,0,0,0,0,6,1,60fe0193128d5101aada7200,61036722e74451882cc127cd,2021-07-29_22h44.18.125,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,115,PF,30.66668665,-79.33334643,1,0,0,response3disk_5,4,6.1212,-3.999981046,-0.666677415,1,0,0,rectangle_8,-91.33331698,-62.00001258,1,0,0,3.333393196,9.333322883,1,0,0,0,1,1,1,1,60fe0193128d5101aada7200,61036722e74451882cc127cd,2021-07-29_22h44.18.125,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.6314,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,FF,34.66668677,100.6666589,1,0,0,response1disk_5,7,2.9018,-3.999981046,-1.07288E-05,1,0,0,rectangle_8,-3.999981046,-1.07288E-05,1,0,0,-3.999981046,-1.07288E-05,1,0,0,0,2,2,5,1,60fe0193128d5101aada7200,61036722e74451882cc127cd,2021-07-29_22h44.18.125,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,83,PF,85.33335495,54.66665757,1,0,0,response1disk_5,6,3.6174,2.000019133,-2.000010788,1,0,0,rectangle_8,2.000019133,-2.000010788,1,0,0,2.000019133,-2.000010788,1,0,0,0,3,3,4,1,60fe0193128d5101aada7200,61036722e74451882cc127cd,2021-07-29_22h44.18.125,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112,FF,42.66668701,78.66665828,1,0,0,response1disk_5,7,2.6334,5.333393256,-2.000010788,1,0,0,rectangle_8,-59.33331603,-28.66667825,1,0,0,-5.999981105,-5.333344221,1,0,0,0,4,4,0,1,60fe0193128d5101aada7200,61036722e74451882cc127cd,2021-07-29_22h44.18.125,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.8198,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67,FF,-81.33331668,-26.66667819,1,0,0,response5disk_5,2,2.9842,-13.99998134,-4.000010848,1,0,0,rectangle_8,-13.99998134,-4.000010848,1,0,0,-13.99998134,-4.000010848,1,0,0,0,5,5,3,1,60fe0193128d5101aada7200,61036722e74451882cc127cd,2021-07-29_22h44.18.125,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,PF,93.33335519,59.99999106,1,0,0,response1disk_5,6,2.1541,24.00001979,13.333323,1,0,0,rectangle_8,24.00001979,13.333323,1,0,0,24.00001979,13.333323,1,0,0,0,6,6,2,1,60fe0193128d5101aada7200,61036722e74451882cc127cd,2021-07-29_22h44.18.125,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3476,,,,,,,,,,,,,,,,,,,,,,60fe0193128d5101aada7200,61036722e74451882cc127cd,2021-07-29_22h44.18.125,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.7544,2191,68.66668779,60.66665775,1,0,0,response1disk,,6,12.00001943,-4.000010848,1,0,0,rectangle,12.00001943,-4.000010848,1,0,0,12.00001943,-4.000010848,1,0,0,0,0,0,146,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.0046,,,,,,,,,,,,,,,,,,,,,,60fe0193128d5101aada7200,61036722e74451882cc127cd,2021-07-29_22h44.18.125,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,19,62.00002092,47.9999907,1,0,0,response1disk,,6,-12.66660728,-2.000010788,1,0,0,rectangle,-12.66660728,-2.000010788,1,0,0,-12.66660728,-2.000010788,1,0,0,0,1,1,2,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0543,,,,,,,,,,,,,,,,,,,,,,60fe0193128d5101aada7200,61036722e74451882cc127cd,2021-07-29_22h44.18.125,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,591,40.00002027,73.99999148,1,0,0,response1disk,,7,2.66668582,9.999989569,1,0,0,rectangle,2.66668582,9.999989569,1,0,0,2.66668582,9.999989569,1,0,0,0,2,2,5,1,,,,,,,,
