key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.106,space,5.946,space,16.456,space,10.818,space,3.281,space,8.514,122,FF,44,95,1,0,0,response1disk_5,7,10.621,1,1,1,0,0,rectangle_8,1,1,1,0,0,1,1,1,0,0,0,0,0,5,1,60fe06da23cd2d64aaaa9260,61036e8e2cbe58fb177bb537,2021-07-29_20h15.13.059,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,PF,21,-71,1,0,0,response3disk_5,4,8.322,-12,0,1,0,0,rectangle_8,-42,69,1,0,0,-3,7,1,0,0,0,1,1,4,1,60fe06da23cd2d64aaaa9260,61036e8e2cbe58fb177bb537,2021-07-29_20h15.13.059,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,4.052,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,FF,27,71,1,0,0,response1disk_5,7,3.768,-3,4,1,0,0,rectangle_8,-3,4,1,0,0,-3,4,1,0,0,0,2,2,3,1,60fe06da23cd2d64aaaa9260,61036e8e2cbe58fb177bb537,2021-07-29_20h15.13.059,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,PF,-29,-78,1,0,0,response5disk_5,3,10.321,2,-7,1,0,0,rectangle_8,2,-7,1,0,0,2,-7,1,0,0,0,3,3,6,1,60fe06da23cd2d64aaaa9260,61036e8e2cbe58fb177bb537,2021-07-29_20h15.13.059,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,PF,79,26,1,0,0,response1disk_5,6,3.523,-3,8,1,0,0,rectangle_8,-30,75,1,0,0,-6,6,1,0,0,0,4,4,1,1,60fe06da23cd2d64aaaa9260,61036e8e2cbe58fb177bb537,2021-07-29_20h15.13.059,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,3.095,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,FF,46,87,1,0,0,response1disk_5,7,2.134,-11,0,1,0,0,rectangle_8,-11,0,1,0,0,-11,0,1,0,0,0,5,5,0,1,60fe06da23cd2d64aaaa9260,61036e8e2cbe58fb177bb537,2021-07-29_20h15.13.059,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,PF,37,64,1,0,0,response1disk_5,7,13.874,9,2,1,0,0,rectangle_8,9,2,1,0,0,9,2,1,0,0,0,6,6,2,1,60fe06da23cd2d64aaaa9260,61036e8e2cbe58fb177bb537,2021-07-29_20h15.13.059,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,18.524,,,,,,,,,,,,,,,,,,,,,,60fe06da23cd2d64aaaa9260,61036e8e2cbe58fb177bb537,2021-07-29_20h15.13.059,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,14.044,2313,59,-34,1,0,0,response3disk,,5,5,2,1,0,0,rectangle,5,2,1,0,0,5,2,1,0,0,0,0,0,118,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.719,,,,,,,,,,,,,,,,,,,,,,60fe06da23cd2d64aaaa9260,61036e8e2cbe58fb177bb537,2021-07-29_20h15.13.059,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4200,-27,64,1,0,0,response7disk,,0,1,8,1,0,0,rectangle,1,8,1,0,0,1,8,1,0,0,0,1,1,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.868,,,,,,,,,,,,,,,,,,,,,,60fe06da23cd2d64aaaa9260,61036e8e2cbe58fb177bb537,2021-07-29_20h15.13.059,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,826,-35,-51,1,0,0,response5disk,,3,-8,-1,1,0,0,rectangle,-8,-1,1,0,0,-8,-1,1,0,0,0,2,2,66,1,,,,,,,,
