key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,4.3091,space,18.0151,space,26.9013,space,8.5167,space,3.9935,space,5.1342,53,PF,-67,-57,1,0,0,response5disk_5,2,14.334,4,-3,1,0,0,rectangle_8,4,-3,1,0,0,4,-3,1,0,0,0,0,0,2,1,60fe06feb5a616377ef806da,61036e26f9352193ec528f9d,2021-07-29_20h19.33.289,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,-70,38,1,0,0,response7disk_5,1,4.3777,7,-5,1,0,0,rectangle_8,91,34,1,0,0,-19,-1,1,0,0,0,1,1,4,1,60fe06feb5a616377ef806da,61036e26f9352193ec528f9d,2021-07-29_20h19.33.289,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.3467,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,PF,41,-87,1,0,0,response3disk_5,4,5.1266,-1,-1,1,0,0,rectangle_8,-1,-1,1,0,0,-1,-1,1,0,0,0,2,2,6,1,60fe06feb5a616377ef806da,61036e26f9352193ec528f9d,2021-07-29_20h19.33.289,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,141,PF,50,79,1,0,0,response1disk_5,7,2.6799,14,-7,1,0,0,rectangle_8,14,-7,1,0,0,14,-7,1,0,0,0,3,3,1,1,60fe06feb5a616377ef806da,61036e26f9352193ec528f9d,2021-07-29_20h19.33.289,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,23,FF,84,-55,1,0,0,response3disk_5,5,8.5707,-1,2,1,0,0,rectangle_8,87,35,1,0,0,-9,1,1,0,0,0,4,4,0,1,60fe06feb5a616377ef806da,61036e26f9352193ec528f9d,2021-07-29_20h19.33.289,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,1.7636,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,FF,-84,-52,1,0,0,response5disk_5,2,3.3111,-14,2,1,0,0,rectangle_8,-14,2,1,0,0,-14,2,1,0,0,0,5,5,5,1,60fe06feb5a616377ef806da,61036e26f9352193ec528f9d,2021-07-29_20h19.33.289,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,30,FF,97,35,1,0,0,response1disk_5,6,2.9959,9,8,1,0,0,rectangle_8,9,8,1,0,0,9,8,1,0,0,0,6,6,3,1,60fe06feb5a616377ef806da,61036e26f9352193ec528f9d,2021-07-29_20h19.33.289,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.7602,,,,,,,,,,,,,,,,,,,,,,60fe06feb5a616377ef806da,61036e26f9352193ec528f9d,2021-07-29_20h19.33.289,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,15.9228,1431,108,-44,1,0,0,response3disk,,5,9,0,1,0,0,rectangle,9,0,1,0,0,9,0,1,0,0,0,0,0,13,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.447,,,,,,,,,,,,,,,,,,,,,,60fe06feb5a616377ef806da,61036e26f9352193ec528f9d,2021-07-29_20h19.33.289,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4097,-76,48,1,0,0,response7disk,,1,-4,-9,1,0,0,rectangle,-4,-9,1,0,0,-4,-9,1,0,0,0,1,1,45,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.847,,,,,,,,,,,,,,,,,,,,,,60fe06feb5a616377ef806da,61036e26f9352193ec528f9d,2021-07-29_20h19.33.289,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1045,88,42,1,0,0,response1disk,,6,-1,-3,1,0,0,rectangle,-1,-3,1,0,0,-1,-3,1,0,0,0,2,2,37,1,,,,,,,,
