key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,27.1462,space,10.0644,space,12.3738,space,7.2731,space,5.7034,space,60.0177,118,FF,69,-46,1,0,0,response3disk_5,5,10.4016,13,0,1,0,0,rectangle_8,13,0,1,0,0,13,0,1,0,0,0,0,0,0,1,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,121,PF,28,69,1,0,0,response1disk_5,7,3.2471,10,6,1,0,0,rectangle_8,-90,38,1,0,0,9,-4,1,0,0,0,1,1,2,1,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,4.3613,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,FF,30,73,1,0,0,response1disk_5,7,3.2972,-3,3,1,0,0,rectangle_8,-3,3,1,0,0,-3,3,1,0,0,0,2,2,3,1,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,65,FF,21,82,1,0,0,response1disk_5,7,1.6324,4,7,1,0,0,rectangle_8,4,7,1,0,0,4,7,1,0,0,0,3,3,5,1,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,PF,42,86,1,0,0,response1disk_5,7,1.2653,-12,-4,1,0,0,rectangle_8,-71,31,1,0,0,-4,-9,1,0,0,0,4,4,6,1,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,3.5309,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,PF,66,-38,1,0,0,response3disk_5,5,3.6455,10,-3,1,0,0,rectangle_8,10,-3,1,0,0,10,-3,1,0,0,0,5,5,1,1,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102,PF,26,70,1,0,0,response1disk_5,7,2.6148,7,1,1,0,0,rectangle_8,7,1,1,0,0,7,1,1,0,0,0,6,6,4,1,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0482,,,,,,,,,,,,,,,,,,,,,,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.6868,4327,85,46,1,0,0,response1disk,,6,13,14,1,0,0,rectangle,13,14,1,0,0,13,14,1,0,0,0,0,0,1,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8317,,,,,,,,,,,,,,,,,,,,,,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1229,44,80,1,0,0,response1disk,,7,8,-1,1,0,0,rectangle,-37,90,1,0,0,-12,12,1,0,0,0,1,1,76,1,,response7disk_3,TRUE,0,0,"[42,194,315,282,280,198,176,2,181,242,15,144,49,229,306,176,147,170,76,235]",2.686,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.0154,,,,,,,,,,,,,,,,,,,,,,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4362,-39,-69,1,0,0,response5disk,,3,-3,-2,1,0,0,rectangle,-3,-2,1,0,0,-3,-2,1,0,0,0,2,2,6,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2822,,,,,,,,,,,,,,,,,,,,,,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1479,46,84,1,0,0,response1disk,,7,-4,6,1,0,0,rectangle,-4,6,1,0,0,-4,6,1,0,0,0,3,3,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3982,,,,,,,,,,,,,,,,,,,,,,60fe1a7271f4d1a459e0fd5e,61036d1894c7d8bd8f5eab71,2021-07-29_22h09.17.227,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1489,23,59,1,0,0,response1disk,,7,-1,1,1,0,0,rectangle,-1,1,1,0,0,-1,1,1,0,0,0,4,4,63,1,,,,,,,,
