key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,3.436,space,13.384,space,10.7835,space,4.8459,space,1.5759,space,3.2778,104,PF,-35.359375,-107.4335938,1,0,0,response5disk_5,3,10.0461,-2.22265625,2.08203125,1,0,0,rectangle_8,-2.22265625,2.08203125,1,0,0,-2.22265625,2.08203125,1,0,0,0,0,0,2,1,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,127,FF,87.1640625,52.08203125,1,0,0,response1disk_5,6,10.1103,6.07421875,3.71484375,1,0,0,rectangle_8,81.7421875,38.7734375,1,0,0,4.18359375,-0.58984375,1,0,0,0,1,1,0,1,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.2246,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,FF,-39.50390625,-90.96484375,1,0,0,response5disk_5,3,11.3638,6.14453125,6.16015625,1,0,0,rectangle_8,6.14453125,6.16015625,1,0,0,6.14453125,6.16015625,1,0,0,0,2,2,3,1,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,86.23828125,-31.14453125,1,0,0,response3disk_5,5,4.6479,14.6796875,8.21875,1,0,0,rectangle_8,14.6796875,8.21875,1,0,0,14.6796875,8.21875,1,0,0,0,3,3,4,1,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,125,PF,-36.26171875,-89.4296875,1,0,0,response5disk_5,3,2.8075,14.40625,4.1953125,1,0,0,rectangle_8,96.43359375,53.06640625,1,0,0,-1.8984375,4.28125,1,0,0,0,4,4,6,1,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,1.9051,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,FF,-94.13671875,46.69921875,1,0,0,response7disk_5,1,4.4785,0.01953125,-2.8828125,1,0,0,rectangle_8,0.01953125,-2.8828125,1,0,0,0.01953125,-2.8828125,1,0,0,0,5,5,5,1,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,PF,85.68359375,-62.578125,1,0,0,response3disk_5,5,6.8851,-4.10546875,3.77734375,1,0,0,rectangle_8,-4.10546875,3.77734375,1,0,0,-4.10546875,3.77734375,1,0,0,0,6,6,1,1,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.8805,,,,,,,,,,,,,,,,,,,,,,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.0656,1214,-93.6171875,46.21484375,1,0,0,response7disk,,1,-12.4765625,-1.02734375,1,0,0,rectangle,-12.4765625,-1.02734375,1,0,0,-12.4765625,-1.02734375,1,0,0,0,0,0,24,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5252,,,,,,,,,,,,,,,,,,,,,,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1530,-65.453125,44.640625,1,0,0,response7disk,,1,10.26953125,-11.41796875,1,0,0,rectangle,53.6796875,92.83984375,1,0,0,-0.51171875,12.671875,1,0,0,0,1,1,95,1,,response1disk_3,TRUE,7,7,"[81,314,244,110,85,249,91,120,152,34,2,265,275,167,63,300,95,297,16,32]",1.5041,rectangle
,,,,,,,,,,,,,FF,,,,,,,,58.2392,,,,,,,,,,,,,,,,,,,,,,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,767,60.7734375,-89.28125,1,0,0,response3disk,,4,6.06640625,-11.8671875,1,0,0,rectangle,6.06640625,-11.8671875,1,0,0,6.06640625,-11.8671875,1,0,0,0,2,2,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8061,,,,,,,,,,,,,,,,,,,,,,60fe1bea2504195ce9899d35,610378bde5f42b4bea54f83d,2021-07-29_23h59.06.067,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,843,49.43359375,-102.84375,1,0,0,response3disk,,4,20.609375,-11.11328125,1,0,0,rectangle,20.609375,-11.11328125,1,0,0,20.609375,-11.11328125,1,0,0,0,3,3,111,1,,,,,,,,
