key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,8.167765,space,1.479515,space,19.47101,space,6.54957,space,1.338825,space,3.316825,121,FF,-30.62109375,-96.9453125,1,0,0,response5disk_5,3,7.702825,8.015625,-2.90625,1,0,0,rectangle_8,8.015625,-2.90625,1,0,0,8.015625,-2.90625,1,0,0,0,0,0,3,1,60fe258a910eeef6399a574d,61036fef11bc5a6b8b2646ca,2021-07-29_22h24.18.857,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84,PF,96.98046875,31.39453125,1,0,0,response1disk_5,6,1.398385,5.88671875,-6.99609375,1,0,0,rectangle_8,-83.64453125,42.07421875,1,0,0,3.8671875,-2.9609375,1,0,0,0,1,1,4,1,60fe258a910eeef6399a574d,61036fef11bc5a6b8b2646ca,2021-07-29_22h24.18.857,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.27295,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,73,PF,79.23046875,-96.7421875,1,0,0,response3disk_5,4,1.58307,4.09375,0,1,0,0,rectangle_8,4.09375,0,1,0,0,4.09375,0,1,0,0,0,2,2,1,1,60fe258a910eeef6399a574d,61036fef11bc5a6b8b2646ca,2021-07-29_22h24.18.857,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,146,FF,-76.8828125,37.00390625,1,0,0,response7disk_5,1,1.516055,2.32421875,-0.109375,1,0,0,rectangle_8,2.32421875,-0.109375,1,0,0,2.32421875,-0.109375,1,0,0,0,3,3,0,1,60fe258a910eeef6399a574d,61036fef11bc5a6b8b2646ca,2021-07-29_22h24.18.857,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,72,PF,82.01953125,45.2734375,1,0,0,response1disk_5,6,1.034175,-0.27734375,-3.765625,1,0,0,rectangle_8,-69.59375,36.4609375,1,0,0,6.58984375,-1.84375,1,0,0,0,4,4,2,1,60fe258a910eeef6399a574d,61036fef11bc5a6b8b2646ca,2021-07-29_22h24.18.857,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.76745,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,FF,45.80859375,90.8203125,1,0,0,response1disk_5,7,1.05015,-6.6171875,-6.0390625,1,0,0,rectangle_8,-6.6171875,-6.0390625,1,0,0,-6.6171875,-6.0390625,1,0,0,0,5,5,5,1,60fe258a910eeef6399a574d,61036fef11bc5a6b8b2646ca,2021-07-29_22h24.18.857,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,123,PF,-41.88671875,-82.6015625,1,0,0,response5disk_5,3,1.632875,1.9921875,2.86328125,1,0,0,rectangle_8,1.9921875,2.86328125,1,0,0,1.9921875,2.86328125,1,0,0,0,6,6,6,1,60fe258a910eeef6399a574d,61036fef11bc5a6b8b2646ca,2021-07-29_22h24.18.857,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.880995,,,,,,,,,,,,,,,,,,,,,,60fe258a910eeef6399a574d,61036fef11bc5a6b8b2646ca,2021-07-29_22h24.18.857,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.670085,2204,96.03515625,36.30078125,1,0,0,response1disk,,6,2.5625,-1.3203125,1,0,0,rectangle,98.421875,-50.49609375,1,0,0,response3disk_3,TRUE,5,5,"[178,186,150,192,61,256,121,85,123,230,236,195,171,201,1,170,37,16,306,144]",1.78411,-1.08984375,-5.5078125,1,0,0,rectangle,0,0,0,89,1,
,,,,,,,,,,,,,FF,,,,,,,,2.883285,,,,,,,,,,,,,,,,,,,,,,60fe258a910eeef6399a574d,61036fef11bc5a6b8b2646ca,2021-07-29_22h24.18.857,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1937,93,-50.29296875,1,0,0,response3disk,,5,-0.71484375,-7.57421875,1,0,0,rectangle,-0.71484375,-7.57421875,1,0,0,,,,,,,-0.71484375,-7.57421875,1,0,0,,0,1,1,35,1,
,,,,,,,,,,,,,FF,,,,,,,,0.818355,,,,,,,,,,,,,,,,,,,,,,60fe258a910eeef6399a574d,61036fef11bc5a6b8b2646ca,2021-07-29_22h24.18.857,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3129,125.3554688,59.80078125,1,0,0,response1disk,,6,5.8046875,-3.89453125,1,0,0,rectangle,5.8046875,-3.89453125,1,0,0,,,,,,,5.8046875,-3.89453125,1,0,0,,0,2,2,115,1,
