key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,1.3008,space,20.3323,space,45.2864,space,4.0226,space,1.7559,space,2.5858,93,PF,90.96875,-53.265625,1,0,0,response3disk_5,5,4.1574,12.51171875,-0.3671875,1,0,0,rectangle_8,12.51171875,-0.3671875,1,0,0,12.51171875,-0.3671875,1,0,0,0,0,0,4,1,60fe2df6522f22abe083b9ef,61037937e8a09471b7dc0cfc,2021-07-29_21h00.44.177,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,PF,40.78515625,114.828125,1,0,0,response1disk_5,7,5.0235,-10.23046875,-6.4296875,1,0,0,rectangle_8,-28.140625,-91.29296875,1,0,0,3.7109375,-4.203125,1,0,0,0,1,1,6,1,60fe2df6522f22abe083b9ef,61037937e8a09471b7dc0cfc,2021-07-29_21h00.44.177,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.1036,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,PF,-53.234375,30.06640625,1,0,0,response7disk_5,1,4.9089,32.58984375,-0.16796875,1,0,0,rectangle_8,32.58984375,-0.16796875,1,0,0,32.58984375,-0.16796875,1,0,0,0,2,2,1,1,60fe2df6522f22abe083b9ef,61037937e8a09471b7dc0cfc,2021-07-29_21h00.44.177,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,141,FF,32.58984375,79.296875,1,0,0,response1disk_5,7,4.2567,14.53125,4.66796875,1,0,0,rectangle_8,14.53125,4.66796875,1,0,0,14.53125,4.66796875,1,0,0,0,3,3,3,1,60fe2df6522f22abe083b9ef,61037937e8a09471b7dc0cfc,2021-07-29_21h00.44.177,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,PF,77.5546875,58.1953125,1,0,0,response1disk_5,6,2.8051,-12.5234375,-0.03125,1,0,0,rectangle_8,-29.8125,-91.8125,1,0,0,-12.6484375,-1.65625,1,0,0,0,4,4,2,1,60fe2df6522f22abe083b9ef,61037937e8a09471b7dc0cfc,2021-07-29_21h00.44.177,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,1.385,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,82,FF,-28.56640625,-76.75,1,0,0,response5disk_5,3,6.211,-6.2734375,14.796875,1,0,0,rectangle_8,-6.2734375,14.796875,1,0,0,-6.2734375,14.796875,1,0,0,0,5,5,0,1,60fe2df6522f22abe083b9ef,61037937e8a09471b7dc0cfc,2021-07-29_21h00.44.177,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,FF,46.75,88.8984375,1,0,0,response1disk_5,7,3.1016,13.26953125,-11.20703125,1,0,0,rectangle_8,13.26953125,-11.20703125,1,0,0,13.26953125,-11.20703125,1,0,0,0,6,6,5,1,60fe2df6522f22abe083b9ef,61037937e8a09471b7dc0cfc,2021-07-29_21h00.44.177,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.6571,,,,,,,,,,,,,,,,,,,,,,60fe2df6522f22abe083b9ef,61037937e8a09471b7dc0cfc,2021-07-29_21h00.44.177,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.9695,858,-31.40234375,64.640625,1,0,0,response7disk,,0,0.70703125,2.1796875,1,0,0,rectangle,53.64453125,-30.296875,1,0,0,response3disk_3,TRUE,5,5,"[195,234,1,272,138,54,184,160,133,191,169,13,209,125,236,289,160,20,137,181]",2.1856,0.33984375,4.60546875,1,0,0,rectangle,0,0,0,147,1,
,,,,,,,,,,,,,FF,,,,,,,,8.6975,,,,,,,,,,,,,,,,,,,,,,60fe2df6522f22abe083b9ef,61037937e8a09471b7dc0cfc,2021-07-29_21h00.44.177,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2947,42.5,-58.60546875,1,0,0,response3disk,,4,2.484375,-2.58203125,1,0,0,rectangle,2.484375,-2.58203125,1,0,0,,,,,,,2.484375,-2.58203125,1,0,0,,0,1,1,126,1,
,,,,,,,,,,,,,FF,,,,,,,,2.4871,,,,,,,,,,,,,,,,,,,,,,60fe2df6522f22abe083b9ef,61037937e8a09471b7dc0cfc,2021-07-29_21h00.44.177,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2249,23.04296875,-75.1640625,1,0,0,response3disk,,4,-18.21484375,-5.734375,1,0,0,rectangle,-18.21484375,-5.734375,1,0,0,,,,,,,-18.21484375,-5.734375,1,0,0,,0,2,2,121,1,
