key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.633900001,space,5.8868,space,15.83,space,4.3016,space,1.281,space,4.523,63,FF,-64,-88,1,0,0,response5disk_5,3,24.035,-12,3,1,0,0,rectangle_8,-12,3,1,0,0,-12,3,1,0,0,0,0,0,0,1,60fe2fed581d95673bd181af,61036abcc1555c65405eddeb,2021-07-29_22h00.29.403,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,PF,44,-141,1,0,0,response3disk_5,4,6.465,4,-10,1,0,0,rectangle_8,-50,-119,1,0,0,12,18,1,0,0,0,1,1,6,1,60fe2fed581d95673bd181af,61036abcc1555c65405eddeb,2021-07-29_22h00.29.403,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.866400001,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,PF,95,-46,1,0,0,response3disk_5,5,3.933099999,29,-7,1,0,0,rectangle_8,29,-7,1,0,0,29,-7,1,0,0,0,2,2,1,1,60fe2fed581d95673bd181af,61036abcc1555c65405eddeb,2021-07-29_22h00.29.403,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,PF,53,114,1,0,0,response1disk_5,7,4.8838,12,-5,1,0,0,rectangle_8,12,-5,1,0,0,12,-5,1,0,0,0,3,3,4,1,60fe2fed581d95673bd181af,61036abcc1555c65405eddeb,2021-07-29_22h00.29.403,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,FF,109,-42,1,0,0,response3disk_5,5,4.1493,12,2,1,0,0,rectangle_8,-50,-124,1,0,0,2,1,1,0,0,0,4,4,5,1,60fe2fed581d95673bd181af,61036abcc1555c65405eddeb,2021-07-29_22h00.29.403,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.4664,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,PF,36,69,1,0,0,response1disk_5,7,2.1008,12,-7,1,0,0,rectangle_8,12,-7,1,0,0,12,-7,1,0,0,0,5,5,2,1,60fe2fed581d95673bd181af,61036abcc1555c65405eddeb,2021-07-29_22h00.29.403,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,FF,45,66,1,0,0,response1disk_5,7,2.55,14,3,1,0,0,rectangle_8,14,3,1,0,0,14,3,1,0,0,0,6,6,3,1,60fe2fed581d95673bd181af,61036abcc1555c65405eddeb,2021-07-29_22h00.29.403,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.7518,,,,,,,,,,,,,,,,,,,,,,60fe2fed581d95673bd181af,61036abcc1555c65405eddeb,2021-07-29_22h00.29.403,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.1416,830,47,91,1,0,0,response1disk,,7,18,-7,1,0,0,rectangle,18,-7,1,0,0,18,-7,1,0,0,0,0,0,83,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.750599999,,,,,,,,,,,,,,,,,,,,,,60fe2fed581d95673bd181af,61036abcc1555c65405eddeb,2021-07-29_22h00.29.403,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,211,109,73,1,0,0,response1disk,,6,7,-9,1,0,0,rectangle,7,-9,1,0,0,7,-9,1,0,0,0,1,1,137,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4996,,,,,,,,,,,,,,,,,,,,,,60fe2fed581d95673bd181af,61036abcc1555c65405eddeb,2021-07-29_22h00.29.403,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1311,108,62,1,0,0,response1disk,,6,15,8,1,0,0,rectangle,15,8,1,0,0,15,8,1,0,0,0,2,2,16,1,,,,,,,,
