key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0426,space,1.3161,space,27.5146,space,1.5667,space,0.784,space,2.8438,31,FF,-54.7265625,99.83984375,1,0,0,response7disk_5,0,10.5487,-13.74609375,-3.4296875,1,0,0,rectangle_8,-13.74609375,-3.4296875,1,0,0,-13.74609375,-3.4296875,1,0,0,0,0,0,3,1,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,PF,40.0234375,71.78515625,1,0,0,response1disk_5,7,3.7168,-16.13671875,-4.13671875,1,0,0,rectangle_8,59.7109375,114.2226563,1,0,0,4.32421875,-15.4921875,1,0,0,0,1,1,2,1,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.7834,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,PF,-55.44140625,-84.23046875,1,0,0,response5disk_5,3,2.65,-13.8203125,-4.01953125,1,0,0,rectangle_8,-13.8203125,-4.01953125,1,0,0,-13.8203125,-4.01953125,1,0,0,0,2,2,6,1,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,112,FF,-37.2421875,-68.703125,1,0,0,response5disk_5,3,10.9161,-15.875,2.3125,1,0,0,rectangle_8,-15.875,2.3125,1,0,0,-15.875,2.3125,1,0,0,0,3,3,0,1,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86,PF,107.6210938,-55.21875,1,0,0,response3disk_5,5,2.4656,4.96484375,-3.89453125,1,0,0,rectangle_8,37.1640625,85.50390625,1,0,0,8.76953125,-15.48828125,1,0,0,0,4,4,1,1,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.3504,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,21,PF,-35.3125,-76.578125,1,0,0,response5disk_5,3,2.9,9.2734375,-6.453125,1,0,0,rectangle_8,9.2734375,-6.453125,1,0,0,9.2734375,-6.453125,1,0,0,0,5,5,4,1,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,59,FF,78.70703125,30.9140625,1,0,0,response1disk_5,6,1.2166,8.8671875,8.6328125,1,0,0,rectangle_8,8.8671875,8.6328125,1,0,0,8.8671875,8.6328125,1,0,0,0,6,6,5,1,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.332,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.2242,1379,28.1015625,-62.33203125,1,0,0,response3disk,,4,11.03125,-6.984375,1,0,0,rectangle,11.03125,-6.984375,1,0,0,11.03125,-6.984375,1,0,0,0,0,0,154,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0668,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3123,53.78125,67.17578125,1,0,0,response1disk,,7,13.12109375,13.51953125,1,0,0,rectangle,13.12109375,13.51953125,1,0,0,13.12109375,13.51953125,1,0,0,0,1,1,141,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1491,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,420,108.2148438,34.38671875,1,0,0,response1disk,,6,24.734375,-0.41796875,1,0,0,rectangle,24.734375,-0.41796875,1,0,0,24.734375,-0.41796875,1,0,0,0,2,2,95,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4504,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2336,50.6484375,36.37109375,1,0,0,response1disk,,6,-5.17578125,6.3203125,1,0,0,rectangle,-5.17578125,6.3203125,1,0,0,-5.17578125,6.3203125,1,0,0,0,3,3,33,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7499,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,700,-31.26953125,-63.703125,1,0,0,response5disk,,3,-19.39453125,-6.50390625,1,0,0,rectangle,-19.39453125,-6.50390625,1,0,0,-19.39453125,-6.50390625,1,0,0,0,4,4,7,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0841,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,494,81.24609375,-37.3125,1,0,0,response3disk,,5,18.4140625,-10.52734375,1,0,0,rectangle,18.4140625,-10.52734375,1,0,0,18.4140625,-10.52734375,1,0,0,0,5,5,25,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9826,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2923,78.6796875,-37.4609375,1,0,0,response3disk,,5,6.7109375,1.1640625,1,0,0,rectangle,6.7109375,1.1640625,1,0,0,6.7109375,1.1640625,1,0,0,0,6,6,123,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7352,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,583,97.05078125,-60.33984375,1,0,0,response3disk,,5,-1.46484375,-6.97265625,1,0,0,rectangle,-1.46484375,-6.97265625,1,0,0,-1.46484375,-6.97265625,1,0,0,0,7,7,13,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0332,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2258,81.4453125,19.734375,1,0,0,response1disk,,6,15.26953125,4.89453125,1,0,0,rectangle,15.26953125,4.89453125,1,0,0,15.26953125,4.89453125,1,0,0,0,8,8,73,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8835,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2290,78.6328125,39.03125,1,0,0,response1disk,,6,25.76171875,15.47265625,1,0,0,rectangle,25.76171875,15.47265625,1,0,0,25.76171875,15.47265625,1,0,0,0,9,9,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0494,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3545,-41.96875,-86.96484375,1,0,0,response5disk,,3,-18.40234375,-4.0625,1,0,0,rectangle,-18.40234375,-4.0625,1,0,0,-18.40234375,-4.0625,1,0,0,0,10,10,120,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5005,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2578,65.40625,-47.29296875,1,0,0,response3disk,,5,-15.3359375,-7.296875,1,0,0,rectangle,-15.3359375,-7.296875,1,0,0,-15.3359375,-7.296875,1,0,0,0,11,11,32,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7834,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2306,67.8203125,-39.38671875,1,0,0,response3disk,,5,5.578125,-11.28515625,1,0,0,rectangle,5.578125,-11.28515625,1,0,0,5.578125,-11.28515625,1,0,0,0,12,12,89,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8514,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3890,-15.8984375,-47.53515625,1,0,0,response5disk,,3,13.59765625,-1.421875,1,0,0,rectangle,13.59765625,-1.421875,1,0,0,13.59765625,-1.421875,1,0,0,0,13,13,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0996,,,,,,,,,,,,,,,,,,,,,,60fe310d963e64b57e9d10a8,610377c86d97b3a2a315b060,2021-07-29_23h56.17.266,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2699,46.33203125,76.81640625,1,0,0,response1disk,,7,-1.12890625,-13.09765625,1,0,0,rectangle,-1.12890625,-13.09765625,1,0,0,-1.12890625,-13.09765625,1,0,0,0,14,14,71,1,,,,,,,,
