key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.475,space,41.7972,space,31.9255,space,12.3789,space,8.8394,space,7.9338,87,FF,97,-41,1,0,0,response3disk_5,5,9.3702,1,1,1,0,0,rectangle_8,1,1,1,0,0,1,1,1,0,0,0,0,0,3,1,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,PF,-82,45,1,0,0,response7disk_5,1,5.8218,-8,-2,1,0,0,rectangle_8,87,-33,1,0,0,2,-10,1,0,0,0,1,1,6,1,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,4.0641,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,-97,-66,1,0,0,response5disk_5,2,4.0366,-7,-4,1,0,0,rectangle_8,-7,-4,1,0,0,-7,-4,1,0,0,0,2,2,4,1,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,103,FF,-28,-74,1,0,0,response5disk_5,3,4.7253,-16,2,1,0,0,rectangle_8,-16,2,1,0,0,-16,2,1,0,0,0,3,3,5,1,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,FF,43,-53,1,0,0,response3disk_5,4,4.9703,-21,5,1,0,0,rectangle_8,79,-24,1,0,0,-9,5,1,0,0,0,4,4,0,1,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.05,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,PF,57,-103,1,0,0,response3disk_5,4,13.8912,-1,10,1,0,0,rectangle_8,-1,10,1,0,0,-1,10,1,0,0,0,5,5,1,1,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,PF,-81,-34,1,0,0,response5disk_5,2,4.0073,-10,9,1,0,0,rectangle_8,-10,9,1,0,0,-10,9,1,0,0,0,6,6,2,1,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.1004,,,,,,,,,,,,,,,,,,,,,,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,81.2296,1222,-95,35,1,0,0,response7disk,,1,1,-1,1,0,0,rectangle,1,-1,1,0,0,1,-1,1,0,0,0,0,0,4,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.3881,,,,,,,,,,,,,,,,,,,,,,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,82,-90,-65,1,0,0,response5disk,,2,-9,7,1,0,0,rectangle,-9,7,1,0,0,-9,7,1,0,0,0,1,1,34,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.4549,,,,,,,,,,,,,,,,,,,,,,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1939,78,31,1,0,0,response1disk,,6,6,0,1,0,0,rectangle,6,0,1,0,0,6,0,1,0,0,0,2,2,29,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.8102,,,,,,,,,,,,,,,,,,,,,,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1451,-77,49,1,0,0,response7disk,,1,-6,8,1,0,0,rectangle,-6,8,1,0,0,-6,8,1,0,0,0,3,3,38,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.7759,,,,,,,,,,,,,,,,,,,,,,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1659,78,34,1,0,0,response1disk,,6,5,0,1,0,0,rectangle,5,0,1,0,0,5,0,1,0,0,0,4,4,115,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.3115,,,,,,,,,,,,,,,,,,,,,,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1717,98,25,1,0,0,response1disk,,6,-15,-7,1,0,0,rectangle,-15,-7,1,0,0,-15,-7,1,0,0,0,5,5,122,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.9091,,,,,,,,,,,,,,,,,,,,,,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1165,95,-65,1,0,0,response3disk,,5,9,0,1,0,0,rectangle,-41,93,1,0,0,-1,6,1,0,0,0,6,6,134,1,,response7disk_3,TRUE,0,0,"[164,123,309,156,299,97,7,156,116,138,298,260,171,210,108,190,317,271,323,166]",2.5869,rectangle
,,,,,,,,,,,,,FF,,,,,,,,3.435,,,,,,,,,,,,,,,,,,,,,,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1769,-74,-92,1,0,0,response5disk,,3,-11,5,1,0,0,rectangle,-11,5,1,0,0,-11,5,1,0,0,0,7,7,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1555,,,,,,,,,,,,,,,,,,,,,,60fe39803b9a5a11674a9e9c,61036ded606dd7586d939d0f,2021-07-29_21h17.25.520,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,559,71,35,1,0,0,response1disk,,6,-4,-1,1,0,0,rectangle,-4,-1,1,0,0,-4,-1,1,0,0,0,8,8,71,1,,,,,,,,
