key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,1.0142,space,1.0153,space,2.3161,space,1.2993,space,0.6165,space,2.9698,135,PF,-107.71875,-47.3359375,1,0,0,response5disk_5,2,7.8492,-4.828125,7.41796875,1,0,0,rectangle_8,-4.828125,7.41796875,1,0,0,-4.828125,7.41796875,1,0,0,0,0,0,4,1,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,73,PF,-82.1796875,-56.921875,1,0,0,response5disk_5,2,4.3172,8.8828125,-12.00390625,1,0,0,rectangle_8,-75.28125,-102.9921875,1,0,0,10.84765625,-13.48828125,1,0,0,0,1,1,2,1,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,6.8167,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,FF,126.3359375,-65.08984375,1,0,0,response3disk_5,5,1.1666,-9.3359375,-7.90625,1,0,0,rectangle_8,-9.3359375,-7.90625,1,0,0,-9.3359375,-7.90625,1,0,0,0,2,2,3,1,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,FF,36.37109375,-109.9101563,1,0,0,response3disk_5,4,1.2171,14.35546875,9.30859375,1,0,0,rectangle_8,14.35546875,9.30859375,1,0,0,14.35546875,9.30859375,1,0,0,0,3,3,5,1,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,FF,-136.9921875,-59.84765625,1,0,0,response5disk_5,2,0.9833,10.30859375,-10.484375,1,0,0,rectangle_8,-58.50390625,-89.328125,1,0,0,19.484375,12.546875,1,0,0,0,4,4,0,1,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,1.8167,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,90,PF,79.94140625,107.4804688,1,0,0,response1disk_5,7,1.7331,-9.171875,-19.53515625,1,0,0,rectangle_8,-9.171875,-19.53515625,1,0,0,-9.171875,-19.53515625,1,0,0,0,5,5,1,1,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,PF,-40.4921875,-73.20703125,1,0,0,response5disk_5,3,1.5512,0.109375,2.37109375,1,0,0,rectangle_8,0.109375,2.37109375,1,0,0,0.109375,2.37109375,1,0,0,0,6,6,6,1,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4675,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.4253,777,41.9296875,-93.39453125,1,0,0,response3disk,,4,-18.578125,3.28125,1,0,0,rectangle,-18.578125,3.28125,1,0,0,-18.578125,3.28125,1,0,0,0,0,0,69,1,
,,,,,,,,,,,,,FF,,,,,,,,1.2672,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1286,-72.99609375,-95.6640625,1,0,0,response5disk,,3,18.50390625,19.75,1,0,0,rectangle,18.50390625,19.75,1,0,0,18.50390625,19.75,1,0,0,0,1,1,91,1,
,,,,,,,,,,,,,FF,,,,,,,,1.0983,,,,,,,,,,,,,,,,,,,,,,60fe39cf3acf29d77fd61715,61036ef619cdf417d42a878d,2021-07-29_19h17.04.022,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4163,-95.609375,35.18359375,1,0,0,response7disk,,1,-11.0234375,1.26171875,1,0,0,rectangle,-11.0234375,1.26171875,1,0,0,-11.0234375,1.26171875,1,0,0,0,2,2,65,1,
