key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.1888,space,8.9279,space,10.6119,space,4.2211,space,2.1797,space,3.0465,77,FF,30.66668665,80.66665834,1,0,0,response1disk_5,7,13.6516,1.9735E-05,-12.66667777,1,0,0,rectangle_8,1.9735E-05,-12.66667777,1,0,0,1.9735E-05,-12.66667777,1,0,0,0,0,0,3,1,60fe3d2570935a75dea9fb40,61036b54b33d786f994eba84,2021-07-29_22h01.14.308,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,PF,40.66668695,94.66665876,1,0,0,response1disk_5,7,4.1166,6.666685939,3.99998939,1,0,0,rectangle_8,32.00002003,107.3333258,1,0,0,10.66668606,-1.07288E-05,1,0,0,0,1,1,2,1,60fe3d2570935a75dea9fb40,61036b54b33d786f994eba84,2021-07-29_22h01.14.308,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.5345,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,101,PF,31.33339403,74.66665816,1,0,0,response1disk_5,7,2.9,6.000019252,4.666656077,1,0,0,rectangle_8,6.000019252,4.666656077,1,0,0,6.000019252,4.666656077,1,0,0,0,2,2,4,1,60fe3d2570935a75dea9fb40,61036b54b33d786f994eba84,2021-07-29_22h01.14.308,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,PF,44.00002038,-28.00001156,1,0,0,response3disk_5,5,2.1834,6.000019252,10.66665626,1,0,0,rectangle_8,6.000019252,10.66665626,1,0,0,6.000019252,10.66665626,1,0,0,0,3,3,1,1,60fe3d2570935a75dea9fb40,61036b54b33d786f994eba84,2021-07-29_22h01.14.308,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,145,FF,66.66668773,34.66665697,1,0,0,response1disk_5,6,3.8502,4.000019193,-4.000010848,1,0,0,rectangle_8,20.00001967,63.33330415,1,0,0,4.000019193,1.333322644,1,0,0,0,4,4,5,1,60fe3d2570935a75dea9fb40,61036b54b33d786f994eba84,2021-07-29_22h01.14.308,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.2333,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39,PF,65.33335435,28.66665679,1,0,0,response1disk_5,6,4.5833,-3.999981046,-1.333344102,1,0,0,rectangle_8,-3.999981046,-1.333344102,1,0,0,-3.999981046,-1.333344102,1,0,0,0,5,5,6,1,60fe3d2570935a75dea9fb40,61036b54b33d786f994eba84,2021-07-29_22h01.14.308,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,FF,38.66668689,72.6666581,1,0,0,response1disk_5,7,4.1499,8.000019312,2.666656017,1,0,0,rectangle_8,8.000019312,2.666656017,1,0,0,8.000019312,2.666656017,1,0,0,0,6,6,0,1,60fe3d2570935a75dea9fb40,61036b54b33d786f994eba84,2021-07-29_22h01.14.308,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.5682,,,,,,,,,,,,,,,,,,,,,,60fe3d2570935a75dea9fb40,61036b54b33d786f994eba84,2021-07-29_22h01.14.308,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.8864,2545,32.66668671,-70.6666795,1,0,0,response3disk,,4,2.66668582,-2.666677475,1,0,0,rectangle,2.66668582,-2.666677475,1,0,0,2.66668582,-2.666677475,1,0,0,0,0,0,66,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0834,,,,,,,,,,,,,,,,,,,,,,60fe3d2570935a75dea9fb40,61036b54b33d786f994eba84,2021-07-29_22h01.14.308,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,219,85.33335495,-36.0000118,1,0,0,response3disk,,5,6.666685939,-2.000010788,1,0,0,rectangle,6.666685939,-2.000010788,1,0,0,6.666685939,-2.000010788,1,0,0,0,1,1,6,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9334,,,,,,,,,,,,,,,,,,,,,,60fe3d2570935a75dea9fb40,61036b54b33d786f994eba84,2021-07-29_22h01.14.308,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2680,72.66668791,59.33330403,1,0,0,response1disk,,6,3.333393196,-0.666677415,1,0,0,rectangle,3.333393196,-0.666677415,1,0,0,3.333393196,-0.666677415,1,0,0,0,2,2,14,1,,,,,,,,
