key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.984,space,2.958,space,17.751,space,10.669,space,1.462,space,5.193,2,PF,-47,85,1,0,0,response7disk_5,0,8.551,19,2,1,0,0,rectangle_8,19,2,1,0,0,19,2,1,0,0,0,0,0,4,1,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,FF,30,65,1,0,0,response1disk_5,7,2.45,2,-10,1,0,0,rectangle_8,18,-87,1,0,0,-2,-3,1,0,0,0,1,1,0,1,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,3.751,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,57,FF,54,97,1,0,0,response1disk_5,7,1.517,7,7,1,0,0,rectangle_8,7,7,1,0,0,7,7,1,0,0,0,2,2,3,1,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,75,PF,-62,-78,1,0,0,response5disk_5,3,3.083,0,2,1,0,0,rectangle_8,0,2,1,0,0,0,2,1,0,0,0,3,3,2,1,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,PF,38,77,1,0,0,response1disk_5,7,1.366,-3,6,1,0,0,rectangle_8,55,-72,1,0,0,-4,-3,1,0,0,0,4,4,6,1,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.701,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,79,PF,81,-40,1,0,0,response3disk_5,5,1.85,-10,0,1,0,0,rectangle_8,-10,0,1,0,0,-10,0,1,0,0,0,5,5,1,1,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,FF,28,89,1,0,0,response1disk_5,7,2.833,11,8,1,0,0,rectangle_8,11,8,1,0,0,11,8,1,0,0,0,6,6,5,1,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.584,,,,,,,,,,,,,,,,,,,,,,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.562,3064,41,86,1,0,0,response1disk,,7,21,12,1,0,0,rectangle,21,12,1,0,0,21,12,1,0,0,0,0,0,101,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.633,,,,,,,,,,,,,,,,,,,,,,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1775,72,29,1,0,0,response1disk,,6,-8,-1,1,0,0,rectangle,-8,-1,1,0,0,-8,-1,1,0,0,0,1,1,158,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.283,,,,,,,,,,,,,,,,,,,,,,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3875,-40,73,1,0,0,response7disk,,0,-3,6,1,0,0,rectangle,-3,6,1,0,0,-3,6,1,0,0,0,2,2,137,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.417,,,,,,,,,,,,,,,,,,,,,,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,442,37,-71,1,0,0,response3disk,,4,4,-3,1,0,0,rectangle,4,-3,1,0,0,4,-3,1,0,0,0,3,3,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.383,,,,,,,,,,,,,,,,,,,,,,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1089,40,70,1,0,0,response1disk,,7,-3,7,1,0,0,rectangle,-3,7,1,0,0,-3,7,1,0,0,0,4,4,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.35,,,,,,,,,,,,,,,,,,,,,,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,323,33,68,1,0,0,response1disk,,7,2,8,1,0,0,rectangle,2,8,1,0,0,2,8,1,0,0,0,5,5,97,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.867,,,,,,,,,,,,,,,,,,,,,,60fe3f65d1ef0e848acb56a9,61036adf1c694e0cea5f1142,2021-07-30_12h59.47.827,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,592,36,80,1,0,0,response1disk,,7,0,-4,1,0,0,rectangle,0,-4,1,0,0,0,-4,1,0,0,0,6,6,95,1,,,,,,,,
