key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.6002,space,5.6127,space,26.9809,space,33.0508,space,3.7182,space,7.2174,94,PF,84.69903564,38.94537354,1,0,0,response1disk_5,6,27.5083,-3.280273438,3.506286621,1,0,0,rectangle_8,-3.280273438,3.506286621,1,0,0,-3.280273438,3.506286621,1,0,0,0,0,0,4,1,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,PF,-42.63195801,-85.16271973,1,0,0,response5disk_5,3,3.8668,4.162719727,3.356079102,1,0,0,rectangle_8,-36.91986084,-81.93151855,1,0,0,-1.282836914,4.473327637,1,0,0,0,1,1,2,1,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,6.4321,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,FF,43.97460938,-72.1640625,1,0,0,response3disk_5,4,2.4653,-7.776245117,-3.048095703,1,0,0,rectangle_8,-7.776245117,-3.048095703,1,0,0,-7.776245117,-3.048095703,1,0,0,0,2,2,5,1,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,42,PF,93.894104,-50.62268066,1,0,0,response3disk_5,5,1.5813,1.194763184,-0.958251953,1,0,0,rectangle_8,1.194763184,-0.958251953,1,0,0,1.194763184,-0.958251953,1,0,0,0,3,3,6,1,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,84,FF,78.7677002,-42.21392822,1,0,0,response3disk_5,5,1.6144,-0.20300293,-8.11151123,1,0,0,rectangle_8,-29.55749512,-85.04528809,1,0,0,3.628234863,-0.885742188,1,0,0,0,4,4,3,1,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.1836,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,PF,75.36248779,40.12670898,1,0,0,response1disk_5,6,5.4828,-3.942749023,-2.266479492,1,0,0,rectangle_8,-3.942749023,-2.266479492,1,0,0,-3.942749023,-2.266479492,1,0,0,0,5,5,1,1,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,154,FF,-56.85125732,-80.81359863,1,0,0,response5disk_5,3,1.6659,6.238708496,2.885131836,1,0,0,rectangle_8,6.238708496,2.885131836,1,0,0,6.238708496,2.885131836,1,0,0,0,6,6,0,1,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2503,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,8.2802,3742,-41.33764648,75.61816406,1,0,0,response7disk,,0,-0.99621582,-1.399475098,1,0,0,rectangle,-0.99621582,-1.399475098,1,0,0,-0.99621582,-1.399475098,1,0,0,0,0,0,69,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2503,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1711,37.26696777,-75.86108398,1,0,0,response3disk,,4,-2.392578125,-0.730712891,1,0,0,rectangle,-2.392578125,-0.730712891,1,0,0,-2.392578125,-0.730712891,1,0,0,0,1,1,12,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9478,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,666,66.76171875,-37.95913696,1,0,0,response3disk,,5,-7.067260742,-2.343383789,1,0,0,rectangle,-7.067260742,-2.343383789,1,0,0,-7.067260742,-2.343383789,1,0,0,0,2,2,114,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8837,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2515,72.62835693,-29.52252197,1,0,0,response3disk,,5,-11.9822998,-4.90045166,1,0,0,rectangle,-11.9822998,-4.90045166,1,0,0,-11.9822998,-4.90045166,1,0,0,0,3,3,18,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9691,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,859,79.6151123,-56.39251709,1,0,0,response3disk,,5,-3.279663086,-0.212524414,1,0,0,rectangle,-3.279663086,-0.212524414,1,0,0,-3.279663086,-0.212524414,1,0,0,0,4,4,93,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2999,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3842,84.66906738,39.97814941,1,0,0,response1disk,,6,10.1763916,-1.964782715,1,0,0,rectangle,10.1763916,-1.964782715,1,0,0,10.1763916,-1.964782715,1,0,0,0,5,5,133,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9828,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2553,33.65112305,-76.01818848,1,0,0,response3disk,,4,7.26159668,2.585021973,1,0,0,rectangle,7.26159668,2.585021973,1,0,0,7.26159668,2.585021973,1,0,0,0,6,6,99,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1176,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,60,84.36322021,-34.92687988,1,0,0,response3disk,,5,-7.724853516,-0.761291504,1,0,0,rectangle,-7.724853516,-0.761291504,1,0,0,-7.724853516,-0.761291504,1,0,0,0,7,7,139,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3845,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,17,79.29144287,40.66598511,1,0,0,response1disk,,6,13.9432373,0.922058105,1,0,0,rectangle,13.9432373,0.922058105,1,0,0,13.9432373,0.922058105,1,0,0,0,8,8,50,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.817,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2762,32.89752197,88.65802002,1,0,0,response1disk,,7,-10.921875,1.867126465,1,0,0,rectangle,-10.921875,1.867126465,1,0,0,-10.921875,1.867126465,1,0,0,0,9,9,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0183,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,845,75.03210449,-43.52255249,1,0,0,response3disk,,5,-0.648742676,-1.268981934,1,0,0,rectangle,-0.648742676,-1.268981934,1,0,0,-0.648742676,-1.268981934,1,0,0,0,10,10,89,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8141,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3119,35.79620361,82.02523804,1,0,0,response1disk,,7,-1.995117188,-2.791015625,1,0,0,rectangle,-1.995117188,-2.791015625,1,0,0,-1.995117188,-2.791015625,1,0,0,0,11,11,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.748,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2588,24.43395996,79.91375732,1,0,0,response1disk,,7,-4.112304688,0.017883301,1,0,0,rectangle,-4.112304688,0.017883301,1,0,0,-4.112304688,0.017883301,1,0,0,0,12,12,147,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.4863,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2636,83.96203613,49.5098877,1,0,0,response1disk,,6,11.26373291,-2.588439941,1,0,0,rectangle,-31.48205566,90.45874023,1,0,0,6.245300293,2.35546875,1,0,0,0,13,13,8,1,,response7disk_3,TRUE,0,0,"[257,232,218,76,217,51,172,162,254,18,14,100,69,233,260,316,34,80,274,20]",2.6314,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.2856,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1609,-40.76025391,82.94390869,1,0,0,response7disk,,0,7.10760498,-3.422973633,1,0,0,rectangle,7.10760498,-3.422973633,1,0,0,7.10760498,-3.422973633,1,0,0,0,14,14,116,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1029,,,,,,,,,,,,,,,,,,,,,,60fe43b140d7b3e8893288f8,61036cfadaa4d7d2a8d929ac,2021-07-30_13h12.04.710,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1471,76.50976563,40.59246826,1,0,0,response1disk,,6,0.552307129,-1.741760254,1,0,0,rectangle,0.552307129,-1.741760254,1,0,0,0.552307129,-1.741760254,1,0,0,0,15,15,123,1,,,,,,,,
