key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.1762,space,9.0515,space,10.2702,space,4.5882,space,1.2009,space,3.1485,156,PF,74.43762207,-31.52032471,1,0,0,response3disk_5,5,8.5091,0.672302246,-1.746704102,1,0,0,rectangle_8,0.672302246,-1.746704102,1,0,0,0.672302246,-1.746704102,1,0,0,0,0,0,4,1,60fe4775e9193e65f3742ed5,61037945e53483625331ac8c,2021-07-29_21h00.35.558,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,37,PF,34.08764648,-86.19360352,1,0,0,response3disk_5,4,8.1156,-0.726318359,1.799743652,1,0,0,rectangle_8,-73.39404297,36.70755005,1,0,0,-0.529663086,-2.665893555,1,0,0,0,1,1,1,1,60fe4775e9193e65f3742ed5,61037945e53483625331ac8c,2021-07-29_21h00.35.558,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.5357,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,52.62573242,79.82006836,1,0,0,response1disk_5,7,4.6396,4.185424805,-1.436889648,1,0,0,rectangle_8,4.185424805,-1.436889648,1,0,0,4.185424805,-1.436889648,1,0,0,0,2,2,2,1,60fe4775e9193e65f3742ed5,61037945e53483625331ac8c,2021-07-29_21h00.35.558,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,78,FF,57.96832275,-70.65264893,1,0,0,response3disk_5,4,2.5116,5.404968262,-3.587768555,1,0,0,rectangle_8,5.404968262,-3.587768555,1,0,0,5.404968262,-3.587768555,1,0,0,0,3,3,0,1,60fe4775e9193e65f3742ed5,61037945e53483625331ac8c,2021-07-29_21h00.35.558,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,60,FF,32.76422119,-88.26574707,1,0,0,response3disk_5,4,1.6131,3.813842773,-9.886169434,1,0,0,rectangle_8,-86.64233398,37.28900146,1,0,0,4.773132324,-1.289978027,1,0,0,0,4,4,3,1,60fe4775e9193e65f3742ed5,61037945e53483625331ac8c,2021-07-29_21h00.35.558,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.0362,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,PF,37.31781006,-95.55151367,1,0,0,response3disk_5,4,1.7579,4.807006836,-7.55480957,1,0,0,rectangle_8,4.807006836,-7.55480957,1,0,0,4.807006836,-7.55480957,1,0,0,0,5,5,6,1,60fe4775e9193e65f3742ed5,61037945e53483625331ac8c,2021-07-29_21h00.35.558,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,FF,77.95599365,-44.35443115,1,0,0,response3disk_5,5,1.9472,0.361816406,-2.047729492,1,0,0,rectangle_8,0.361816406,-2.047729492,1,0,0,0.361816406,-2.047729492,1,0,0,0,6,6,5,1,60fe4775e9193e65f3742ed5,61037945e53483625331ac8c,2021-07-29_21h00.35.558,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2524,,,,,,,,,,,,,,,,,,,,,,60fe4775e9193e65f3742ed5,61037945e53483625331ac8c,2021-07-29_21h00.35.558,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9427,2328,40.06549072,-75.84106445,1,0,0,response3disk,,4,1.208129883,-2.990234375,1,0,0,rectangle,1.208129883,-2.990234375,1,0,0,1.208129883,-2.990234375,1,0,0,0,0,0,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.616,,,,,,,,,,,,,,,,,,,,,,60fe4775e9193e65f3742ed5,61037945e53483625331ac8c,2021-07-29_21h00.35.558,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2733,-32.53076172,-72.66229248,1,0,0,response5disk,,3,3.445922852,-2.737121582,1,0,0,rectangle,3.445922852,-2.737121582,1,0,0,3.445922852,-2.737121582,1,0,0,0,1,1,57,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5909,,,,,,,,,,,,,,,,,,,,,,60fe4775e9193e65f3742ed5,61037945e53483625331ac8c,2021-07-29_21h00.35.558,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3120,89.90380859,-45.57342529,1,0,0,response3disk,,5,-1.808959961,-5.781799316,1,0,0,rectangle,-1.808959961,-5.781799316,1,0,0,-1.808959961,-5.781799316,1,0,0,0,2,2,86,1,,,,,,,,
