key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.12,space,4.077,space,17.868,space,20.12,space,0.756,space,4.125,83,FF,-46,-62,1,0,0,response5disk_5,3,12.669,0,13,1,0,0,rectangle_8,0,13,1,0,0,0,13,1,0,0,0,0,0,5,1,60fe5a238ab86b516164f360,61036d2f19cdf417d42a8778,2021-07-29_20h11.10.879,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,PF,74,-32,1,0,0,response3disk_5,5,6.485,-2,-14,1,0,0,rectangle_8,-77,-26,1,0,0,0,-4,1,0,0,0,1,1,2,1,60fe5a238ab86b516164f360,61036d2f19cdf417d42a8778,2021-07-29_20h11.10.879,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.545,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,61,FF,50,-65,1,0,0,response3disk_5,4,2.34,1,-7,1,0,0,rectangle_8,1,-7,1,0,0,1,-7,1,0,0,0,2,2,3,1,60fe5a238ab86b516164f360,61036d2f19cdf417d42a8778,2021-07-29_20h11.10.879,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,PF,-60,41,1,0,0,response7disk_5,1,4.713,-11,-7,1,0,0,rectangle_8,-11,-7,1,0,0,-11,-7,1,0,0,0,3,3,4,1,60fe5a238ab86b516164f360,61036d2f19cdf417d42a8778,2021-07-29_20h11.10.879,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,90,PF,-45,-68,1,0,0,response5disk_5,3,2.038,-8,-9,1,0,0,rectangle_8,-72,-23,1,0,0,0,-1,1,0,0,0,4,4,1,1,60fe5a238ab86b516164f360,61036d2f19cdf417d42a8778,2021-07-29_20h11.10.879,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.921,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,20,PF,-66,33,1,0,0,response7disk_5,1,1.269,-13,-15,1,0,0,rectangle_8,-13,-15,1,0,0,-13,-15,1,0,0,0,5,5,6,1,60fe5a238ab86b516164f360,61036d2f19cdf417d42a8778,2021-07-29_20h11.10.879,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,FF,36,-58,1,0,0,response3disk_5,4,1.471,-8,7,1,0,0,rectangle_8,-8,7,1,0,0,-8,7,1,0,0,0,6,6,0,1,60fe5a238ab86b516164f360,61036d2f19cdf417d42a8778,2021-07-29_20h11.10.879,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.892,,,,,,,,,,,,,,,,,,,,,,60fe5a238ab86b516164f360,61036d2f19cdf417d42a8778,2021-07-29_20h11.10.879,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.396,865,58,69,1,0,0,response1disk,,7,15,-2,1,0,0,rectangle,15,-2,1,0,0,15,-2,1,0,0,0,0,0,157,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.387,,,,,,,,,,,,,,,,,,,,,,60fe5a238ab86b516164f360,61036d2f19cdf417d42a8778,2021-07-29_20h11.10.879,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3360,26,-57,1,0,0,response3disk,,4,7,-6,1,0,0,rectangle,7,-6,1,0,0,7,-6,1,0,0,0,1,1,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.621,,,,,,,,,,,,,,,,,,,,,,60fe5a238ab86b516164f360,61036d2f19cdf417d42a8778,2021-07-29_20h11.10.879,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1616,-63,-43,1,0,0,response5disk,,2,-7,1,1,0,0,rectangle,-7,1,1,0,0,-7,1,1,0,0,0,2,2,39,1,,,,,,,,
