key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.2262,space,27.305,space,10.3209,space,15.187,space,0.124,space,6.6329,159,FF,71.33335453,-36.66667849,1,0,0,response3disk_5,5,2.8644,3.333393196,1.999989331,1,0,0,rectangle_8,3.333393196,1.999989331,1,0,0,3.333393196,1.999989331,1,0,0,0,0,0,0,1,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56,PF,-88.66660955,-37.33334517,1,0,0,response5disk_5,2,5.1793,6.000019252,1.333322644,1,0,0,rectangle_8,87.33335501,36.66665703,1,0,0,-7.999981165,0.666655958,1,0,0,0,1,1,1,1,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,4.0643,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,53,PF,-49.33331573,-70.6666795,1,0,0,response5disk_5,3,2.9303,-3.333314359,-1.333344102,1,0,0,rectangle_8,-3.333314359,-1.333344102,1,0,0,-3.333314359,-1.333344102,1,0,0,0,2,2,4,1,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,FF,84.66668826,-26.66667819,1,0,0,response3disk_5,5,2.5635,-0.666606923,-2.666677475,1,0,0,rectangle_8,-0.666606923,-2.666677475,1,0,0,-0.666606923,-2.666677475,1,0,0,0,3,3,3,1,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,PF,89.33335507,41.99999052,1,0,0,response1disk_5,6,2.323,10.00001937,-2.666677475,1,0,0,rectangle_8,85.33335495,37.33330337,1,0,0,-3.333314359,-3.333344162,1,0,0,0,4,4,6,1,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.3298,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,PF,-38.66660806,-62.66667926,1,0,0,response5disk_5,3,3.5961,-5.333314419,4.666656077,1,0,0,rectangle_8,-5.333314419,4.666656077,1,0,0,-5.333314419,4.666656077,1,0,0,0,5,5,2,1,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,FF,-58.66660865,47.33330367,1,0,0,response7disk_5,1,2.0474,-13.33331466,5.333322763,1,0,0,rectangle_8,-13.33331466,5.333322763,1,0,0,-13.33331466,5.333322763,1,0,0,0,6,6,5,1,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6973,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.2477,3298,-75.3333165,-32.00001168,1,0,0,response5disk,,2,-15.33331472,-8.666677654,1,0,0,rectangle,-15.33331472,-8.666677654,1,0,0,-15.33331472,-8.666677654,1,0,0,0,0,0,22,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.348,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2913,71.33335453,-37.33334517,1,0,0,response3disk,,5,19.33339367,-8.666677654,1,0,0,rectangle,19.33339367,-8.666677654,1,0,0,19.33339367,-8.666677654,1,0,0,0,1,1,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.7288,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,843,86.00002164,30.66665685,1,0,0,response1disk,,6,13.33339349,-2.000010788,1,0,0,rectangle,13.33339349,-2.000010788,1,0,0,13.33339349,-2.000010788,1,0,0,0,2,2,35,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7311,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3395,-82.66660937,-24.66667813,1,0,0,response5disk,,2,-13.33331466,3.333322704,1,0,0,rectangle,-13.33331466,3.333322704,1,0,0,-13.33331466,3.333322704,1,0,0,0,3,3,60,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5805,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,777,47.33335382,-73.33334625,1,0,0,response3disk,,4,12.00001943,-10.00001103,1,0,0,rectangle,-75.3333165,35.33330331,1,0,0,7.333393315,5.333322763,1,0,0,0,4,4,81,1,,response7disk_3,TRUE,1,1,"[11,140,19,176,105,122,285,156,29,295,5,269,40,207,101,233,206,131,303,158]",2.2806,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.8976,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3399,-50.66660841,-63.33334595,1,0,0,response5disk,,3,10.00001937,-1.333344102,1,0,0,rectangle,10.00001937,-1.333344102,1,0,0,10.00001937,-1.333344102,1,0,0,0,5,5,136,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3816,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3711,-73.99998313,27.33330307,1,0,0,response7disk,,1,13.33339349,-1.07288E-05,1,0,0,rectangle,13.33339349,-1.07288E-05,1,0,0,13.33339349,-1.07288E-05,1,0,0,0,6,6,26,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2812,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3891,44.00002038,-59.33334583,1,0,0,response3disk,,4,8.666685998,-1.07288E-05,1,0,0,rectangle,8.666685998,-1.07288E-05,1,0,0,8.666685998,-1.07288E-05,1,0,0,0,7,7,66,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8145,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1924,63.33335429,-49.33334553,1,0,0,response3disk,,5,-5.999981105,2.666656017,1,0,0,rectangle,-5.999981105,2.666656017,1,0,0,-5.999981105,2.666656017,1,0,0,0,8,8,88,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1977,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1234,-67.99998295,-29.33334494,1,0,0,response5disk,,2,-1.999980986,0.666655958,1,0,0,rectangle,-1.999980986,0.666655958,1,0,0,-1.999980986,0.666655958,1,0,0,0,9,9,99,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1485,,,,,,,,,,,,,,,,,,,,,,60fe5dcd522e58dce4ea67ac,61036dd58f446aaf42f4385d,2021-07-30_13h13.08.458,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2893,-66.66660889,24.66665667,1,0,0,response7disk,,1,-8.666607161,9.333322883,1,0,0,rectangle,-43.99998224,-66.66667938,1,0,0,-11.99998128,1.333322644,1,0,0,0,10,10,153,1,,response5disk_3,TRUE,3,3,"[11,140,19,176,105,122,285,156,29,295,5,269,40,207,101,233,206,131,303,158]",2.2131,rectangle
