key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0661,space,17.2649,space,36.7757,space,7.2138,space,0.9359,space,3.6002,127,PF,-87,-56,1,0,0,response5disk_5,2,6.2258,-4,-2,1,0,0,rectangle_8,-4,-2,1,0,0,-4,-2,1,0,0,0,0,0,1,1,60feb1d22d3c61aeab816651,610378cc864e7cffc8c68912,2021-07-30_13h59.41.249,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,FF,-26,-69,1,0,0,response5disk_5,3,4.4654,1,4,1,0,0,rectangle_8,129,-68,1,0,0,-9,2,1,0,0,0,1,1,0,1,60feb1d22d3c61aeab816651,610378cc864e7cffc8c68912,2021-07-30_13h59.41.249,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.2196,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,FF,112,-45,1,0,0,response3disk_5,5,2.1665,-13,5,1,0,0,rectangle_8,-13,5,1,0,0,-13,5,1,0,0,0,2,2,5,1,60feb1d22d3c61aeab816651,610378cc864e7cffc8c68912,2021-07-30_13h59.41.249,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,104,PF,122,75,1,0,0,response1disk_5,6,1.8504,-9,-2,1,0,0,rectangle_8,-9,-2,1,0,0,-9,-2,1,0,0,0,3,3,6,1,60feb1d22d3c61aeab816651,610378cc864e7cffc8c68912,2021-07-30_13h59.41.249,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,FF,-84,-50,1,0,0,response5disk_5,2,2.5492,-8,6,1,0,0,rectangle_8,118,-61,1,0,0,-15,6,1,0,0,0,4,4,3,1,60feb1d22d3c61aeab816651,610378cc864e7cffc8c68912,2021-07-30_13h59.41.249,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.5493,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,119,PF,-69,90,1,0,0,response7disk_5,0,2.9327,-8,6,1,0,0,rectangle_8,-8,6,1,0,0,-8,6,1,0,0,0,5,5,4,1,60feb1d22d3c61aeab816651,610378cc864e7cffc8c68912,2021-07-30_13h59.41.249,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,PF,58,133,1,0,0,response1disk_5,7,1.1338,7,3,1,0,0,rectangle_8,7,3,1,0,0,7,3,1,0,0,0,6,6,2,1,60feb1d22d3c61aeab816651,610378cc864e7cffc8c68912,2021-07-30_13h59.41.249,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9163,,,,,,,,,,,,,,,,,,,,,,60feb1d22d3c61aeab816651,610378cc864e7cffc8c68912,2021-07-30_13h59.41.249,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.4479,3028,73,97,1,0,0,response1disk,,7,11,-3,1,0,0,rectangle,11,-3,1,0,0,11,-3,1,0,0,0,0,0,65,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5496,,,,,,,,,,,,,,,,,,,,,,60feb1d22d3c61aeab816651,610378cc864e7cffc8c68912,2021-07-30_13h59.41.249,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2918,65,52,1,0,0,response1disk,,6,10,4,1,0,0,rectangle,10,4,1,0,0,10,4,1,0,0,0,1,1,82,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5325,,,,,,,,,,,,,,,,,,,,,,60feb1d22d3c61aeab816651,610378cc864e7cffc8c68912,2021-07-30_13h59.41.249,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,334,55,-44,1,0,0,response3disk,,5,6,2,1,0,0,rectangle,6,2,1,0,0,6,2,1,0,0,0,2,2,21,1,,,,,,,,
