key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.4026,space,19.1562,space,13.1821,space,4.8845,space,1.2009,space,4.5377,14,PF,-89.92626953,39.21240234,1,0,0,response7disk_5,1,8.0377,-4.845397949,-6.022155762,1,0,0,rectangle_8,-4.845397949,-6.022155762,1,0,0,-4.845397949,-6.022155762,1,0,0,0,0,0,4,1,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,PF,-95.93060303,57.54437256,1,0,0,response7disk_5,1,4.3815,15.40490723,10.58370972,1,0,0,rectangle_8,95.75769043,39.96966553,1,0,0,7.688232422,-9.958679199,1,0,0,0,1,1,6,1,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.3665,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,73,FF,81.93969727,-20.41741943,1,0,0,response3disk_5,5,9.2661,9.371398926,0.382995605,1,0,0,rectangle_8,9.371398926,0.382995605,1,0,0,9.371398926,0.382995605,1,0,0,0,2,2,0,1,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,FF,-76.93371582,-48.98709106,1,0,0,response5disk_5,2,8.5016,-2.47644043,0.683013916,1,0,0,rectangle_8,-2.47644043,0.683013916,1,0,0,-2.47644043,0.683013916,1,0,0,0,3,3,3,1,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,PF,92.50805664,-35.63830566,1,0,0,response3disk_5,5,8.4006,10.66320801,-9.019989014,1,0,0,rectangle_8,93.40826416,34.94659424,1,0,0,10.46087646,-6.615936279,1,0,0,0,4,4,1,1,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.1994,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,FF,28.35491943,-101.6542969,1,0,0,response3disk_5,4,4.652,3.801330566,11.43847656,1,0,0,rectangle_8,3.801330566,11.43847656,1,0,0,3.801330566,11.43847656,1,0,0,0,5,5,5,1,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,28,PF,42.22735596,-79.23626709,1,0,0,response3disk_5,4,5.6864,-0.340698242,1.880218506,1,0,0,rectangle_8,-0.340698242,1.880218506,1,0,0,-0.340698242,1.880218506,1,0,0,0,6,6,2,1,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.5179,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.2409,4211,42.08538818,81.53939819,1,0,0,response1disk,,7,4.957641602,-7.626953125,1,0,0,rectangle,4.957641602,-7.626953125,1,0,0,4.957641602,-7.626953125,1,0,0,0,0,0,79,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0505,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1742,21.61431885,59.4604187,1,0,0,response1disk,,7,6.736572266,-12.98059082,1,0,0,rectangle,6.736572266,-12.98059082,1,0,0,6.736572266,-12.98059082,1,0,0,0,1,1,90,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.1647,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1715,54.27386475,81.8354187,1,0,0,response1disk,,7,-0.719360352,-0.857727051,1,0,0,rectangle,-0.719360352,-0.857727051,1,0,0,-0.719360352,-0.857727051,1,0,0,0,2,2,14,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8849,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3827,29.62390137,-82.26959229,1,0,0,response3disk,,4,6.357666016,0.31463623,1,0,0,rectangle,6.357666016,0.31463623,1,0,0,6.357666016,0.31463623,1,0,0,0,3,3,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0161,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2831,-38.20074463,119.956543,1,0,0,response7disk,,0,-2.195495605,-12.9515686,1,0,0,rectangle,-2.195495605,-12.9515686,1,0,0,-2.195495605,-12.9515686,1,0,0,0,4,4,101,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.6028,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1820,46.85321045,-83.57971191,1,0,0,response3disk,,4,-8.161499023,-9.316253662,1,0,0,rectangle,-8.161499023,-9.316253662,1,0,0,-8.161499023,-9.316253662,1,0,0,0,5,5,42,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.2666,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3613,39.63757324,-109.5779419,1,0,0,response3disk,,4,-2.044311523,8.17175293,1,0,0,rectangle,-2.044311523,8.17175293,1,0,0,-2.044311523,8.17175293,1,0,0,0,6,6,72,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8161,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3652,31.41674805,79.88378906,1,0,0,response1disk,,7,15.4317627,-13.74481201,1,0,0,rectangle,15.4317627,-13.74481201,1,0,0,15.4317627,-13.74481201,1,0,0,0,7,7,4,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3998,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1891,-79.2421875,-34.58758545,1,0,0,response5disk,,2,-9.658325195,-10.24737549,1,0,0,rectangle,-9.658325195,-10.24737549,1,0,0,-9.658325195,-10.24737549,1,0,0,0,8,8,126,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.083,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3224,56.83459473,80.43200684,1,0,0,response1disk,,7,14.33435059,-10.74932861,1,0,0,rectangle,14.33435059,-10.74932861,1,0,0,14.33435059,-10.74932861,1,0,0,0,9,9,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.1998,,,,,,,,,,,,,,,,,,,,,,60fed8cce19b6feaef94c4c5,61036fa68edf5797ea8d68ce,2021-07-29_23h22.09.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3670,-75.56225586,-34.14874268,1,0,0,response5disk,,2,5.428466797,7.264221191,1,0,0,rectangle,5.428466797,7.264221191,1,0,0,5.428466797,7.264221191,1,0,0,0,10,10,69,1,,,,,,,,
