key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,0.762125,space,8.278125,space,35.8643,space,5.86453,space,1.43302,space,4.08067,97,FF,90.359375,-43.5078125,1,0,0,response3disk_5,5,10.938355,12.5625,1.81640625,1,0,0,rectangle_8,12.5625,1.81640625,1,0,0,12.5625,1.81640625,1,0,0,0,0,0,0,1,60fee7661415e50dba611521,61036ad8dba2c62fa6a56671,2021-07-29_22h59.02.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,PF,52.49609375,-97.6171875,1,0,0,response3disk_5,4,5.09765,4.16796875,-8.03125,1,0,0,rectangle_8,-85.1484375,26.01171875,1,0,0,-5.76171875,-8.57421875,1,0,0,0,1,1,4,1,60fee7661415e50dba611521,61036ad8dba2c62fa6a56671,2021-07-29_22h59.02.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.73551,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,-36.390625,-82.67578125,1,0,0,response5disk_5,3,1.967485,-3.6328125,7.47265625,1,0,0,rectangle_8,-3.6328125,7.47265625,1,0,0,-3.6328125,7.47265625,1,0,0,0,2,2,2,1,60fee7661415e50dba611521,61036ad8dba2c62fa6a56671,2021-07-29_22h59.02.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,FF,29.0390625,-68.13671875,1,0,0,response3disk_5,4,1.567155,3.5703125,0.52734375,1,0,0,rectangle_8,3.5703125,0.52734375,1,0,0,3.5703125,0.52734375,1,0,0,0,3,3,3,1,60fee7661415e50dba611521,61036ad8dba2c62fa6a56671,2021-07-29_22h59.02.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,126,PF,-85.9296875,-34.1953125,1,0,0,response5disk_5,2,1.567005,-14.02734375,-2.11328125,1,0,0,rectangle_8,-99.59375,36.0625,1,0,0,-15.6875,-2.7890625,1,0,0,0,4,4,1,1,60fee7661415e50dba611521,61036ad8dba2c62fa6a56671,2021-07-29_22h59.02.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.5657,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,73.26171875,25.0625,1,0,0,response1disk_5,6,1.765335,-5.078125,-11.66015625,1,0,0,rectangle_8,-5.078125,-11.66015625,1,0,0,-5.078125,-11.66015625,1,0,0,0,5,5,6,1,60fee7661415e50dba611521,61036ad8dba2c62fa6a56671,2021-07-29_22h59.02.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,96,FF,59.7578125,-28.359375,1,0,0,response3disk_5,5,1.43422,16.5078125,-9.14453125,1,0,0,rectangle_8,16.5078125,-9.14453125,1,0,0,16.5078125,-9.14453125,1,0,0,0,6,6,5,1,60fee7661415e50dba611521,61036ad8dba2c62fa6a56671,2021-07-29_22h59.02.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.14984,,,,,,,,,,,,,,,,,,,,,,60fee7661415e50dba611521,61036ad8dba2c62fa6a56671,2021-07-29_22h59.02.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.34283,1386,-30.54296875,-75.55078125,1,0,0,response5disk,,3,9.4765625,2.33984375,1,0,0,rectangle,-99.09375,15.58203125,1,0,0,response7disk_3,TRUE,1,1,"[76,48,307,127,17,219,1,245,295,194,169,33,157,149,96,270,114,120,227,305]",1.25089,-24.578125,-8.77734375,1,0,0,rectangle,0,0,0,121,1,
,,,,,,,,,,,,,FF,,,,,,,,3.532705,,,,,,,,,,,,,,,,,,,,,,60fee7661415e50dba611521,61036ad8dba2c62fa6a56671,2021-07-29_22h59.02.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3275,60.1953125,-29.53125,1,0,0,response3disk,,5,2.79296875,-7.640625,1,0,0,rectangle,2.79296875,-7.640625,1,0,0,,,,,,,2.79296875,-7.640625,1,0,0,,0,1,1,40,1,
,,,,,,,,,,,,,FF,,,,,,,,1.167095,,,,,,,,,,,,,,,,,,,,,,60fee7661415e50dba611521,61036ad8dba2c62fa6a56671,2021-07-29_22h59.02.697,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2602,-38.1640625,-65.7265625,1,0,0,response5disk,,3,-0.3515625,0.30859375,1,0,0,rectangle,-0.3515625,0.30859375,1,0,0,,,,,,,-0.3515625,0.30859375,1,0,0,,0,2,2,82,1,
