key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.391,space,9.246,space,38.673,space,13.517,space,1.115,space,3.644,90,FF,-58,-39,1,0,0,response5disk_5,2,22.068,-18,8,1,0,0,rectangle_8,-18,8,1,0,0,-18,8,1,0,0,0,0,0,5,1,60fee8c259d498feb86e38ad,61036ed5b4e8cd61018fe126,2021-07-29_22h16.16.734,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,PF,-43,-56,1,0,0,response5disk_5,3,4.85,-35,8,1,0,0,rectangle_8,-42,-51,1,0,0,-31,-2,1,0,0,0,1,1,4,1,60fee8c259d498feb86e38ad,61036ed5b4e8cd61018fe126,2021-07-29_22h16.16.734,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.749,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,PF,70,48,1,0,0,response1disk_5,6,2.901,8,8,1,0,0,rectangle_8,8,8,1,0,0,8,8,1,0,0,0,2,2,1,1,60fee8c259d498feb86e38ad,61036ed5b4e8cd61018fe126,2021-07-29_22h16.16.734,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,55,PF,25,-21,1,0,0,response3disk_5,5,3.282,-28,8,1,0,0,rectangle_8,-28,8,1,0,0,-28,8,1,0,0,0,3,3,6,1,60fee8c259d498feb86e38ad,61036ed5b4e8cd61018fe126,2021-07-29_22h16.16.734,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,75,PF,17,-68,1,0,0,response3disk_5,4,1.317,-10,8,1,0,0,rectangle_8,-41,-60,1,0,0,-21,3,1,0,0,0,4,4,2,1,60fee8c259d498feb86e38ad,61036ed5b4e8cd61018fe126,2021-07-29_22h16.16.734,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.567,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,122,FF,57,-24,1,0,0,response3disk_5,5,4.516,-22,6,1,0,0,rectangle_8,-22,6,1,0,0,-22,6,1,0,0,0,5,5,0,1,60fee8c259d498feb86e38ad,61036ed5b4e8cd61018fe126,2021-07-29_22h16.16.734,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,58,FF,56,-33,1,0,0,response3disk_5,5,1.1,-8,7,1,0,0,rectangle_8,-8,7,1,0,0,-8,7,1,0,0,0,6,6,3,1,60fee8c259d498feb86e38ad,61036ed5b4e8cd61018fe126,2021-07-29_22h16.16.734,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.417,,,,,,,,,,,,,,,,,,,,,,60fee8c259d498feb86e38ad,61036ed5b4e8cd61018fe126,2021-07-29_22h16.16.734,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.828,4293,-79,35,1,0,0,response7disk,,1,-15,6,1,0,0,rectangle,-15,6,1,0,0,-15,6,1,0,0,0,0,0,153,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.301,,,,,,,,,,,,,,,,,,,,,,60fee8c259d498feb86e38ad,61036ed5b4e8cd61018fe126,2021-07-29_22h16.16.734,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2362,17,-72,1,0,0,response3disk,,4,-3,0,1,0,0,rectangle,-3,0,1,0,0,-3,0,1,0,0,0,1,1,113,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.116,,,,,,,,,,,,,,,,,,,,,,60fee8c259d498feb86e38ad,61036ed5b4e8cd61018fe126,2021-07-29_22h16.16.734,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3891,19,86,1,0,0,response1disk,,7,-14,12,1,0,0,rectangle,-14,12,1,0,0,-14,12,1,0,0,0,2,2,29,1,,,,,,,,
