key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,4.2671,space,13.8981,space,13.6808,space,6.8474,space,0.6175,space,3.298,67,PF,-81,51,1,0,0,response7disk_5,1,4.3834,-13,-15,1,0,0,rectangle_8,-13,-15,1,0,0,-13,-15,1,0,0,0,0,0,4,1,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,FF,40,-116,1,0,0,response3disk_5,4,2.5187,1,3,1,0,0,rectangle_8,-58,-89,1,0,0,3,-12,1,0,0,0,1,1,5,1,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.7149,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,38,FF,88,37,1,0,0,response1disk_5,6,1.5644,-5,-6,1,0,0,rectangle_8,-5,-6,1,0,0,-5,-6,1,0,0,0,2,2,3,1,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,PF,-79,48,1,0,0,response7disk_5,1,1.482,-21,2,1,0,0,rectangle_8,-21,2,1,0,0,-21,2,1,0,0,0,3,3,2,1,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,94,PF,-31,-55,1,0,0,response5disk_5,3,1.1652,-11,-8,1,0,0,rectangle_8,-36,-77,1,0,0,-5,-9,1,0,0,0,4,4,1,1,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,1.8312,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,133,PF,96,-56,1,0,0,response3disk_5,5,1.0988,7,1,1,0,0,rectangle_8,7,1,1,0,0,7,1,1,0,0,0,5,5,6,1,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,27,FF,-69,-95,1,0,0,response5disk_5,3,1.2658,-29,-8,1,0,0,rectangle_8,-29,-8,1,0,0,-29,-8,1,0,0,0,6,6,0,1,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4657,,,,,,,,,,,,,,,,,,,,,,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9247,3912,-46,-93,1,0,0,response5disk,,3,-4,2,1,0,0,rectangle,-4,2,1,0,0,-4,2,1,0,0,0,0,0,125,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3202,,,,,,,,,,,,,,,,,,,,,,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,161,96,-30,1,0,0,response3disk,,5,23,3,1,0,0,rectangle,23,3,1,0,0,23,3,1,0,0,0,1,1,38,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7812,,,,,,,,,,,,,,,,,,,,,,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2045,-51,-107,1,0,0,response5disk,,3,-14,-3,1,0,0,rectangle,-14,-3,1,0,0,-14,-3,1,0,0,0,2,2,141,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.6948,,,,,,,,,,,,,,,,,,,,,,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3321,84,-64,1,0,0,response3disk,,5,14,-5,1,0,0,rectangle,14,-5,1,0,0,14,-5,1,0,0,0,3,3,79,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5784,,,,,,,,,,,,,,,,,,,,,,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3248,37,-94,1,0,0,response3disk,,4,8,-15,1,0,0,rectangle,8,-15,1,0,0,8,-15,1,0,0,0,4,4,99,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3102,,,,,,,,,,,,,,,,,,,,,,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3686,-42,-106,1,0,0,response5disk,,3,6,14,1,0,0,rectangle,6,14,1,0,0,6,14,1,0,0,0,5,5,27,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5974,,,,,,,,,,,,,,,,,,,,,,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3761,42,-98,1,0,0,response3disk,,4,-20,-2,1,0,0,rectangle,-20,-2,1,0,0,-20,-2,1,0,0,0,6,6,146,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9039,,,,,,,,,,,,,,,,,,,,,,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1141,-67,-30,1,0,0,response5disk,,2,-20,-8,1,0,0,rectangle,-20,-8,1,0,0,-20,-8,1,0,0,0,7,7,51,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.266,,,,,,,,,,,,,,,,,,,,,,60feea86c2cd1da8825671bc,61036ed836f49f6fa45685a1,2021-07-29_23h16.57.145,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3806,49,73,1,0,0,response1disk,,7,4,9,1,0,0,rectangle,4,9,1,0,0,4,9,1,0,0,0,8,8,130,1,,,,,,,,
