key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.853,space,2.413,space,21.564,space,7.624,space,1.923,space,7.409,26,FF,-98,-38,1,0,0,response5disk_5,2,13.878,17,5,1,0,0,rectangle_8,17,5,1,0,0,17,5,1,0,0,0,0,0,3,1,60fefae8e9544b4dc1f315dd,610378c67ffa09886f283d71,2021-07-29_23h58.23.690,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,PF,43,-95,1,0,0,response3disk_5,4,11.485,-10,1,1,0,0,rectangle_8,108,39,1,0,0,-4,-6,1,0,0,0,1,1,1,1,60fefae8e9544b4dc1f315dd,610378c67ffa09886f283d71,2021-07-29_23h58.23.690,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,4.911,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,118,FF,83,-35,1,0,0,response3disk_5,5,2.478,-11,-5,1,0,0,rectangle_8,-11,-5,1,0,0,-11,-5,1,0,0,0,2,2,5,1,60fefae8e9544b4dc1f315dd,610378c67ffa09886f283d71,2021-07-29_23h58.23.690,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,PF,81,37,1,0,0,response1disk_5,6,4.812,6,-1,1,0,0,rectangle_8,6,-1,1,0,0,6,-1,1,0,0,0,3,3,6,1,60fefae8e9544b4dc1f315dd,610378c67ffa09886f283d71,2021-07-29_23h58.23.690,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,90,PF,-57,-85,1,0,0,response5disk_5,3,2.466,-10,4,1,0,0,rectangle_8,87,37,1,0,0,-6,7,1,0,0,0,4,4,4,1,60fefae8e9544b4dc1f315dd,610378c67ffa09886f283d71,2021-07-29_23h58.23.690,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.226,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,PF,29,-79,1,0,0,response3disk_5,4,3.133,-5,1,1,0,0,rectangle_8,-5,1,1,0,0,-5,1,1,0,0,0,5,5,2,1,60fefae8e9544b4dc1f315dd,610378c67ffa09886f283d71,2021-07-29_23h58.23.690,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,FF,-88,-55,1,0,0,response5disk_5,2,3.859,-9,-3,1,0,0,rectangle_8,-9,-3,1,0,0,-9,-3,1,0,0,0,6,6,0,1,60fefae8e9544b4dc1f315dd,610378c67ffa09886f283d71,2021-07-29_23h58.23.690,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.918,,,,,,,,,,,,,,,,,,,,,,60fefae8e9544b4dc1f315dd,610378c67ffa09886f283d71,2021-07-29_23h58.23.690,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,4.48,3775,-37,-102,1,0,0,response5disk,,3,1,7,1,0,0,rectangle,1,7,1,0,0,1,7,1,0,0,0,0,0,6,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.035,,,,,,,,,,,,,,,,,,,,,,60fefae8e9544b4dc1f315dd,610378c67ffa09886f283d71,2021-07-29_23h58.23.690,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2942,-84,-43,1,0,0,response5disk,,2,-8,-5,1,0,0,rectangle,-8,-5,1,0,0,-8,-5,1,0,0,0,1,1,58,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.812,,,,,,,,,,,,,,,,,,,,,,60fefae8e9544b4dc1f315dd,610378c67ffa09886f283d71,2021-07-29_23h58.23.690,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2333,85,29,1,0,0,response1disk,,6,4,6,1,0,0,rectangle,4,6,1,0,0,4,6,1,0,0,0,2,2,40,1,,,,,,,,
