key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.8959,space,28.114,space,18.7341,space,8.9348,space,2.7826,space,4.1829,27,FF,85.84454346,36.64569092,1,0,0,response1disk_5,6,3.6039,-4.236999512,2.573120117,1,0,0,rectangle_8,-4.236999512,2.573120117,1,0,0,-4.236999512,2.573120117,1,0,0,0,0,0,5,1,60fefb130de6f7f50ef82c6c,61036c8269b39532e4ff2e37,2021-07-29_23h07.25.878,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,82,PF,-77.79779053,-39.703125,1,0,0,response5disk_5,2,2.2836,-0.721130371,-0.783874512,1,0,0,rectangle_8,-86.75488281,-37.21035767,1,0,0,-7.213378906,4.871704102,1,0,0,0,1,1,1,1,60fefb130de6f7f50ef82c6c,61036c8269b39532e4ff2e37,2021-07-29_23h07.25.878,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.5668,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,138,FF,90.99468994,-45.62487793,1,0,0,response3disk_5,5,2.4328,-0.198974609,6.588623047,1,0,0,rectangle_8,-0.198974609,6.588623047,1,0,0,-0.198974609,6.588623047,1,0,0,0,2,2,0,1,60fefb130de6f7f50ef82c6c,61036c8269b39532e4ff2e37,2021-07-29_23h07.25.878,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,29,PF,-35.87341309,-101.4736328,1,0,0,response5disk_5,3,1.4834,6.417175293,-1.590301514,1,0,0,rectangle_8,6.417175293,-1.590301514,1,0,0,6.417175293,-1.590301514,1,0,0,0,3,3,4,1,60fefb130de6f7f50ef82c6c,61036c8269b39532e4ff2e37,2021-07-29_23h07.25.878,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,FF,37.19732666,-75.24047852,1,0,0,response3disk_5,4,260.4647,-3.655456543,-5.79473877,1,0,0,rectangle_8,-92.72009277,-35.48849487,1,0,0,-0.764038086,12.37802124,1,0,0,0,4,4,3,1,60fefb130de6f7f50ef82c6c,61036c8269b39532e4ff2e37,2021-07-29_23h07.25.878,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.833,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,101,PF,79.47052002,-54.46435547,1,0,0,response3disk_5,5,1.7164,6.050415039,-6.515563965,1,0,0,rectangle_8,6.050415039,-6.515563965,1,0,0,6.050415039,-6.515563965,1,0,0,0,5,5,2,1,60fefb130de6f7f50ef82c6c,61036c8269b39532e4ff2e37,2021-07-29_23h07.25.878,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,PF,-40.45324707,-76.60229492,1,0,0,response5disk_5,3,1.05,2.812744141,-1.32043457,1,0,0,rectangle_8,2.812744141,-1.32043457,1,0,0,2.812744141,-1.32043457,1,0,0,0,6,6,6,1,60fefb130de6f7f50ef82c6c,61036c8269b39532e4ff2e37,2021-07-29_23h07.25.878,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6664,,,,,,,,,,,,,,,,,,,,,,60fefb130de6f7f50ef82c6c,61036c8269b39532e4ff2e37,2021-07-29_23h07.25.878,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.2093,4217,50.828125,78.02706909,1,0,0,response1disk,,7,7.194396973,12.36242676,1,0,0,rectangle,7.194396973,12.36242676,1,0,0,7.194396973,12.36242676,1,0,0,0,0,0,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4494,,,,,,,,,,,,,,,,,,,,,,60fefb130de6f7f50ef82c6c,61036c8269b39532e4ff2e37,2021-07-29_23h07.25.878,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2659,44.05078125,70.54296875,1,0,0,response1disk,,7,-5.309936523,7.022277832,1,0,0,rectangle,-5.309936523,7.022277832,1,0,0,-5.309936523,7.022277832,1,0,0,0,1,1,72,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.767,,,,,,,,,,,,,,,,,,,,,,60fefb130de6f7f50ef82c6c,61036c8269b39532e4ff2e37,2021-07-29_23h07.25.878,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1610,-35.96716309,-75.14141846,1,0,0,response5disk,,3,16.25250244,-3.55078125,1,0,0,rectangle,16.25250244,-3.55078125,1,0,0,16.25250244,-3.55078125,1,0,0,0,2,2,25,1,,,,,,,,
