key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,2.629,space,7.2579,space,25.5248,space,3.7559,space,2.2944,space,3.4831,88,FF,-152.7999908,-60.00000733,1,0,0,response5disk_5,2,8.5944,-0.799988568,-6.4373E-06,1,0,0,rectangle_8,-0.799988568,-6.4373E-06,1,0,0,-0.799988568,-6.4373E-06,1,0,0,0,0,0,5,1,60ff0285154e9a89d9116b02,61036df6e443c3e9aeab20c3,2021-07-30_04h12.10.585,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,FF,-60.79998946,-120.0000082,1,0,0,response5disk_5,3,1.685,-10.39993988,-9.60000658,1,0,0,rectangle_8,60.80001235,-128.0000083,1,0,0,11.20001161,-8.800006568,1,0,0,0,1,1,0,1,60ff0285154e9a89d9116b02,61036df6e443c3e9aeab20c3,2021-07-30_04h12.10.585,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.0359,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,PF,64.80001241,-108.8000081,1,0,0,response3disk_5,4,2.219,9.600060415,-2.400006473,1,0,0,rectangle_8,9.600060415,-2.400006473,1,0,0,9.600060415,-2.400006473,1,0,0,0,2,2,1,1,60ff0285154e9a89d9116b02,61036df6e443c3e9aeab20c3,2021-07-30_04h12.10.585,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,PF,116.8000132,36.79999411,1,0,0,response1disk_5,6,4.0375,8.000011563,3.999993622,1,0,0,rectangle_8,8.000011563,3.999993622,1,0,0,8.000011563,3.999993622,1,0,0,0,3,3,6,1,60ff0285154e9a89d9116b02,61036df6e443c3e9aeab20c3,2021-07-30_04h12.10.585,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,PF,-90.39994107,-60.80000734,1,0,0,response5disk_5,2,1.3347,13.60006047,-2.400006473,1,0,0,rectangle_8,56.00001228,-128.8000084,1,0,0,8.000011563,2.399993598,1,0,0,0,4,4,2,1,60ff0285154e9a89d9116b02,61036df6e443c3e9aeab20c3,2021-07-30_04h12.10.585,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.368,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,PF,116.8000132,39.19996973,1,0,0,response1disk_5,6,2.1022,-2.399939764,-4.000006497,1,0,0,rectangle_8,-2.399939764,-4.000006497,1,0,0,-2.399939764,-4.000006497,1,0,0,0,5,5,4,1,60ff0285154e9a89d9116b02,61036df6e443c3e9aeab20c3,2021-07-30_04h12.10.585,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,FF,-38.3999403,-96.00000787,1,0,0,response5disk_5,3,1.4848,0.800011456,-12.80000663,1,0,0,rectangle_8,0.800011456,-12.80000663,1,0,0,0.800011456,-12.80000663,1,0,0,0,6,6,3,1,60ff0285154e9a89d9116b02,61036df6e443c3e9aeab20c3,2021-07-30_04h12.10.585,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5852,,,,,,,,,,,,,,,,,,,,,,60ff0285154e9a89d9116b02,61036df6e443c3e9aeab20c3,2021-07-30_04h12.10.585,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.6162,718,-72.79998964,-41.60000706,1,0,0,response5disk,,2,-3.999988616,-1.600006461,1,0,0,rectangle,72.80001253,99.99999505,1,0,0,response1disk_3,TRUE,7,7,"[113,144,23,167,251,266,218,150,239,314,301,174,315,71,230,279,1,226,66,143]",1.6519,9.600060415,3.19999361,1,0,0,rectangle,0,0,0,28,1,
,,,,,,,,,,,,,FF,,,,,,,,5.439,,,,,,,,,,,,,,,,,,,,,,60ff0285154e9a89d9116b02,61036df6e443c3e9aeab20c3,2021-07-30_04h12.10.585,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3896,70.40001249,-107.200008,1,0,0,response3disk,,4,0.800011456,7.999993682,1,0,0,rectangle,0.800011456,7.999993682,1,0,0,,,,,,,0.800011456,7.999993682,1,0,0,,0,1,1,85,1,
,,,,,,,,,,,,,FF,,,,,,,,3.5037,,,,,,,,,,,,,,,,,,,,,,60ff0285154e9a89d9116b02,61036df6e443c3e9aeab20c3,2021-07-30_04h12.10.585,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2417,91.2000128,-70.40000749,1,0,0,response3disk,,5,-0.799988568,3.999993622,1,0,0,rectangle,-0.799988568,3.999993622,1,0,0,,,,,,,-0.799988568,3.999993622,1,0,0,,0,2,2,139,1,
