key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.545,space,4.55,space,17.046,space,0.533,space,1.879,space,2.376,61,FF,107.5,-32.5,1,0,0,response3disk_5,5,11.181,10.5,4.5,1,0,0,rectangle_8,10.5,4.5,1,0,0,10.5,4.5,1,0,0,0,0,0,0,1,60ff0b32bdb402e4252bf6b5,610377ad93523e7a465e5306,2021-07-29_23h55.29.606,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12,PF,-45.5,-72.5,1,0,0,response5disk_5,3,2.079,9.5,-14.5,1,0,0,rectangle_8,55.5,123.5,1,0,0,-16.5,-2.5,1,0,0,0,1,1,1,1,60ff0b32bdb402e4252bf6b5,610377ad93523e7a465e5306,2021-07-29_23h55.29.606,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.684,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,PF,30.5,-103.5,1,0,0,response3disk_5,4,3.732,0.5,14.5,1,0,0,rectangle_8,0.5,14.5,1,0,0,0.5,14.5,1,0,0,0,2,2,4,1,60ff0b32bdb402e4252bf6b5,610377ad93523e7a465e5306,2021-07-29_23h55.29.606,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,32,FF,44.5,-70.5,1,0,0,response3disk_5,4,0.558,11.5,5.5,1,0,0,rectangle_8,11.5,5.5,1,0,0,11.5,5.5,1,0,0,0,3,3,3,1,60ff0b32bdb402e4252bf6b5,610377ad93523e7a465e5306,2021-07-29_23h55.29.606,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,PF,-39.5,-80.5,1,0,0,response5disk_5,3,0.964,10.5,3.5,1,0,0,rectangle_8,51.5,101.5,1,0,0,-14.5,-3.5,1,0,0,0,4,4,6,1,60ff0b32bdb402e4252bf6b5,610377ad93523e7a465e5306,2021-07-29_23h55.29.606,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.478,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,118,PF,38.5,-57.5,1,0,0,response3disk_5,4,4.175,16.5,-4.5,1,0,0,rectangle_8,16.5,-4.5,1,0,0,16.5,-4.5,1,0,0,0,5,5,2,1,60ff0b32bdb402e4252bf6b5,610377ad93523e7a465e5306,2021-07-29_23h55.29.606,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,136,FF,58.5,-36.5,1,0,0,response3disk_5,5,1.466,12.5,10.5,1,0,0,rectangle_8,12.5,10.5,1,0,0,12.5,10.5,1,0,0,0,6,6,5,1,60ff0b32bdb402e4252bf6b5,610377ad93523e7a465e5306,2021-07-29_23h55.29.606,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,60ff0b32bdb402e4252bf6b5,610377ad93523e7a465e5306,2021-07-29_23h55.29.606,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.308,749,40.5,-60.5,1,0,0,response3disk,,4,2.5,-7.5,1,0,0,rectangle,2.5,-7.5,1,0,0,2.5,-7.5,1,0,0,0,0,0,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.74,,,,,,,,,,,,,,,,,,,,,,60ff0b32bdb402e4252bf6b5,610377ad93523e7a465e5306,2021-07-29_23h55.29.606,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4139,64.5,-36.5,1,0,0,response3disk,,5,19.5,15.5,1,0,0,rectangle,19.5,15.5,1,0,0,19.5,15.5,1,0,0,0,1,1,118,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.617,,,,,,,,,,,,,,,,,,,,,,60ff0b32bdb402e4252bf6b5,610377ad93523e7a465e5306,2021-07-29_23h55.29.606,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,70,-42.5,-86.5,1,0,0,response5disk,,3,-1.5,13.5,1,0,0,rectangle,-1.5,13.5,1,0,0,-1.5,13.5,1,0,0,0,2,2,68,1,,,,,,,,
