key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.97,space,10.4583,space,9.4941,space,6.0956,space,2.016,space,4.6487,139,PF,42.40001208,93.59999496,1,0,0,response1disk_5,7,8.7654,4.000011504,4.799993634,1,0,0,rectangle_8,4.000011504,4.799993634,1,0,0,4.000011504,4.799993634,1,0,0,0,0,0,2,1,60ff13e4113921388277a1a7,61036cf95c6680df8f8c5d13,2021-07-29_22h08.41.743,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,PF,-30.39994018,-118.4000082,1,0,0,response5disk_5,3,2.1849,-6.399939823,11.99999374,1,0,0,rectangle_8,89.60001278,-35.20000696,1,0,0,-6.399939823,-6.4373E-06,1,0,0,0,1,1,6,1,60ff13e4113921388277a1a7,61036cf95c6680df8f8c5d13,2021-07-29_22h08.41.743,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.6899,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,FF,24.0000118,-76.80000758,1,0,0,response3disk_5,4,3.5388,-1.59998858,9.599993706,1,0,0,rectangle_8,-1.59998858,9.599993706,1,0,0,-1.59998858,9.599993706,1,0,0,0,2,2,3,1,60ff13e4113921388277a1a7,61036cf95c6680df8f8c5d13,2021-07-29_22h08.41.743,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,55,PF,32.00001192,91.19997051,1,0,0,response1disk_5,7,1.9438,-16.79998881,-6.400006533,1,0,0,rectangle_8,-16.79998881,-6.400006533,1,0,0,-16.79998881,-6.400006533,1,0,0,0,3,3,4,1,60ff13e4113921388277a1a7,61036cf95c6680df8f8c5d13,2021-07-29_22h08.41.743,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,FF,42.40001208,113.5999953,1,0,0,response1disk_5,7,1.3671,-9.599988699,-7.200006545,1,0,0,rectangle_8,100.0000129,-50.40000719,1,0,0,-5.599988639,7.19999367,1,0,0,0,4,4,0,1,60ff13e4113921388277a1a7,61036cf95c6680df8f8c5d13,2021-07-29_22h08.41.743,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.8865,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,FF,48.80001217,95.99999499,1,0,0,response1disk_5,7,2.0597,-1.59998858,-6.4373E-06,1,0,0,rectangle_8,-1.59998858,-6.4373E-06,1,0,0,-1.59998858,-6.4373E-06,1,0,0,0,5,5,5,1,60ff13e4113921388277a1a7,61036cf95c6680df8f8c5d13,2021-07-29_22h08.41.743,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,101,PF,61.60001236,-88.80000776,1,0,0,response3disk_5,4,2.1004,-4.799988627,4.799993634,1,0,0,rectangle_8,-4.799988627,4.799993634,1,0,0,-4.799988627,4.799993634,1,0,0,0,6,6,1,1,60ff13e4113921388277a1a7,61036cf95c6680df8f8c5d13,2021-07-29_22h08.41.743,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7345,,,,,,,,,,,,,,,,,,,,,,60ff13e4113921388277a1a7,61036cf95c6680df8f8c5d13,2021-07-29_22h08.41.743,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.2195,2164,-93.59998995,-27.20000684,1,0,0,response5disk,,2,-11.99998873,-4.000006497,1,0,0,rectangle,-11.99998873,-4.000006497,1,0,0,-11.99998873,-4.000006497,1,0,0,0,0,0,26,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2464,,,,,,,,,,,,,,,,,,,,,,60ff13e4113921388277a1a7,61036cf95c6680df8f8c5d13,2021-07-29_22h08.41.743,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1984,45.60006095,-35.20000696,1,0,0,response3disk,,5,-8.799988687,-4.000006497,1,0,0,rectangle,-8.799988687,-4.000006497,1,0,0,-8.799988687,-4.000006497,1,0,0,0,1,1,74,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.6376,,,,,,,,,,,,,,,,,,,,,,60ff13e4113921388277a1a7,61036cf95c6680df8f8c5d13,2021-07-29_22h08.41.743,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1387,47.20001215,-93.60005666,1,0,0,response3disk,,4,-13.59998876,2.399993598,1,0,0,rectangle,-13.59998876,2.399993598,1,0,0,-13.59998876,2.399993598,1,0,0,0,2,2,24,1,,,,,,,,
