key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,12.1612,space,23.3876,space,22.1672,space,8.8374,space,4.7367,space,3.7578,155,PF,76,-41,1,0,0,response3disk_5,5,7.5539,-14,-3,1,0,0,rectangle_8,-14,-3,1,0,0,-14,-3,1,0,0,0,0,0,2,1,60ff14561039e939a18f144d,61036966e86cce9c8acb7dcb,2021-07-29_22h53.13.922,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,47,FF,-32,68,1,0,0,response7disk_5,0,5.7962,-4,0,1,0,0,rectangle_8,84,31,1,0,0,14,-2,1,0,0,0,1,1,5,1,60ff14561039e939a18f144d,61036966e86cce9c8acb7dcb,2021-07-29_22h53.13.922,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response1disk_7,6,5.2146,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,151,FF,73,-54,1,0,0,response3disk_5,5,5.7955,-7,1,1,0,0,rectangle_8,-7,1,1,0,0,-7,1,1,0,0,0,2,2,0,1,60ff14561039e939a18f144d,61036966e86cce9c8acb7dcb,2021-07-29_22h53.13.922,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,FF,44,-106,1,0,0,response3disk_5,4,3.1475,10,-4,1,0,0,rectangle_8,10,-4,1,0,0,10,-4,1,0,0,0,3,3,3,1,60ff14561039e939a18f144d,61036966e86cce9c8acb7dcb,2021-07-29_22h53.13.922,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,PF,56,-79,1,0,0,response3disk_5,4,4.8963,-21,-5,1,0,0,rectangle_8,113,45,1,0,0,-12,-2,1,0,0,0,4,4,1,1,60ff14561039e939a18f144d,61036966e86cce9c8acb7dcb,2021-07-29_22h53.13.922,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.6666,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,63,PF,89,-58,1,0,0,response3disk_5,5,2.4485,-3,4,1,0,0,rectangle_8,-3,4,1,0,0,-3,4,1,0,0,0,5,5,4,1,60ff14561039e939a18f144d,61036966e86cce9c8acb7dcb,2021-07-29_22h53.13.922,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,55,PF,-32,80,1,0,0,response7disk_5,0,1.7654,-4,-2,1,0,0,rectangle_8,-4,-2,1,0,0,-4,-2,1,0,0,0,6,6,6,1,60ff14561039e939a18f144d,61036966e86cce9c8acb7dcb,2021-07-29_22h53.13.922,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.8817,,,,,,,,,,,,,,,,,,,,,,60ff14561039e939a18f144d,61036966e86cce9c8acb7dcb,2021-07-29_22h53.13.922,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,21.1319,563,-57,-90,1,0,0,response5disk,,3,15,7,1,0,0,rectangle,15,7,1,0,0,15,7,1,0,0,0,0,0,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6153,,,,,,,,,,,,,,,,,,,,,,60ff14561039e939a18f144d,61036966e86cce9c8acb7dcb,2021-07-29_22h53.13.922,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,1287,-85,-41,1,0,0,response5disk,,2,5,-3,1,0,0,rectangle,5,-3,1,0,0,5,-3,1,0,0,0,1,1,24,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4325,,,,,,,,,,,,,,,,,,,,,,60ff14561039e939a18f144d,61036966e86cce9c8acb7dcb,2021-07-29_22h53.13.922,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,4276,81,-43,1,0,0,response3disk,,5,7,-8,1,0,0,rectangle,7,-8,1,0,0,7,-8,1,0,0,0,2,2,153,1,,,,,,,,
