key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.4664,space,7.2432,space,27.9516,space,6.1794,space,5.7233,space,3.173,99,PF,-37.99998206,-60.00001252,1,0,0,response5disk_5,3,5.2806,8.666685998,-0.666677415,1,0,0,rectangle_8,8.666685998,-0.666677415,1,0,0,8.666685998,-0.666677415,1,0,0,0,0,0,2,1,60ff1726b3096f1b1b4efb22,61036a68cd475cdc97453bd5,2021-07-29_21h57.48.600,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,100,FF,64.00002098,56.66665763,1,0,0,response1disk_5,6,5.2454,2.66668582,-3.333344162,1,0,0,rectangle_8,-63.99998283,46.66665733,1,0,0,-6.666607102,-1.07288E-05,1,0,0,0,1,1,0,1,60ff1726b3096f1b1b4efb22,61036a68cd475cdc97453bd5,2021-07-29_21h57.48.600,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,3.3826,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,142,PF,66.66668773,90.66665864,1,0,0,response1disk_5,7,1.7491,-0.666606923,1.999989331,1,0,0,rectangle_8,-0.666606923,1.999989331,1,0,0,-0.666606923,1.999989331,1,0,0,0,2,2,4,1,60ff1726b3096f1b1b4efb22,61036a68cd475cdc97453bd5,2021-07-29_21h57.48.600,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,FF,-39.99998212,-60.00001252,1,0,0,response5disk_5,3,4.3305,20.00001967,5.99998945,1,0,0,rectangle_8,20.00001967,5.99998945,1,0,0,20.00001967,5.99998945,1,0,0,0,3,3,5,1,60ff1726b3096f1b1b4efb22,61036a68cd475cdc97453bd5,2021-07-29_21h57.48.600,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,PF,76.00002134,32.66665691,1,0,0,response1disk_5,6,2.4153,-5.999981105,1.333322644,1,0,0,rectangle_8,-54.66660853,39.33330343,1,0,0,-5.999981105,-2.666677475,1,0,0,0,4,4,6,1,60ff1726b3096f1b1b4efb22,61036a68cd475cdc97453bd5,2021-07-29_21h57.48.600,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.1165,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,52,PF,71.33335453,-45.33334541,1,0,0,response3disk_5,5,4.1463,10.00001937,-3.333344162,1,0,0,rectangle_8,10.00001937,-3.333344162,1,0,0,10.00001937,-3.333344162,1,0,0,0,5,5,1,1,60ff1726b3096f1b1b4efb22,61036a68cd475cdc97453bd5,2021-07-29_21h57.48.600,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,113,FF,68.66668779,-30.66667831,1,0,0,response3disk_5,5,6.078,8.000019312,10.66665626,1,0,0,rectangle_8,8.000019312,10.66665626,1,0,0,8.000019312,10.66665626,1,0,0,0,6,6,3,1,60ff1726b3096f1b1b4efb22,61036a68cd475cdc97453bd5,2021-07-29_21h57.48.600,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.1339,,,,,,,,,,,,,,,,,,,,,,60ff1726b3096f1b1b4efb22,61036a68cd475cdc97453bd5,2021-07-29_21h57.48.600,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.2048,398,90.00002176,-28.66667825,1,0,0,response3disk,,5,6.666685939,4.666656077,1,0,0,rectangle,6.666685939,4.666656077,1,0,0,6.666685939,4.666656077,1,0,0,0,0,0,27,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4868,,,,,,,,,,,,,,,,,,,,,,60ff1726b3096f1b1b4efb22,61036a68cd475cdc97453bd5,2021-07-29_21h57.48.600,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2708,60.00002086,-43.33334535,1,0,0,response3disk,,5,2.000019133,6.666656137,1,0,0,rectangle,2.000019133,6.666656137,1,0,0,2.000019133,6.666656137,1,0,0,0,1,1,123,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8491,,,,,,,,,,,,,,,,,,,,,,60ff1726b3096f1b1b4efb22,61036a68cd475cdc97453bd5,2021-07-29_21h57.48.600,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2176,-31.99998188,-72.00001287,1,0,0,response5disk,,3,8.000019312,0.666655958,1,0,0,rectangle,-74.66660913,-76.00001299,1,0,0,-7.333314478,3.333322704,1,0,0,0,2,2,57,1,,response5disk_3,TRUE,3,3,"[252,233,185,144,70,86,254,3,317,96,257,225,128,134,312,321,211,95,187,170]",2.6154,rectangle
