key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0192,space,1.0836,space,25.6118,space,2.1623,space,0.3503,space,2.2232,123,PF,-71.19998962,31.99999404,1,0,0,response7disk_5,1,3.7319,8.800011575,-8.000006557,1,0,0,rectangle_8,8.800011575,-8.000006557,1,0,0,8.800011575,-8.000006557,1,0,0,0,0,0,1,1,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,PF,-29.599989,-87.20000774,1,0,0,response5disk_5,3,2.9498,0.800011456,0.799993575,1,0,0,rectangle_8,-63.1999895,-98.4000079,1,0,0,8.000011563,3.19999361,1,0,0,0,1,1,4,1,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.7155,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,82,FF,48.80001217,114.3999953,1,0,0,response1disk_5,7,2.3999,-14.39993994,-0.800006449,1,0,0,rectangle_8,-14.39993994,-0.800006449,1,0,0,-14.39993994,-0.800006449,1,0,0,0,2,2,0,1,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,FF,73.60001254,35.19996967,1,0,0,response1disk_5,6,2.1499,-8.799988687,1.599993587,1,0,0,rectangle_8,-8.799988687,1.599993587,1,0,0,-8.799988687,1.599993587,1,0,0,0,3,3,3,1,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,110,FF,92.80001283,-76.80000758,1,0,0,response3disk_5,5,3.2662,15.20001167,-16.00000668,1,0,0,rectangle_8,96.80001289,-44.00000709,1,0,0,-11.19998872,-7.200006545,1,0,0,0,4,4,5,1,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.033,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,PF,69.60001248,28.79999399,1,0,0,response1disk_5,6,2.416,-13.59998876,0.799993575,1,0,0,rectangle_8,-13.59998876,0.799993575,1,0,0,-13.59998876,0.799993575,1,0,0,0,5,5,2,1,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,PF,-72.79998964,-53.60000724,1,0,0,response5disk_5,2,1.9829,2.40001148,-10.40000659,1,0,0,rectangle_8,2.40001148,-10.40000659,1,0,0,2.40001148,-10.40000659,1,0,0,0,6,6,6,1,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9996,,,,,,,,,,,,,,,,,,,,,,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.7026,995,67.20001245,-39.20000702,1,0,0,response3disk,,5,-8.799988687,-6.400006533,1,0,0,rectangle,-8.799988687,-6.400006533,1,0,0,-8.799988687,-6.400006533,1,0,0,0,0,0,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.3995,,,,,,,,,,,,,,,,,,,,,,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2152,-40.79998916,-92.00000781,1,0,0,response5disk,,3,-10.39993988,-6.400006533,1,0,0,rectangle,-10.39993988,-6.400006533,1,0,0,-10.39993988,-6.400006533,1,0,0,0,1,1,52,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7341,,,,,,,,,,,,,,,,,,,,,,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,223,78.40001261,-47.20000714,1,0,0,response3disk,,5,8.800011575,-5.600006521,1,0,0,rectangle,8.800011575,-5.600006521,1,0,0,8.800011575,-5.600006521,1,0,0,0,2,2,143,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9341,,,,,,,,,,,,,,,,,,,,,,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3094,55.20001227,-119.2000082,1,0,0,response3disk,,4,-3.999988616,-3.200006485,1,0,0,rectangle,-3.999988616,-3.200006485,1,0,0,-3.999988616,-3.200006485,1,0,0,0,3,3,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9828,,,,,,,,,,,,,,,,,,,,,,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1981,36.80001199,70.39999461,1,0,0,response1disk,,7,22.40001178,8.799993694,1,0,0,rectangle,22.40001178,8.799993694,1,0,0,22.40001178,8.799993694,1,0,0,0,4,4,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0171,,,,,,,,,,,,,,,,,,,,,,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2653,72.80001253,-43.20000708,1,0,0,response3disk,,5,36.00001198,0.799993575,1,0,0,rectangle,36.00001198,0.799993575,1,0,0,36.00001198,0.799993575,1,0,0,0,5,5,90,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8497,,,,,,,,,,,,,,,,,,,,,,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2185,89.60001278,40.79999417,1,0,0,response1disk,,6,32.80001193,6.399993658,1,0,0,rectangle,32.80001193,6.399993658,1,0,0,32.80001193,6.399993658,1,0,0,0,6,6,11,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6002,,,,,,,,,,,,,,,,,,,,,,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2138,79.20001262,-37.600007,1,0,0,response3disk,,5,33.60006077,-1.600006461,1,0,0,rectangle,33.60006077,-1.600006461,1,0,0,33.60006077,-1.600006461,1,0,0,0,7,7,158,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3996,,,,,,,,,,,,,,,,,,,,,,60ff1a126119afa26965e909,610378d7b8889db7fc75e75f,2021-07-29_23h59.22.774,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1877,73.60001254,51.19996991,1,0,0,response1disk,,6,11.20001161,0.799993575,1,0,0,rectangle,-16.79998881,74.39999467,1,0,0,-6.399939823,-3.200006485,1,0,0,0,8,8,151,1,,response7disk_3,TRUE,0,0,"[267,259,156,83,29,108,222,115,322,45,89,318,9,135,79,232,97,246,61,60]",2.3669,rectangle
