key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.0906,space,17.7732,space,28.3951,space,8.7596,space,3.0257,space,3.0707,109,FF,52.00002062,40.66665715,1,0,0,response1disk_5,6,3.9664,8.666685998,12.66665632,1,0,0,rectangle_8,8.666685998,12.66665632,1,0,0,8.666685998,12.66665632,1,0,0,0,0,0,3,1,60ff1b4dfb8e5696cbaa46a0,610378b613602dfe2a56e2e8,2021-07-29_23h59.44.954,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,PF,72.66668791,33.33330325,1,0,0,response1disk_5,6,2.9629,-1.999980986,-1.333344102,1,0,0,rectangle_8,86.66668832,51.33330379,1,0,0,-1.3333143,-2.000010788,1,0,0,0,1,1,2,1,60ff1b4dfb8e5696cbaa46a0,610378b613602dfe2a56e2e8,2021-07-29_23h59.44.954,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,4.3345,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,107,PF,71.33335453,28.66665679,1,0,0,response1disk_5,6,1.8647,-5.333314419,2.666656017,1,0,0,rectangle_8,-5.333314419,2.666656017,1,0,0,-5.333314419,2.666656017,1,0,0,0,2,2,4,1,60ff1b4dfb8e5696cbaa46a0,610378b613602dfe2a56e2e8,2021-07-29_23h59.44.954,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,128,PF,-88.66660955,38.66665709,1,0,0,response7disk_5,1,1.5649,4.000019193,-0.666677415,1,0,0,rectangle_8,4.000019193,-0.666677415,1,0,0,4.000019193,-0.666677415,1,0,0,0,3,3,1,1,60ff1b4dfb8e5696cbaa46a0,610378b613602dfe2a56e2e8,2021-07-29_23h59.44.954,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,2,FF,32.00002003,81.99999171,1,0,0,response1disk_5,7,2.1974,-4.666607042,-4.000010848,1,0,0,rectangle_8,67.33335441,37.33330337,1,0,0,4.666685879,2.666656017,1,0,0,0,4,4,5,1,60ff1b4dfb8e5696cbaa46a0,610378b613602dfe2a56e2e8,2021-07-29_23h59.44.954,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.2449,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,146,FF,58.66668749,27.33330307,1,0,0,response1disk_5,6,1.9136,-6.666607102,-4.666677535,1,0,0,rectangle_8,-6.666607102,-4.666677535,1,0,0,-6.666607102,-4.666677535,1,0,0,0,5,5,0,1,60ff1b4dfb8e5696cbaa46a0,610378b613602dfe2a56e2e8,2021-07-29_23h59.44.954,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,72,PF,-32.66660788,100.6666589,1,0,0,response7disk_5,0,1.1164,2.66668582,4.666656077,1,0,0,rectangle_8,2.66668582,4.666656077,1,0,0,2.66668582,4.666656077,1,0,0,0,6,6,6,1,60ff1b4dfb8e5696cbaa46a0,610378b613602dfe2a56e2e8,2021-07-29_23h59.44.954,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,7.2068,,,,,,,,,,,,,,,,,,,,,,60ff1b4dfb8e5696cbaa46a0,610378b613602dfe2a56e2e8,2021-07-29_23h59.44.954,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,1.5629,2147,28.66668659,-73.33334625,1,0,0,response3disk,,4,-4.666607042,12.66665632,1,0,0,rectangle,-4.666607042,12.66665632,1,0,0,-4.666607042,12.66665632,1,0,0,0,0,0,40,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.182,,,,,,,,,,,,,,,,,,,,,,60ff1b4dfb8e5696cbaa46a0,610378b613602dfe2a56e2e8,2021-07-29_23h59.44.954,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,970,-47.33331567,65.99999124,1,0,0,response7disk,,0,-2.666606983,6.666656137,1,0,0,rectangle,-2.666606983,6.666656137,1,0,0,-2.666606983,6.666656137,1,0,0,0,1,1,67,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5672,,,,,,,,,,,,,,,,,,,,,,60ff1b4dfb8e5696cbaa46a0,610378b613602dfe2a56e2e8,2021-07-29_23h59.44.954,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,594,54.00002068,31.99999022,1,0,0,response1disk,,6,-0.666606923,4.666656077,1,0,0,rectangle,-0.666606923,4.666656077,1,0,0,-0.666606923,4.666656077,1,0,0,0,2,2,59,1,,,,,,,,
