key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.52274,space,19.747735,space,22.510065,space,5.544735,space,5.319515,space,5.050805,104,PF,55.8203125,81.5234375,1,0,0,response1disk_5,7,8.516515,4.76171875,-1.51171875,1,0,0,rectangle_8,4.76171875,-1.51171875,1,0,0,4.76171875,-1.51171875,1,0,0,0,0,0,6,1,60ff1beb456c2f3d0726e807,61036ee8b4e8cd61018fe129,2021-07-29_22h16.52.653,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,125,FF,44.66015625,99.58203125,1,0,0,response1disk_5,7,4.06667,-4.21875,4.96484375,1,0,0,rectangle_8,85.4609375,47.6796875,1,0,0,9.08203125,-13.27734375,1,0,0,0,1,1,3,1,60ff1beb456c2f3d0726e807,61036ee8b4e8cd61018fe129,2021-07-29_22h16.52.653,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,3.300695,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,102,FF,69.7734375,34.6171875,1,0,0,response1disk_5,6,1.766685,2.66796875,-4.5625,1,0,0,rectangle_8,2.66796875,-4.5625,1,0,0,2.66796875,-4.5625,1,0,0,0,2,2,0,1,60ff1beb456c2f3d0726e807,61036ee8b4e8cd61018fe129,2021-07-29_22h16.52.653,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,64,FF,34.5,59.140625,1,0,0,response1disk_5,7,1.60085,1.1328125,1.3828125,1,0,0,rectangle_8,1.1328125,1.3828125,1,0,0,1.1328125,1.3828125,1,0,0,0,3,3,5,1,60ff1beb456c2f3d0726e807,61036ee8b4e8cd61018fe129,2021-07-29_22h16.52.653,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,PF,44.14453125,80.97265625,1,0,0,response1disk_5,7,1.149565,3.859375,-1.07421875,1,0,0,rectangle_8,116.5546875,63.9609375,1,0,0,-2.0625,-1.34375,1,0,0,0,4,4,1,1,60ff1beb456c2f3d0726e807,61036ee8b4e8cd61018fe129,2021-07-29_22h16.52.653,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.18405,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,PF,38.765625,88.3359375,1,0,0,response1disk_5,7,1.351125,-1.04296875,-0.91015625,1,0,0,rectangle_8,-1.04296875,-0.91015625,1,0,0,-1.04296875,-0.91015625,1,0,0,0,5,5,2,1,60ff1beb456c2f3d0726e807,61036ee8b4e8cd61018fe129,2021-07-29_22h16.52.653,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,PF,49.203125,74.84765625,1,0,0,response1disk_5,7,0.96633,2.328125,-0.3359375,1,0,0,rectangle_8,2.328125,-0.3359375,1,0,0,2.328125,-0.3359375,1,0,0,0,6,6,4,1,60ff1beb456c2f3d0726e807,61036ee8b4e8cd61018fe129,2021-07-29_22h16.52.653,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.416305,,,,,,,,,,,,,,,,,,,,,,60ff1beb456c2f3d0726e807,61036ee8b4e8cd61018fe129,2021-07-29_22h16.52.653,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,4.551645,251,54.0546875,84.8046875,1,0,0,response1disk,,7,-4.5703125,5.16796875,1,0,0,rectangle,-4.5703125,5.16796875,1,0,0,-4.5703125,5.16796875,1,0,0,0,0,0,88,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.965595,,,,,,,,,,,,,,,,,,,,,,60ff1beb456c2f3d0726e807,61036ee8b4e8cd61018fe129,2021-07-29_22h16.52.653,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2332,39.78515625,67.98046875,1,0,0,response1disk,,7,-0.2109375,-0.4453125,1,0,0,rectangle,-0.2109375,-0.4453125,1,0,0,-0.2109375,-0.4453125,1,0,0,0,1,1,69,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.68284,,,,,,,,,,,,,,,,,,,,,,60ff1beb456c2f3d0726e807,61036ee8b4e8cd61018fe129,2021-07-29_22h16.52.653,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1038,87.62109375,-50.71484375,1,0,0,response3disk,,5,2.9296875,4.38671875,1,0,0,rectangle,102.9335938,-39.953125,1,0,0,-7.02734375,-4.45703125,1,0,0,0,2,2,113,1,,response3disk_3,TRUE,5,5,"[119,157,172,17,25,70,299,214,53,25,31,219,23,253,200,299,30,236,172,3]",2.60146,rectangle
