key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.9281,space,6.2673,space,9.384,space,2.8901,space,2.7362,space,6.7802,8,PF,63.62017822,-93.6048584,1,0,0,response3disk_5,4,9.1002,1.888977051,-2.141052246,1,0,0,rectangle_8,1.888977051,-2.141052246,1,0,0,1.888977051,-2.141052246,1,0,0,0,0,0,4,1,60ff221ab776efc77fa7bcb7,61036f408996f1bc35b6ffd3,2021-07-29_23h17.56.875,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,103,PF,-25.3147583,-92.07824707,1,0,0,response5disk_5,3,5.3317,12.89355469,9.4559021,1,0,0,rectangle_8,-97.52349854,29.58901978,1,0,0,0.074584961,0.487854004,1,0,0,0,1,1,2,1,60ff221ab776efc77fa7bcb7,61036f408996f1bc35b6ffd3,2021-07-29_23h17.56.875,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response7disk_7,1,17.3505,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,PF,88.34442139,-34.73291016,1,0,0,response3disk_5,5,22.1307,13.84899902,-6.908050537,1,0,0,rectangle_8,13.84899902,-6.908050537,1,0,0,13.84899902,-6.908050537,1,0,0,0,2,2,6,1,60ff221ab776efc77fa7bcb7,61036f408996f1bc35b6ffd3,2021-07-29_23h17.56.875,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,101,FF,60.22753906,-83.22195435,1,0,0,response3disk_5,4,10.7161,10.64453125,5.887786865,1,0,0,rectangle_8,10.64453125,5.887786865,1,0,0,10.64453125,5.887786865,1,0,0,0,3,3,3,1,60ff221ab776efc77fa7bcb7,61036f408996f1bc35b6ffd3,2021-07-29_23h17.56.875,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,26,PF,88.99932861,43.07861328,1,0,0,response1disk_5,6,3.6325,5.761108398,-7.508636475,1,0,0,rectangle_8,-58.4699707,30.67254639,1,0,0,2.193603516,-1.078460693,1,0,0,0,4,4,1,1,60ff221ab776efc77fa7bcb7,61036f408996f1bc35b6ffd3,2021-07-29_23h17.56.875,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.899,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,132,FF,24.55444336,-106.0146179,1,0,0,response3disk_5,4,7.8659,-2.158630371,3.764984131,1,0,0,rectangle_8,-2.158630371,3.764984131,1,0,0,-2.158630371,3.764984131,1,0,0,0,5,5,0,1,60ff221ab776efc77fa7bcb7,61036f408996f1bc35b6ffd3,2021-07-29_23h17.56.875,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,FF,21.18206787,-92.48010254,1,0,0,response3disk_5,4,30.3659,5.87512207,-3.079376221,1,0,0,rectangle_8,5.87512207,-3.079376221,1,0,0,5.87512207,-3.079376221,1,0,0,0,6,6,5,1,60ff221ab776efc77fa7bcb7,61036f408996f1bc35b6ffd3,2021-07-29_23h17.56.875,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.1851,,,,,,,,,,,,,,,,,,,,,,60ff221ab776efc77fa7bcb7,61036f408996f1bc35b6ffd3,2021-07-29_23h17.56.875,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,3.4971,498,-44.4977417,-105.4989929,1,0,0,response5disk,,3,3.492675781,4.260284424,1,0,0,rectangle,3.492675781,4.260284424,1,0,0,3.492675781,4.260284424,1,0,0,0,0,0,154,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.0818,,,,,,,,,,,,,,,,,,,,,,60ff221ab776efc77fa7bcb7,61036f408996f1bc35b6ffd3,2021-07-29_23h17.56.875,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,4148,22.24053955,-94.92880249,1,0,0,response3disk,,4,-6.448242188,0.325531006,1,0,0,rectangle,-6.448242188,0.325531006,1,0,0,-6.448242188,0.325531006,1,0,0,0,1,1,14,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.3709,,,,,,,,,,,,,,,,,,,,,,60ff221ab776efc77fa7bcb7,61036f408996f1bc35b6ffd3,2021-07-29_23h17.56.875,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,878,81.699646,-53.19415283,1,0,0,response3disk,,5,0.079772949,-2.774810791,1,0,0,rectangle,63.92034912,-86.37625122,1,0,0,-10.05059814,12.23910522,1,0,0,0,2,2,127,1,,response3disk_3,TRUE,4,4,"[38,76,319,281,3,39,286,308,126,59,125,293,155,166,37,15,306,151,214,192]",3.0805,rectangle
