key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.282,space,13.1645,space,29.597,space,10.2186,space,2.0332,space,5.3606,73,FF,-30.046875,-86.5390625,1,0,0,response5disk_5,3,2.0498,-2.19921875,6.375,1,0,0,rectangle_8,-2.19921875,6.375,1,0,0,-2.19921875,6.375,1,0,0,0,0,0,5,1,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,FF,-57.9609375,-42.75390625,1,0,0,response5disk_5,2,1.2834,-3.328125,-10.9375,1,0,0,rectangle_8,-78.3671875,-41.95703125,1,0,0,-9.80859375,-10.57421875,1,0,0,0,1,1,3,1,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.3,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,117,PF,-33.65234375,44.70703125,1,0,0,response7disk_5,0,1.1324,0.13671875,-9.53125,1,0,0,rectangle_8,0.13671875,-9.53125,1,0,0,0.13671875,-9.53125,1,0,0,0,2,2,2,1,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86,PF,102.3945313,54.1328125,1,0,0,response1disk_5,6,1.0836,6.46484375,4.81640625,1,0,0,rectangle_8,6.46484375,4.81640625,1,0,0,6.46484375,4.81640625,1,0,0,0,3,3,6,1,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14,FF,-70.28125,-33.37109375,1,0,0,response5disk_5,2,1.4505,-4.93359375,-17.5390625,1,0,0,rectangle_8,-83.09375,-51.0859375,1,0,0,-16.1640625,-12.02734375,1,0,0,0,4,4,0,1,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.1333,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,53,PF,88.15625,-44.12109375,1,0,0,response3disk_5,5,1.0349,-1.01953125,1.65234375,1,0,0,rectangle_8,-1.01953125,1.65234375,1,0,0,-1.01953125,1.65234375,1,0,0,0,5,5,1,1,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,92,PF,-56.43359375,39.23828125,1,0,0,response7disk_5,1,1.1004,3.3671875,6.39453125,1,0,0,rectangle_8,3.3671875,6.39453125,1,0,0,3.3671875,6.39453125,1,0,0,0,6,6,4,1,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2497,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.404,1743,48.6328125,90.14453125,1,0,0,response1disk,,7,0.56640625,-8.40625,1,0,0,rectangle,0.56640625,-8.40625,1,0,0,0.56640625,-8.40625,1,0,0,0,0,0,71,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0658,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2981,-52.53125,-82.8203125,1,0,0,response5disk,,3,0.4140625,3.44140625,1,0,0,rectangle,0.4140625,3.44140625,1,0,0,0.4140625,3.44140625,1,0,0,0,1,1,151,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8513,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,983,86.12109375,-49.43359375,1,0,0,response3disk,,5,6.578125,-5.6875,1,0,0,rectangle,6.578125,-5.6875,1,0,0,6.578125,-5.6875,1,0,0,0,2,2,111,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3929,-33.14453125,49.16796875,1,0,0,response7disk,,0,-11.3828125,5.671875,1,0,0,rectangle,-11.3828125,5.671875,1,0,0,-11.3828125,5.671875,1,0,0,0,3,3,86,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1013,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3877,76.3046875,22.82421875,1,0,0,response1disk,,6,14.7734375,3.62109375,1,0,0,rectangle,14.7734375,3.62109375,1,0,0,14.7734375,3.62109375,1,0,0,0,4,4,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.901,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4340,53.63671875,32.4609375,1,0,0,response1disk,,6,8.65234375,0.6171875,1,0,0,rectangle,-44.7578125,-67.0625,1,0,0,-5.34375,-4.96875,1,0,0,0,5,5,130,1,,response5disk_3,TRUE,3,3,"[152,67,270,132,278,263,217,168,23,6,233,20,314,283,144,209,196,283,7,155]",1.7185,rectangle
,,,,,,,,,,,,,FF,,,,,,,,2.0503,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,268,-37.9921875,-68.75,1,0,0,response5disk,,3,-8.55859375,0.2109375,1,0,0,rectangle,-42.20703125,80.75,1,0,0,-5.35546875,2.12109375,1,0,0,0,6,6,1,1,,response7disk_3,TRUE,0,0,"[152,67,270,132,278,263,217,168,23,6,233,20,314,283,144,209,196,283,7,155]",1.8663,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.0484,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1313,81.86328125,37.69921875,1,0,0,response1disk,,6,6.4765625,5.09375,1,0,0,rectangle,6.4765625,5.09375,1,0,0,6.4765625,5.09375,1,0,0,0,7,7,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7017,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3959,-31.5546875,-66.671875,1,0,0,response5disk,,3,1.63671875,7.28515625,1,0,0,rectangle,1.63671875,7.28515625,1,0,0,1.63671875,7.28515625,1,0,0,0,8,8,83,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0666,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1038,81.21875,-41.5234375,1,0,0,response3disk,,5,-4.80078125,-9.2421875,1,0,0,rectangle,-4.80078125,-9.2421875,1,0,0,-4.80078125,-9.2421875,1,0,0,0,9,9,120,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.365,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1725,-58.58203125,-47.546875,1,0,0,response5disk,,2,21.69921875,13.58984375,1,0,0,rectangle,21.69921875,13.58984375,1,0,0,21.69921875,13.58984375,1,0,0,0,10,10,32,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6008,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4274,-75.52734375,-39.25390625,1,0,0,response5disk,,2,-4.10546875,-7.8125,1,0,0,rectangle,-4.10546875,-7.8125,1,0,0,-4.10546875,-7.8125,1,0,0,0,11,11,100,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0669,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,419,-63.26171875,35.765625,1,0,0,response7disk,,1,-1.84375,6.54296875,1,0,0,rectangle,-1.84375,6.54296875,1,0,0,-1.84375,6.54296875,1,0,0,0,12,12,144,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9159,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,431,91.45703125,34.5546875,1,0,0,response1disk,,6,17.70703125,-3.04296875,1,0,0,rectangle,17.70703125,-3.04296875,1,0,0,17.70703125,-3.04296875,1,0,0,0,13,13,28,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9647,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2340,-79.54296875,-46.89453125,1,0,0,response5disk,,2,-6.25390625,-9.6484375,1,0,0,rectangle,-6.25390625,-9.6484375,1,0,0,-6.25390625,-9.6484375,1,0,0,0,14,14,97,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8337,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,182,-26.0390625,37.4140625,1,0,0,response7disk,,0,-6.28125,2.203125,1,0,0,rectangle,-6.28125,2.203125,1,0,0,-6.28125,2.203125,1,0,0,0,15,15,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0174,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2613,78.5546875,-39.171875,1,0,0,response3disk,,5,12.36328125,-4.70703125,1,0,0,rectangle,12.36328125,-4.70703125,1,0,0,12.36328125,-4.70703125,1,0,0,0,16,16,158,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.982,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,203,-53.546875,-26.66015625,1,0,0,response5disk,,2,-8.30859375,-5.89453125,1,0,0,rectangle,-8.30859375,-5.89453125,1,0,0,-8.30859375,-5.89453125,1,0,0,0,17,17,119,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.017,,,,,,,,,,,,,,,,,,,,,,60ff24bf3e0082c513062186,61036f3222b2f12b331285d9,2021-07-29_20h17.34.327,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2759,-25.671875,39.109375,1,0,0,response7disk,,0,-3.71484375,4.828125,1,0,0,rectangle,-3.71484375,4.828125,1,0,0,-3.71484375,4.828125,1,0,0,0,18,18,16,1,,,,,,,,
