key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.50856,space,19.537925,space,30.11018,space,7.55878,space,3.550395,space,4.617965,133,PF,-78.2019043,-50.76376343,1,0,0,response5disk_5,2,2.95023,0.081604004,3.162780762,1,0,0,rectangle_8,0.081604004,3.162780762,1,0,0,0.081604004,3.162780762,1,0,0,0,0,0,4,1,60ff2b522b3a8ba205a30f1c,61036e6cd7f05ec17b7b7790,2021-07-29_23h14.55.819,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,42,FF,-33.07287598,-68.20269775,1,0,0,response5disk_5,3,2.03322,-4.206604004,1.262390137,1,0,0,rectangle_8,-36.54125977,-89.74353027,1,0,0,-9.950744629,-7.575378418,1,0,0,0,1,1,5,1,60ff2b522b3a8ba205a30f1c,61036e6cd7f05ec17b7b7790,2021-07-29_23h14.55.819,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.36581,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,143,FF,51.74768066,-71.81054688,1,0,0,response3disk_5,4,2.299955,-1.198303223,-7.343261719,1,0,0,rectangle_8,-1.198303223,-7.343261719,1,0,0,-1.198303223,-7.343261719,1,0,0,0,2,2,3,1,60ff2b522b3a8ba205a30f1c,61036e6cd7f05ec17b7b7790,2021-07-29_23h14.55.819,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,80,PF,91.55450439,57.49346924,1,0,0,response1disk_5,6,1.48316,-4.413269043,7.525085449,1,0,0,rectangle_8,-4.413269043,7.525085449,1,0,0,-4.413269043,7.525085449,1,0,0,0,3,3,6,1,60ff2b522b3a8ba205a30f1c,61036e6cd7f05ec17b7b7790,2021-07-29_23h14.55.819,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,126,FF,79.84399414,38.28424072,1,0,0,response1disk_5,6,1.06636,22.03631592,5.097198486,1,0,0,rectangle_8,-40.37341309,-97.01751709,1,0,0,8.541687012,0.771240234,1,0,0,0,4,4,0,1,60ff2b522b3a8ba205a30f1c,61036e6cd7f05ec17b7b7790,2021-07-29_23h14.55.819,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,1.91759,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,41,PF,42.734375,-86.13360596,1,0,0,response3disk_5,4,1.83221,6.045043945,-0.653747559,1,0,0,rectangle_8,6.045043945,-0.653747559,1,0,0,6.045043945,-0.653747559,1,0,0,0,5,5,1,1,60ff2b522b3a8ba205a30f1c,61036e6cd7f05ec17b7b7790,2021-07-29_23h14.55.819,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,129,PF,-25.15112305,-82.67333984,1,0,0,response5disk_5,3,1.149535,17.94311523,13.13861084,1,0,0,rectangle_8,17.94311523,13.13861084,1,0,0,17.94311523,13.13861084,1,0,0,0,6,6,2,1,60ff2b522b3a8ba205a30f1c,61036e6cd7f05ec17b7b7790,2021-07-29_23h14.55.819,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.18316,,,,,,,,,,,,,,,,,,,,,,60ff2b522b3a8ba205a30f1c,61036e6cd7f05ec17b7b7790,2021-07-29_23h14.55.819,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.84336,3268,101.2896118,-56.43994141,1,0,0,response3disk,,5,26.08752441,-0.786193848,1,0,0,rectangle,26.08752441,-0.786193848,1,0,0,26.08752441,-0.786193848,1,0,0,0,0,0,22,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.05013,,,,,,,,,,,,,,,,,,,,,,60ff2b522b3a8ba205a30f1c,61036e6cd7f05ec17b7b7790,2021-07-29_23h14.55.819,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3956,24.29168701,79.0854187,1,0,0,response1disk,,7,6.905029297,-2.320587158,1,0,0,rectangle,6.905029297,-2.320587158,1,0,0,6.905029297,-2.320587158,1,0,0,0,1,1,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.348675,,,,,,,,,,,,,,,,,,,,,,60ff2b522b3a8ba205a30f1c,61036e6cd7f05ec17b7b7790,2021-07-29_23h14.55.819,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3714,-80.3927002,35.30776978,1,0,0,response7disk,,1,-12.43054199,-2.223205566,1,0,0,rectangle,-12.43054199,-2.223205566,1,0,0,-12.43054199,-2.223205566,1,0,0,0,2,2,70,1,,,,,,,,
