key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.1746,space,5.0924,space,26.1343,space,5.4843,space,1.069,space,4.8991,160,PF,77.0703125,-55.1484375,1,0,0,response3disk_5,5,9.3816,-8.3984375,-7.421875,1,0,0,rectangle_8,-8.3984375,-7.421875,1,0,0,-8.3984375,-7.421875,1,0,0,0,0,0,2,1,60ff2d35b20f6855da62ae75,610378f51d0d557a19d1c3f1,2021-07-29_23h01.06.046,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,61,PF,58.75390625,71.52734375,1,0,0,response1disk_5,7,6.7032,-17.62890625,-11.93359375,1,0,0,rectangle_8,85.75,36.9140625,1,0,0,-8.1796875,4.62109375,1,0,0,0,1,1,6,1,60ff2d35b20f6855da62ae75,610378f51d0d557a19d1c3f1,2021-07-29_23h01.06.046,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.5918,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,160,FF,-84.51171875,-45.59765625,1,0,0,response5disk_5,2,2.2572,8.625,-12.23046875,1,0,0,rectangle_8,8.625,-12.23046875,1,0,0,8.625,-12.23046875,1,0,0,0,2,2,0,1,60ff2d35b20f6855da62ae75,610378f51d0d557a19d1c3f1,2021-07-29_23h01.06.046,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,FF,20.515625,-112.234375,1,0,0,response3disk_5,4,2.4251,-15.71875,-7.7734375,1,0,0,rectangle_8,-15.71875,-7.7734375,1,0,0,-15.71875,-7.7734375,1,0,0,0,3,3,3,1,60ff2d35b20f6855da62ae75,610378f51d0d557a19d1c3f1,2021-07-29_23h01.06.046,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,PF,-71.5859375,-92.6875,1,0,0,response5disk_5,3,10.3506,-8.734375,-7.29296875,1,0,0,rectangle_8,72.671875,45.5,1,0,0,-5.875,-13.78515625,1,0,0,0,4,4,1,1,60ff2d35b20f6855da62ae75,610378f51d0d557a19d1c3f1,2021-07-29_23h01.06.046,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,6,2.6909,6,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,PF,59.10546875,-115.4101563,1,0,0,response3disk_5,4,12.525,-0.5390625,-11.9296875,1,0,0,rectangle_8,-0.5390625,-11.9296875,1,0,0,-0.5390625,-11.9296875,1,0,0,0,5,5,4,1,60ff2d35b20f6855da62ae75,610378f51d0d557a19d1c3f1,2021-07-29_23h01.06.046,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,144,FF,63.71484375,-51.62109375,1,0,0,response3disk_5,5,12.8927,10.6015625,-13.78515625,1,0,0,rectangle_8,10.6015625,-13.78515625,1,0,0,10.6015625,-13.78515625,1,0,0,0,6,6,5,1,60ff2d35b20f6855da62ae75,610378f51d0d557a19d1c3f1,2021-07-29_23h01.06.046,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.895,,,,,,,,,,,,,,,,,,,,,,60ff2d35b20f6855da62ae75,610378f51d0d557a19d1c3f1,2021-07-29_23h01.06.046,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,4.0384,2605,-93.41796875,-49.7109375,1,0,0,response5disk,,2,-1.078125,-2.99609375,1,0,0,rectangle,-1.078125,-2.99609375,1,0,0,-1.078125,-2.99609375,1,0,0,0,0,0,130,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0569,,,,,,,,,,,,,,,,,,,,,,60ff2d35b20f6855da62ae75,610378f51d0d557a19d1c3f1,2021-07-29_23h01.06.046,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3926,-26.9609375,-97.3515625,1,0,0,response5disk,,3,8.96484375,1.75390625,1,0,0,rectangle,8.96484375,1.75390625,1,0,0,8.96484375,1.75390625,1,0,0,0,1,1,94,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8923,,,,,,,,,,,,,,,,,,,,,,60ff2d35b20f6855da62ae75,610378f51d0d557a19d1c3f1,2021-07-29_23h01.06.046,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1226,93.90625,-72.94140625,1,0,0,response3disk,,5,12.9609375,-9.47265625,1,0,0,rectangle,12.9609375,-9.47265625,1,0,0,12.9609375,-9.47265625,1,0,0,0,2,2,57,1,,,,,,,,
