key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.5298,space,23.443,space,31.17,space,5.252,space,3.4681,space,4.7876,11,PF,34.66479492,-81.71017456,1,0,0,response3disk_5,4,12.8939,10.84411621,-5.453582764,1,0,0,rectangle_8,10.84411621,-5.453582764,1,0,0,10.84411621,-5.453582764,1,0,0,0,0,0,2,1,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,72,FF,32.97338867,74.83987427,1,0,0,response1disk_5,7,3.1689,-3.236938477,-0.285217285,1,0,0,rectangle_8,80.22589111,-43.65951538,1,0,0,-10.56292725,-0.346557617,1,0,0,0,1,1,3,1,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.8873,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,FF,-43.76556396,-73.9458313,1,0,0,response5disk_5,3,2.1492,5.738220215,2.422821045,1,0,0,rectangle_8,5.738220215,2.422821045,1,0,0,5.738220215,2.422821045,1,0,0,0,2,2,5,1,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,134,PF,58.7310791,-89.15368652,1,0,0,response3disk_5,4,2.2018,21.99676514,-3.036499023,1,0,0,rectangle_8,21.99676514,-3.036499023,1,0,0,21.99676514,-3.036499023,1,0,0,0,3,3,4,1,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,53,PF,-41.1449585,-83.12182617,1,0,0,response5disk_5,3,3.9342,5.750793457,8.274200439,1,0,0,rectangle_8,80.5491333,-47.75042725,1,0,0,10.27984619,0.55078125,1,0,0,0,4,4,6,1,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.2178,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97,FF,-70.31347656,-43.18112183,1,0,0,response5disk_5,2,1.1186,5.677185059,-4.50479126,1,0,0,rectangle_8,5.677185059,-4.50479126,1,0,0,5.677185059,-4.50479126,1,0,0,0,5,5,0,1,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,PF,36.08306885,-97.96502686,1,0,0,response3disk_5,4,4.1198,-1.039611816,12.4526062,1,0,0,rectangle_8,-1.039611816,12.4526062,1,0,0,-1.039611816,12.4526062,1,0,0,0,6,6,1,1,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.718,,,,,,,,,,,,,,,,,,,,,,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,24.5138,3747,-37.94024658,-87.41241455,1,0,0,response5disk,,3,-9.640441895,3.674224854,1,0,0,rectangle,-9.640441895,3.674224854,1,0,0,-9.640441895,3.674224854,1,0,0,0,0,0,18,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3342,,,,,,,,,,,,,,,,,,,,,,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2257,58.99835205,-43.57092285,1,0,0,response3disk,,5,8.847229004,0.222747803,1,0,0,rectangle,8.847229004,0.222747803,1,0,0,8.847229004,0.222747803,1,0,0,0,1,1,106,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.4331,,,,,,,,,,,,,,,,,,,,,,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4118,-37.97125244,81.73455811,1,0,0,response7disk,,0,-1.223937988,-8.116668701,1,0,0,rectangle,-1.223937988,-8.116668701,1,0,0,-1.223937988,-8.116668701,1,0,0,0,2,2,30,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2674,,,,,,,,,,,,,,,,,,,,,,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,839,71.38330078,-60.681427,1,0,0,response3disk,,5,14.54095459,-7.444671631,1,0,0,rectangle,14.54095459,-7.444671631,1,0,0,14.54095459,-7.444671631,1,0,0,0,3,3,82,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6349,,,,,,,,,,,,,,,,,,,,,,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,513,64.09838867,27.98526001,1,0,0,response1disk,,6,4.340148926,4.122711182,1,0,0,rectangle,4.340148926,4.122711182,1,0,0,4.340148926,4.122711182,1,0,0,0,4,4,101,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4506,,,,,,,,,,,,,,,,,,,,,,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1959,-67.63641357,-32.51904297,1,0,0,response5disk,,2,-3.146911621,-12.39654541,1,0,0,rectangle,-3.146911621,-12.39654541,1,0,0,-3.146911621,-12.39654541,1,0,0,0,5,5,135,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1174,,,,,,,,,,,,,,,,,,,,,,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,685,53.5925293,-70.38238525,1,0,0,response3disk,,4,17.22753906,-9.328491211,1,0,0,rectangle,17.22753906,-9.328491211,1,0,0,17.22753906,-9.328491211,1,0,0,0,6,6,95,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0166,,,,,,,,,,,,,,,,,,,,,,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,37,-45.64453125,-73.88891602,1,0,0,response5disk,,3,-8.324401855,0.357818604,1,0,0,rectangle,-8.324401855,0.357818604,1,0,0,-8.324401855,0.357818604,1,0,0,0,7,7,1,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9327,,,,,,,,,,,,,,,,,,,,,,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,98,-69.03137207,-33.18734741,1,0,0,response5disk,,2,-14.81207275,-6.553344727,1,0,0,rectangle,-14.81207275,-6.553344727,1,0,0,-14.81207275,-6.553344727,1,0,0,0,8,8,103,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4502,,,,,,,,,,,,,,,,,,,,,,60ff390c957f2ba44d3ff87a,61036a480bca9b6bb0ab1217,2021-07-29_20h57.50.650,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2717,-49.38244629,-41.14749146,1,0,0,response5disk,,2,3.459411621,-8.307495117,1,0,0,rectangle,3.459411621,-8.307495117,1,0,0,3.459411621,-8.307495117,1,0,0,0,9,9,16,1,,,,,,,,
