key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.7995,space,28.4778,space,22.8325,space,8.7504,space,0.7657,space,2.8662,137,PF,-69.80126953,33.44384766,1,0,0,response7disk_5,1,8.2049,11.08862305,-3.3046875,1,0,0,rectangle_8,11.08862305,-3.3046875,1,0,0,11.08862305,-3.3046875,1,0,0,0,0,0,4,1,b60ff4103610b39d6982ec65e,61037730e6c3d654fcdc63e7,2021-07-29_20h55.16.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,124,PF,-80.96472168,-36.52368164,1,0,0,response5disk_5,2,2.8164,0.512695313,-8.124389648,1,0,0,rectangle_8,53.2767334,86.00842285,1,0,0,1.743652344,-2.984680176,1,0,0,0,1,1,1,1,b60ff4103610b39d6982ec65e,61037730e6c3d654fcdc63e7,2021-07-29_20h55.16.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.3663,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,PF,31.69042969,72.972229,1,0,0,response1disk_5,7,2.4154,2.698364258,-3.657775879,1,0,0,rectangle_8,2.698364258,-3.657775879,1,0,0,2.698364258,-3.657775879,1,0,0,0,2,2,6,1,b60ff4103610b39d6982ec65e,61037730e6c3d654fcdc63e7,2021-07-29_20h55.16.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,105,FF,-57.8782959,-36.94348145,1,0,0,response5disk_5,2,1.3497,8.990844727,2.539276123,1,0,0,rectangle_8,8.990844727,2.539276123,1,0,0,8.990844727,2.539276123,1,0,0,0,3,3,0,1,b60ff4103610b39d6982ec65e,61037730e6c3d654fcdc63e7,2021-07-29_20h55.16.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,130,FF,50.27703857,-68.91387939,1,0,0,response3disk_5,4,1.5504,16.65441895,-3.944152832,1,0,0,rectangle_8,46.34204102,75.45730591,1,0,0,6.720581055,-5.718505859,1,0,0,0,4,4,3,1,b60ff4103610b39d6982ec65e,61037730e6c3d654fcdc63e7,2021-07-29_20h55.16.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.6178,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,PF,-38.60650635,-74.90332031,1,0,0,response5disk_5,3,3.0162,15.62890625,6.35723877,1,0,0,rectangle_8,15.62890625,6.35723877,1,0,0,15.62890625,6.35723877,1,0,0,0,5,5,2,1,b60ff4103610b39d6982ec65e,61037730e6c3d654fcdc63e7,2021-07-29_20h55.16.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,76,FF,-25.01715088,-68.01385498,1,0,0,response5disk_5,3,1.3006,4.096862793,-10.63464355,1,0,0,rectangle_8,4.096862793,-10.63464355,1,0,0,4.096862793,-10.63464355,1,0,0,0,6,6,5,1,b60ff4103610b39d6982ec65e,61037730e6c3d654fcdc63e7,2021-07-29_20h55.16.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.2506,,,,,,,,,,,,,,,,,,,,,,b60ff4103610b39d6982ec65e,61037730e6c3d654fcdc63e7,2021-07-29_20h55.16.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.6273,2122,31.7166748,-77.41680908,1,0,0,response3disk,,4,4.96685791,-8.540618896,1,0,0,rectangle,4.96685791,-8.540618896,1,0,0,4.96685791,-8.540618896,1,0,0,0,0,0,90,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2831,,,,,,,,,,,,,,,,,,,,,,b60ff4103610b39d6982ec65e,61037730e6c3d654fcdc63e7,2021-07-29_20h55.16.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2876,42.64398193,67.02767944,1,0,0,response1disk,,7,11.66381836,1.423492432,1,0,0,rectangle,11.66381836,1.423492432,1,0,0,11.66381836,1.423492432,1,0,0,0,1,1,22,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9502,,,,,,,,,,,,,,,,,,,,,,b60ff4103610b39d6982ec65e,61037730e6c3d654fcdc63e7,2021-07-29_20h55.16.036,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,984,-39.57720947,-87.91137695,1,0,0,response5disk,,3,-6.897705078,-1.680786133,1,0,0,rectangle,-6.897705078,-1.680786133,1,0,0,-6.897705078,-1.680786133,1,0,0,0,2,2,50,1,,,,,,,,
