key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.5926,space,10.3461,space,36.6068,space,9.696,space,1.5181,space,5.4146,97,PF,-95.42657471,-25.91671753,1,0,0,response5disk_5,2,6.7932,0.821411133,-2.423553467,1,0,0,rectangle_8,0.821411133,-2.423553467,1,0,0,0.821411133,-2.423553467,1,0,0,0,0,0,2,1,60ff41357ba0444d4858f86e,61036a078d4ce36d1951f685,2021-07-29_22h55.45.207,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,67,FF,47.79144287,70.20336914,1,0,0,response1disk_5,7,6.0378,5.90814209,4.436340332,1,0,0,rectangle_8,-58.48773193,-105.4403992,1,0,0,-12.93762207,11.41030884,1,0,0,0,1,1,5,1,60ff41357ba0444d4858f86e,61036a078d4ce36d1951f685,2021-07-29_22h55.45.207,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.7929,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,PF,30.4630127,44.55331421,1,0,0,response1disk_5,7,3.134,-6.318603516,-6.979400635,1,0,0,rectangle_8,-6.318603516,-6.979400635,1,0,0,-6.318603516,-6.979400635,1,0,0,0,2,2,1,1,60ff41357ba0444d4858f86e,61036a078d4ce36d1951f685,2021-07-29_22h55.45.207,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,FF,24.64630127,36.34277344,1,0,0,response1disk_5,7,2.9527,5.465270996,0.695159912,1,0,0,rectangle_8,5.465270996,0.695159912,1,0,0,5.465270996,0.695159912,1,0,0,0,3,3,0,1,60ff41357ba0444d4858f86e,61036a078d4ce36d1951f685,2021-07-29_22h55.45.207,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,140,PF,-106.1988525,-75.31610107,1,0,0,response5disk_5,2,1.9559,-7.04510498,1.653442383,1,0,0,rectangle_8,-25.79467773,-91.19317627,1,0,0,-0.06463623,6.361572266,1,0,0,0,4,4,4,1,60ff41357ba0444d4858f86e,61036a078d4ce36d1951f685,2021-07-29_22h55.45.207,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.3014,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,64,PF,57.33135986,-29.48703003,1,0,0,response3disk_5,5,2.0221,-0.577209473,-11.16333008,1,0,0,rectangle_8,-0.577209473,-11.16333008,1,0,0,-0.577209473,-11.16333008,1,0,0,0,5,5,6,1,60ff41357ba0444d4858f86e,61036a078d4ce36d1951f685,2021-07-29_22h55.45.207,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,114,FF,58.44915771,18.48577881,1,0,0,response1disk_5,6,2.8948,-8.03717041,-6.088592529,1,0,0,rectangle_8,-8.03717041,-6.088592529,1,0,0,-8.03717041,-6.088592529,1,0,0,0,6,6,3,1,60ff41357ba0444d4858f86e,61036a078d4ce36d1951f685,2021-07-29_22h55.45.207,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7669,,,,,,,,,,,,,,,,,,,,,,60ff41357ba0444d4858f86e,61036a078d4ce36d1951f685,2021-07-29_22h55.45.207,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,space,3.6671,3918,24.49414063,-89.03790283,1,0,0,response3disk,,4,-11.21380615,-0.761535645,1,0,0,rectangle,-11.21380615,-0.761535645,1,0,0,-11.21380615,-0.761535645,1,0,0,0,0,0,2,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9175,,,,,,,,,,,,,,,,,,,,,,60ff41357ba0444d4858f86e,61036a078d4ce36d1951f685,2021-07-29_22h55.45.207,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,3248,18.94573975,-66.48721313,1,0,0,response3disk,,4,-13.97723389,-10.89639282,1,0,0,rectangle,-13.97723389,-10.89639282,1,0,0,-13.97723389,-10.89639282,1,0,0,0,1,1,108,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9756,,,,,,,,,,,,,,,,,,,,,,60ff41357ba0444d4858f86e,61036a078d4ce36d1951f685,2021-07-29_22h55.45.207,Simcolourproject_2stim_asymm_v5,2020.2.10,Linux x86_64,60,61025ae37ef11b136ea224fe,,,,,,,,,529,31.82391357,-72.82727051,1,0,0,response3disk,,4,-17.17565918,-0.263885498,1,0,0,rectangle,-17.17565918,-0.263885498,1,0,0,-17.17565918,-0.263885498,1,0,0,0,2,2,79,1,,,,,,,,
