key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.0485,space,2.5201,space,19.2124,space,6.5821,space,2.9484,space,2.7253,88,PF,134,68,1,0,0,response1disk_5,6,8.8212,-5,-10,1,0,0,rectangle_8,-5,-10,1,0,0,-5,-10,1,0,0,0,0,0,6,1,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,FF,54,-123,1,0,0,response3disk_5,4,9.3151,-13,-3,1,0,0,rectangle_8,129,-57,1,0,0,5,-6,1,0,0,0,1,1,5,1,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.5513,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,154,PF,77,130,1,0,0,response1disk_5,7,2.6262,9,16,1,0,0,rectangle_8,9,16,1,0,0,9,16,1,0,0,0,2,2,4,1,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10,FF,-106,49,1,0,0,response7disk_5,1,3.9828,3,-4,1,0,0,rectangle_8,3,-4,1,0,0,3,-4,1,0,0,0,3,3,0,1,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,PF,-116,-66,1,0,0,response5disk_5,2,1.3997,6,0,1,0,0,rectangle_8,103,-60,1,0,0,15,9,1,0,0,0,4,4,1,1,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response3disk_7,5,2.1331,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,134,FF,-109,-57,1,0,0,response5disk_5,2,2.7495,15,3,1,0,0,rectangle_8,15,3,1,0,0,15,3,1,0,0,0,5,5,3,1,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,PF,-55,-141,1,0,0,response5disk_5,3,1.6497,3,14,1,0,0,rectangle_8,3,14,1,0,0,3,14,1,0,0,0,6,6,2,1,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.2843,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,33.0055,1434,123,-75,1,0,0,response3disk,,5,11,7,1,0,0,rectangle,11,7,1,0,0,11,7,1,0,0,0,0,0,139,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.7322,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1166,119,-62,1,0,0,response3disk,,5,18,4,1,0,0,rectangle,18,4,1,0,0,18,4,1,0,0,0,1,1,134,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3001,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3477,-110,40,1,0,0,response7disk,,1,-2,-8,1,0,0,rectangle,-2,-8,1,0,0,-2,-8,1,0,0,0,2,2,97,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3672,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3082,42,117,1,0,0,response1disk,,7,-9,-1,1,0,0,rectangle,-9,-1,1,0,0,-9,-1,1,0,0,0,3,3,137,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4162,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3048,-126,-48,1,0,0,response5disk,,2,7,-1,1,0,0,rectangle,7,-1,1,0,0,7,-1,1,0,0,0,4,4,14,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0835,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3938,-38,104,1,0,0,response7disk,,0,2,6,1,0,0,rectangle,2,6,1,0,0,2,6,1,0,0,0,5,5,19,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4996,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3114,128,60,1,0,0,response1disk,,6,-14,12,1,0,0,rectangle,-14,12,1,0,0,-14,12,1,0,0,0,6,6,118,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7832,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3937,-92,46,1,0,0,response7disk,,1,6,-7,1,0,0,rectangle,6,-7,1,0,0,6,-7,1,0,0,0,7,7,49,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2332,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1748,-57,-150,1,0,0,response5disk,,3,4,5,1,0,0,rectangle,4,5,1,0,0,4,5,1,0,0,0,8,8,147,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.383,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,861,104,70,1,0,0,response1disk,,6,-14,5,1,0,0,rectangle,-14,5,1,0,0,-14,5,1,0,0,0,9,9,1,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3831,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4146,-112,78,1,0,0,response7disk,,1,8,-7,1,0,0,rectangle,8,-7,1,0,0,8,-7,1,0,0,0,10,10,65,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.249,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2702,143,-33,1,0,0,response3disk,,5,12,2,1,0,0,rectangle,12,2,1,0,0,12,2,1,0,0,0,11,11,123,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0997,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1519,74,109,1,0,0,response1disk,,7,14,8,1,0,0,rectangle,14,8,1,0,0,14,8,1,0,0,0,12,12,138,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1163,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,548,-91,48,1,0,0,response7disk,,1,-19,8,1,0,0,rectangle,-19,8,1,0,0,-19,8,1,0,0,0,13,13,132,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3665,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,534,-50,-129,1,0,0,response5disk,,3,8,7,1,0,0,rectangle,8,7,1,0,0,8,7,1,0,0,0,14,14,85,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.4161,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1970,57,-115,1,0,0,response3disk,,4,-6,16,1,0,0,rectangle,-6,16,1,0,0,-6,16,1,0,0,0,15,15,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8335,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3479,-44,-115,1,0,0,response5disk,,3,-4,-10,1,0,0,rectangle,-4,-10,1,0,0,-4,-10,1,0,0,0,16,16,64,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9831,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3927,93,61,1,0,0,response1disk,,6,-1,10,1,0,0,rectangle,-1,10,1,0,0,-1,10,1,0,0,0,17,17,16,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0497,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3739,101,-54,1,0,0,response3disk,,5,3,-1,1,0,0,rectangle,3,-1,1,0,0,3,-1,1,0,0,0,18,18,43,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0164,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,140,56,88,1,0,0,response1disk,,7,17,0,1,0,0,rectangle,17,0,1,0,0,17,0,1,0,0,0,19,19,54,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.4496,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1924,114,45,1,0,0,response1disk,,6,-6,-5,1,0,0,rectangle,-6,-5,1,0,0,-6,-5,1,0,0,0,20,20,88,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.0993,,,,,,,,,,,,,,,,,,,,,,60ff41d719643e679302c2ec,61036e39f428419531f2ed93,2021-07-29_20h17.42.923,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2911,120,45,1,0,0,response1disk,,6,15,14,1,0,0,rectangle,15,14,1,0,0,15,14,1,0,0,0,21,21,5,1,,,,,,,,
