key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.0171,space,3.0734,space,24.2332,space,9.0171,space,0.6886,space,2.833,31,PF,-19.10778809,-78.07565308,1,0,0,response5disk_5,3,6.6299,3.058227539,-7.335998535,1,0,0,rectangle_8,3.058227539,-7.335998535,1,0,0,3.058227539,-7.335998535,1,0,0,0,0,0,6,1,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,FF,16.75463867,-40.14099121,1,0,0,response3disk_5,4,1.9538,1.076599121,-4.498748779,1,0,0,rectangle_8,-64.71325684,-35.612854,1,0,0,1.951171875,-7.363830566,1,0,0,0,1,1,5,1,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.8186,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,104,PF,-56.61364746,-23.19415283,1,0,0,response5disk_5,2,3.0179,-6.146972656,-5.467468262,1,0,0,rectangle_8,-6.146972656,-5.467468262,1,0,0,-6.146972656,-5.467468262,1,0,0,0,2,2,2,1,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,62,FF,-38.04827881,52.84780884,1,0,0,response7disk_5,0,1.1177,9.495117188,-9.149261475,1,0,0,rectangle_8,9.495117188,-9.149261475,1,0,0,9.495117188,-9.149261475,1,0,0,0,3,3,3,1,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,PF,-63.48156738,23.38632202,1,0,0,response7disk_5,1,1.333,-4.962158203,-5.401153564,1,0,0,rectangle_8,-55.52111816,-14.55551147,1,0,0,-18.51593018,-12.49179077,1,0,0,0,4,4,4,1,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,2.0346,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,PF,-26.26617432,-29.76855469,1,0,0,response5disk_5,3,1.5009,-0.937744141,-13.34945679,1,0,0,rectangle_8,-0.937744141,-13.34945679,1,0,0,-0.937744141,-13.34945679,1,0,0,0,5,5,1,1,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,FF,-44.80310059,-29.47564697,1,0,0,response5disk_5,2,2.6587,-15.72802734,-13.55218506,1,0,0,rectangle_8,-15.72802734,-13.55218506,1,0,0,-15.72802734,-13.55218506,1,0,0,0,6,6,0,1,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1172,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.2847,4095,12.68884277,95.19799805,1,0,0,response1disk,,7,1.045898438,0.477813721,1,0,0,rectangle,1.045898438,0.477813721,1,0,0,1.045898438,0.477813721,1,0,0,0,0,0,155,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5014,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1584,16.46063232,-58.51525879,1,0,0,response3disk,,4,1.825561523,-4.296112061,1,0,0,rectangle,1.825561523,-4.296112061,1,0,0,1.825561523,-4.296112061,1,0,0,0,1,1,151,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4343,38.98150635,71.20101929,1,0,0,response1disk,,7,16.19061279,3.444610596,1,0,0,rectangle,16.19061279,3.444610596,1,0,0,16.19061279,3.444610596,1,0,0,0,2,2,105,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1014,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1754,67.362854,-26.88317871,1,0,0,response3disk,,5,13.48120117,-3.584075928,1,0,0,rectangle,13.48120117,-3.584075928,1,0,0,13.48120117,-3.584075928,1,0,0,0,3,3,48,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0833,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3658,-43.42773438,-61.98287964,1,0,0,response5disk,,3,-13.89697266,-7.321472168,1,0,0,rectangle,-13.89697266,-7.321472168,1,0,0,-13.89697266,-7.321472168,1,0,0,0,4,4,84,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2483,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2484,45.91583252,-53.30288696,1,0,0,response3disk,,4,11.89245605,4.940734863,1,0,0,rectangle,11.89245605,4.940734863,1,0,0,11.89245605,4.940734863,1,0,0,0,5,5,58,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.53,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2968,-63.19622803,-25.5038147,1,0,0,response5disk,,2,-9.54296875,7.050140381,1,0,0,rectangle,-31.59179688,-67.9453125,1,0,0,-7.634460449,-5.909210205,1,0,0,0,6,6,4,1,,response5disk_3,TRUE,3,3,"[215,142,120,137,7,39,134,251,11,103,64,284,195,61,85,105,304,62,20,62]",1.8389,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.4452,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4152,-51.84967041,34.79312134,1,0,0,response7disk,,1,-6.900512695,-0.63583374,1,0,0,rectangle,-6.900512695,-0.63583374,1,0,0,-6.900512695,-0.63583374,1,0,0,0,7,7,65,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0806,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3019,-60.28820801,25.35595703,1,0,0,response7disk,,1,7.383911133,-2.420532227,1,0,0,rectangle,7.383911133,-2.420532227,1,0,0,7.383911133,-2.420532227,1,0,0,0,8,8,11,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7526,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2150,-55.23254395,-26.19213867,1,0,0,response5disk,,2,-14.13366699,3.863189697,1,0,0,rectangle,-14.13366699,3.863189697,1,0,0,-14.13366699,3.863189697,1,0,0,0,9,9,33,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1011,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3859,39.9475708,-58.31619263,1,0,0,response3disk,,4,26.05841064,-0.626708984,1,0,0,rectangle,-55.98413086,-31.16522217,1,0,0,-19.91491699,-14.28887939,1,0,0,0,10,10,64,1,,response5disk_3,TRUE,2,2,"[215,142,120,137,7,39,134,251,11,103,64,284,195,61,85,105,304,62,20,62]",1.4535,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.8843,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,650,-14.86175537,-76.94158936,1,0,0,response5disk,,3,-14.12432861,8.012664795,1,0,0,rectangle,-14.12432861,8.012664795,1,0,0,-14.12432861,8.012664795,1,0,0,0,11,11,51,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7336,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1064,-25.22167969,-52.45318604,1,0,0,response5disk,,3,0.14239502,-3.699768066,1,0,0,rectangle,0.14239502,-3.699768066,1,0,0,0.14239502,-3.699768066,1,0,0,0,12,12,156,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9177,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2784,73.71411133,20.14779663,1,0,0,response1disk,,6,3.547180176,-5.647064209,1,0,0,rectangle,3.547180176,-5.647064209,1,0,0,3.547180176,-5.647064209,1,0,0,0,13,13,23,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0672,,,,,,,,,,,,,,,,,,,,,,60ff433f89a507a83fb365d4,610377de1cf4f1d223482c78,2021-07-29_23h55.16.199,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3929,-29.84832764,-68.0244751,1,0,0,response5disk,,3,-11.67352295,-10.68908691,1,0,0,rectangle,-11.67352295,-10.68908691,1,0,0,-11.67352295,-10.68908691,1,0,0,0,14,14,146,1,,,,,,,,
