key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,15.016,space,33.11,space,28.208,space,8.648,space,6.965,space,44.881,105,FF,63,-45,1,0,0,response3disk_5,5,14.984,-12,1,1,0,0,rectangle_8,-12,1,1,0,0,-12,1,1,0,0,0,0,0,3,1,60ff4e46b9743e061aa26d64,61036b44bb1416c61fa9c1cc,2021-07-30_04h02.28.119,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,148,PF,-59,-28,1,0,0,response5disk_5,2,4.388,12,-8,1,0,0,rectangle_8,36,90,1,0,0,-3,-5,1,0,0,0,1,1,1,1,60ff4e46b9743e061aa26d64,61036b44bb1416c61fa9c1cc,2021-07-30_04h02.28.119,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.133,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,42,FF,93,-45,1,0,0,response3disk_5,5,5.412,22,1,1,0,0,rectangle_8,22,1,1,0,0,22,1,1,0,0,0,2,2,0,1,60ff4e46b9743e061aa26d64,61036b44bb1416c61fa9c1cc,2021-07-30_04h02.28.119,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,69,PF,75,28,1,0,0,response1disk_5,6,1.971,-2,7,1,0,0,rectangle_8,-2,7,1,0,0,-2,7,1,0,0,0,3,3,6,1,60ff4e46b9743e061aa26d64,61036b44bb1416c61fa9c1cc,2021-07-30_04h02.28.119,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,31,PF,82,30,1,0,0,response1disk_5,6,4.227,9,-5,1,0,0,rectangle_8,41,74,1,0,0,10,8,1,0,0,0,4,4,4,1,60ff4e46b9743e061aa26d64,61036b44bb1416c61fa9c1cc,2021-07-30_04h02.28.119,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,1.515,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,125,PF,72,44,1,0,0,response1disk_5,6,4.446,1,-1,1,0,0,rectangle_8,1,-1,1,0,0,1,-1,1,0,0,0,5,5,2,1,60ff4e46b9743e061aa26d64,61036b44bb1416c61fa9c1cc,2021-07-30_04h02.28.119,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,FF,69,34,1,0,0,response1disk_5,6,1.75,13,1,1,0,0,rectangle_8,13,1,1,0,0,13,1,1,0,0,0,6,6,5,1,60ff4e46b9743e061aa26d64,61036b44bb1416c61fa9c1cc,2021-07-30_04h02.28.119,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.6,,,,,,,,,,,,,,,,,,,,,,60ff4e46b9743e061aa26d64,61036b44bb1416c61fa9c1cc,2021-07-30_04h02.28.119,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.275,1019,-31,-51,1,0,0,response5disk,,3,2,-1,1,0,0,rectangle,2,-1,1,0,0,2,-1,1,0,0,0,0,0,12,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.289,,,,,,,,,,,,,,,,,,,,,,60ff4e46b9743e061aa26d64,61036b44bb1416c61fa9c1cc,2021-07-30_04h02.28.119,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1580,-45,-64,1,0,0,response5disk,,3,-3,6,1,0,0,rectangle,-3,6,1,0,0,-3,6,1,0,0,0,1,1,80,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.325,,,,,,,,,,,,,,,,,,,,,,60ff4e46b9743e061aa26d64,61036b44bb1416c61fa9c1cc,2021-07-30_04h02.28.119,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1711,70,-42,1,0,0,response3disk,,5,17,-6,1,0,0,rectangle,-44,95,1,0,0,-10,-2,1,0,0,0,2,2,157,1,,response7disk_3,TRUE,0,0,"[60,152,102,131,3,137,117,309,116,255,14,129,75,239,87,264,107,208,271,94]",1.766,rectangle
