key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.704,space,34.573,space,47.011,space,9.249,space,6.316,space,5.148,152,FF,127,68,1,0,0,response1disk_5,6,6.164,4,-5,1,0,0,rectangle_8,4,-5,1,0,0,4,-5,1,0,0,0,0,0,3,1,60ff50ac6339b1e4ce7b1909,61036c25ada89aa3a7128e4e,2021-07-30_05h04.26.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,121,PF,-75,-101,1,0,0,response5disk_5,3,10.25,8,0,1,0,0,rectangle_8,66,125,1,0,0,-3,0,1,0,0,0,1,1,2,1,60ff50ac6339b1e4ce7b1909,61036c25ada89aa3a7128e4e,2021-07-30_05h04.26.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,4.024,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,PF,-107,61,1,0,0,response7disk_5,1,3.448,-1,-1,1,0,0,rectangle_8,-1,-1,1,0,0,-1,-1,1,0,0,0,2,2,4,1,60ff50ac6339b1e4ce7b1909,61036c25ada89aa3a7128e4e,2021-07-30_05h04.26.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11,FF,90,-130,1,0,0,response3disk_5,4,8.28,8,1,1,0,0,rectangle_8,8,1,1,0,0,8,1,1,0,0,0,3,3,0,1,60ff50ac6339b1e4ce7b1909,61036c25ada89aa3a7128e4e,2021-07-30_05h04.26.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,78,PF,27,-161,1,0,0,response3disk_5,4,8.998,1,-4,1,0,0,rectangle_8,51,118,1,0,0,6,2,1,0,0,0,4,4,1,1,60ff50ac6339b1e4ce7b1909,61036c25ada89aa3a7128e4e,2021-07-30_05h04.26.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.535,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,32,PF,59,-35,1,0,0,response3disk_5,5,3.217,-10,2,1,0,0,rectangle_8,-10,2,1,0,0,-10,2,1,0,0,0,5,5,6,1,60ff50ac6339b1e4ce7b1909,61036c25ada89aa3a7128e4e,2021-07-30_05h04.26.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,FF,-105,-52,1,0,0,response5disk_5,2,1.97,14,-1,1,0,0,rectangle_8,14,-1,1,0,0,14,-1,1,0,0,0,6,6,5,1,60ff50ac6339b1e4ce7b1909,61036c25ada89aa3a7128e4e,2021-07-30_05h04.26.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.353,,,,,,,,,,,,,,,,,,,,,,60ff50ac6339b1e4ce7b1909,61036c25ada89aa3a7128e4e,2021-07-30_05h04.26.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.048,2553,-43,-105,1,0,0,response5disk,,3,-3,1,1,0,0,rectangle,-3,1,1,0,0,-3,1,1,0,0,0,0,0,91,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.177,,,,,,,,,,,,,,,,,,,,,,60ff50ac6339b1e4ce7b1909,61036c25ada89aa3a7128e4e,2021-07-30_05h04.26.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3137,53,77,1,0,0,response1disk,,7,-11,-4,1,0,0,rectangle,-11,-4,1,0,0,-11,-4,1,0,0,0,1,1,92,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.721,,,,,,,,,,,,,,,,,,,,,,60ff50ac6339b1e4ce7b1909,61036c25ada89aa3a7128e4e,2021-07-30_05h04.26.292,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,266,-104,-68,1,0,0,response5disk,,2,13,-1,1,0,0,rectangle,13,-1,1,0,0,13,-1,1,0,0,0,2,2,71,1,,,,,,,,
