key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.38,space,6.064,space,8.9512,space,5.4855,space,1.3513,space,4.4997,51,FF,28.29296875,-111.9804688,1,0,0,response3disk_5,4,14.254,2.62890625,-2.65625,1,0,0,rectangle_8,2.62890625,-2.65625,1,0,0,2.62890625,-2.65625,1,0,0,0,0,0,3,1,60ff6156666321187979ea94,610372b6f8c4e38188a34e35,2021-07-30_01h06.19.981,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,50,PF,-86.97265625,-61.6015625,1,0,0,response5disk_5,2,9.8174,-8.03515625,-7.64453125,1,0,0,rectangle_8,88.06640625,-45.62109375,1,0,0,-1.52734375,-2.50390625,1,0,0,0,1,1,2,1,60ff6156666321187979ea94,610372b6f8c4e38188a34e35,2021-07-30_01h06.19.981,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,3.8176,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,7,FF,51.24609375,91.3984375,1,0,0,response1disk_5,7,2.6167,7.296875,-1.59765625,1,0,0,rectangle_8,7.296875,-1.59765625,1,0,0,7.296875,-1.59765625,1,0,0,0,2,2,0,1,60ff6156666321187979ea94,610372b6f8c4e38188a34e35,2021-07-30_01h06.19.981,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56,PF,-29.28125,-82.76171875,1,0,0,response5disk_5,3,2.117,7.328125,0.0546875,1,0,0,rectangle_8,7.328125,0.0546875,1,0,0,7.328125,0.0546875,1,0,0,0,3,3,1,1,60ff6156666321187979ea94,610372b6f8c4e38188a34e35,2021-07-30_01h06.19.981,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,PF,46.4453125,74.078125,1,0,0,response1disk_5,7,2.7823,5.51953125,-3.29296875,1,0,0,rectangle_8,68.29296875,-47.6484375,1,0,0,3.01953125,-8.6875,1,0,0,0,4,4,6,1,60ff6156666321187979ea94,610372b6f8c4e38188a34e35,2021-07-30_01h06.19.981,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,5,1.834,5,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,59,PF,113.0507813,41.94921875,1,0,0,response1disk_5,6,2.0178,-0.13671875,-5.29296875,1,0,0,rectangle_8,-0.13671875,-5.29296875,1,0,0,-0.13671875,-5.29296875,1,0,0,0,5,5,4,1,60ff6156666321187979ea94,610372b6f8c4e38188a34e35,2021-07-30_01h06.19.981,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,27,FF,-69.04296875,35.84375,1,0,0,response7disk_5,1,1.4835,21.81640625,2.1328125,1,0,0,rectangle_8,21.81640625,2.1328125,1,0,0,21.81640625,2.1328125,1,0,0,0,6,6,5,1,60ff6156666321187979ea94,610372b6f8c4e38188a34e35,2021-07-30_01h06.19.981,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.2862,,,,,,,,,,,,,,,,,,,,,,60ff6156666321187979ea94,610372b6f8c4e38188a34e35,2021-07-30_01h06.19.981,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.9559,2782,-88.515625,45.5078125,1,0,0,response7disk,,1,6.6875,-8.19921875,1,0,0,rectangle,6.6875,-8.19921875,1,0,0,6.6875,-8.19921875,1,0,0,0,0,0,153,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.9845,,,,,,,,,,,,,,,,,,,,,,60ff6156666321187979ea94,610372b6f8c4e38188a34e35,2021-07-30_01h06.19.981,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3747,-90.890625,-66.7734375,1,0,0,response5disk,,2,9.6328125,-8.79296875,1,0,0,rectangle,9.6328125,-8.79296875,1,0,0,9.6328125,-8.79296875,1,0,0,0,1,1,140,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9666,,,,,,,,,,,,,,,,,,,,,,60ff6156666321187979ea94,610372b6f8c4e38188a34e35,2021-07-30_01h06.19.981,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1301,-51.84765625,-101.8828125,1,0,0,response5disk,,3,1.40625,-6.9453125,1,0,0,rectangle,1.40625,-6.9453125,1,0,0,1.40625,-6.9453125,1,0,0,0,2,2,95,1,,,,,,,,
