key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.19561,space,1.465105,space,10.470275,space,1.970205,space,0.56146,space,2.262145,5,FF,41.31640625,78.73046875,1,0,0,response1disk_5,7,6.505195,6.19921875,-2.984375,1,0,0,rectangle_8,6.19921875,-2.984375,1,0,0,6.19921875,-2.984375,1,0,0,0,0,0,0,1,60ff76d6c604411be3f09861,61036d7cdaa4d7d2a8d929b4,2021-07-29_23h16.09.825,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,108,FF,78.42578125,-59.765625,1,0,0,response3disk_5,5,8.60206,-4.30859375,0.3203125,1,0,0,rectangle_8,37.625,-106.6132813,1,0,0,7.34765625,3.31640625,1,0,0,0,1,1,5,1,60ff76d6c604411be3f09861,61036d7cdaa4d7d2a8d929b4,2021-07-29_23h16.09.825,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.401175,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,111,PF,63.9296875,-103.0195313,1,0,0,response3disk_5,4,6.750435,0.85546875,14.1953125,1,0,0,rectangle_8,0.85546875,14.1953125,1,0,0,0.85546875,14.1953125,1,0,0,0,2,2,6,1,60ff76d6c604411be3f09861,61036d7cdaa4d7d2a8d929b4,2021-07-29_23h16.09.825,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,70,PF,47.921875,94.31640625,1,0,0,response1disk_5,7,1.24878,-5.9375,-10.3984375,1,0,0,rectangle_8,-5.9375,-10.3984375,1,0,0,-5.9375,-10.3984375,1,0,0,0,3,3,4,1,60ff76d6c604411be3f09861,61036d7cdaa4d7d2a8d929b4,2021-07-29_23h16.09.825,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,56,PF,74.69921875,-54.44140625,1,0,0,response3disk_5,5,2.931945,-13.3125,1.453125,1,0,0,rectangle_8,51.57421875,-115.7382813,1,0,0,14.12890625,-12.515625,1,0,0,0,4,4,2,1,60ff76d6c604411be3f09861,61036d7cdaa4d7d2a8d929b4,2021-07-29_23h16.09.825,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,1.93349,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,PF,58.4453125,72.109375,1,0,0,response1disk_5,7,1.436275,-7.50390625,3.61328125,1,0,0,rectangle_8,-7.50390625,3.61328125,1,0,0,-7.50390625,3.61328125,1,0,0,0,5,5,1,1,60ff76d6c604411be3f09861,61036d7cdaa4d7d2a8d929b4,2021-07-29_23h16.09.825,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,27,FF,33.79296875,-96.2265625,1,0,0,response3disk_5,4,2.61724,-2.296875,2.71484375,1,0,0,rectangle_8,-2.296875,2.71484375,1,0,0,-2.296875,2.71484375,1,0,0,0,6,6,3,1,60ff76d6c604411be3f09861,61036d7cdaa4d7d2a8d929b4,2021-07-29_23h16.09.825,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.25058,,,,,,,,,,,,,,,,,,,,,,60ff76d6c604411be3f09861,61036d7cdaa4d7d2a8d929b4,2021-07-29_23h16.09.825,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.079695,2016,43.359375,68.07421875,1,0,0,response1disk,,7,4.44140625,-3.33984375,1,0,0,rectangle,4.44140625,-3.33984375,1,0,0,4.44140625,-3.33984375,1,0,0,0,0,0,145,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.400615,,,,,,,,,,,,,,,,,,,,,,60ff76d6c604411be3f09861,61036d7cdaa4d7d2a8d929b4,2021-07-29_23h16.09.825,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4060,40.15625,-106.3632813,1,0,0,response3disk,,4,-0.36328125,-5.05859375,1,0,0,rectangle,-0.36328125,-5.05859375,1,0,0,-0.36328125,-5.05859375,1,0,0,0,1,1,128,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.8344,,,,,,,,,,,,,,,,,,,,,,60ff76d6c604411be3f09861,61036d7cdaa4d7d2a8d929b4,2021-07-29_23h16.09.825,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2276,87.15625,-53.92578125,1,0,0,response3disk,,5,-10.13671875,8.3671875,1,0,0,rectangle,-10.13671875,8.3671875,1,0,0,-10.13671875,8.3671875,1,0,0,0,2,2,85,1,,,,,,,,
