key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.9389,space,1.9412,space,21.5217,space,5.6962,space,2.3506,space,3.5624,95,PF,-46,-99,1,0,0,response5disk_5,3,25.1906,19,-6,1,0,0,rectangle_8,19,-6,1,0,0,19,-6,1,0,0,0,0,0,2,1,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,46,PF,81,-50,1,0,0,response3disk_5,5,5.9358,22,-1,1,0,0,rectangle_8,-43,-97,1,0,0,19,4,1,0,0,0,1,1,6,1,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.048,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,45,FF,83,-54,1,0,0,response3disk_5,5,7.1211,24,3,1,0,0,rectangle_8,24,3,1,0,0,24,3,1,0,0,0,2,2,0,1,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,91,PF,-54,-38,1,0,0,response5disk_5,2,7.6864,15,-4,1,0,0,rectangle_8,15,-4,1,0,0,15,-4,1,0,0,0,3,3,1,1,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,154,PF,79,28,1,0,0,response1disk_5,6,4.2576,6,-4,1,0,0,rectangle_8,-19,-85,1,0,0,3,12,1,0,0,0,4,4,4,1,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.0903,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,FF,33,-78,1,0,0,response3disk_5,4,4.0774,-2,7,1,0,0,rectangle_8,-2,7,1,0,0,-2,7,1,0,0,0,5,5,5,1,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,33,FF,44,70,1,0,0,response1disk_5,7,3.6598,8,-4,1,0,0,rectangle_8,8,-4,1,0,0,8,-4,1,0,0,0,6,6,3,1,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.549,,,,,,,,,,,,,,,,,,,,,,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.4339,3497,69,-51,1,0,0,response3disk,,5,2,1,1,0,0,rectangle,2,1,1,0,0,2,1,1,0,0,0,0,0,138,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,8.2902,,,,,,,,,,,,,,,,,,,,,,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1718,27,-73,1,0,0,response3disk,,4,8,5,1,0,0,rectangle,8,5,1,0,0,8,5,1,0,0,0,1,1,102,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.773,,,,,,,,,,,,,,,,,,,,,,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3996,-41,-61,1,0,0,response5disk,,3,5,4,1,0,0,rectangle,5,4,1,0,0,5,4,1,0,0,0,2,2,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.8736,,,,,,,,,,,,,,,,,,,,,,60ff8160e8f2227f8b200510,61036ee3df579df350590be2,2021-07-29_23h17.51.694,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1037,57,-36,1,0,0,response3disk,,5,-7,-2,1,0,0,rectangle,-85,36,1,0,0,-15,-6,1,0,0,0,3,3,87,1,,response7disk_3,TRUE,1,1,"[204,200,323,38,205,174,59,95,84,283,61,25,279,216,4,306,320,86,231,291]",2.9758,rectangle
