key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,13.8208,space,12.8967,space,19.8848,space,3.2846,space,0.9,space,5.0762,71,FF,119.9765625,29.546875,1,0,0,response1disk_5,6,6.5714,-3.0625,8.51953125,1,0,0,rectangle_8,-3.0625,8.51953125,1,0,0,-3.0625,8.51953125,1,0,0,0,0,0,3,1,60ff834ced6d44e459722347,61036c3227167b5fe2888614,2021-07-29_22h04.53.382,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,49,PF,34.66015625,72.4375,1,0,0,response1disk_5,7,1.5499,6.90234375,4.515625,1,0,0,rectangle_8,-82.28125,-42.3984375,1,0,0,-16.24609375,-7.9140625,1,0,0,0,1,1,1,1,60ff834ced6d44e459722347,61036c3227167b5fe2888614,2021-07-29_22h04.53.382,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,4.285,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,PF,35.75,52.421875,1,0,0,response1disk_5,7,2.6498,-3.12890625,1.30859375,1,0,0,rectangle_8,-3.12890625,1.30859375,1,0,0,-3.12890625,1.30859375,1,0,0,0,2,2,6,1,60ff834ced6d44e459722347,61036c3227167b5fe2888614,2021-07-29_22h04.53.382,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,48,FF,37.04296875,65.796875,1,0,0,response1disk_5,7,1.2657,9.4921875,2.30078125,1,0,0,rectangle_8,9.4921875,2.30078125,1,0,0,9.4921875,2.30078125,1,0,0,0,3,3,0,1,60ff834ced6d44e459722347,61036c3227167b5fe2888614,2021-07-29_22h04.53.382,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,32,PF,78.02734375,32.58203125,1,0,0,response1disk_5,6,1.6666,16.94921875,-3.421875,1,0,0,rectangle_8,-74.5,-42.1328125,1,0,0,-13.765625,-14.59375,1,0,0,0,4,4,2,1,60ff834ced6d44e459722347,61036c3227167b5fe2888614,2021-07-29_22h04.53.382,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,1.9664,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,PF,-57.69921875,99.71875,1,0,0,response7disk_5,0,2.1361,-1.57421875,0.65234375,1,0,0,rectangle_8,-1.57421875,0.65234375,1,0,0,-1.57421875,0.65234375,1,0,0,0,5,5,4,1,60ff834ced6d44e459722347,61036c3227167b5fe2888614,2021-07-29_22h04.53.382,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,FF,-39.93359375,-90.51171875,1,0,0,response5disk_5,3,1.484,11.01953125,-7.31640625,1,0,0,rectangle_8,11.01953125,-7.31640625,1,0,0,11.01953125,-7.31640625,1,0,0,0,6,6,5,1,60ff834ced6d44e459722347,61036c3227167b5fe2888614,2021-07-29_22h04.53.382,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4358,,,,,,,,,,,,,,,,,,,,,,60ff834ced6d44e459722347,61036c3227167b5fe2888614,2021-07-29_22h04.53.382,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,5.0973,3936,-29.94921875,102.9101563,1,0,0,response7disk,,0,-17.8046875,1.79296875,1,0,0,rectangle,-17.8046875,1.79296875,1,0,0,-17.8046875,1.79296875,1,0,0,0,0,0,116,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6314,,,,,,,,,,,,,,,,,,,,,,60ff834ced6d44e459722347,61036c3227167b5fe2888614,2021-07-29_22h04.53.382,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3360,73.20703125,-46.01953125,1,0,0,response3disk,,5,8.43359375,-2.140625,1,0,0,rectangle,8.43359375,-2.140625,1,0,0,8.43359375,-2.140625,1,0,0,0,1,1,90,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0358,,,,,,,,,,,,,,,,,,,,,,60ff834ced6d44e459722347,61036c3227167b5fe2888614,2021-07-29_22h04.53.382,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3272,44.20703125,64.45703125,1,0,0,response1disk,,7,26.21484375,4.53125,1,0,0,rectangle,26.21484375,4.53125,1,0,0,26.21484375,4.53125,1,0,0,0,2,2,79,1,,,,,,,,
