key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.8776,space,840.4629,space,14.2525,space,2.732,space,1.0411,space,2.8659,18,FF,35.1640625,-26.23828125,1,0,0,response3disk_5,5,5.902,-0.0234375,-2.2734375,1,0,0,rectangle_8,-0.0234375,-2.2734375,1,0,0,-0.0234375,-2.2734375,1,0,0,0,0,0,3,1,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,PF,17.3671875,-49.1875,1,0,0,response3disk_5,4,2.5332,0.359375,0.14453125,1,0,0,rectangle_8,16.7890625,53.54296875,1,0,0,-6.234375,4.30859375,1,0,0,0,1,1,1,1,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.9842,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,85,PF,-35.2890625,60.25,1,0,0,response7disk_5,0,3.4845,-7.390625,0.49609375,1,0,0,rectangle_8,-7.390625,0.49609375,1,0,0,-7.390625,0.49609375,1,0,0,0,2,2,4,1,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,99,FF,-48.76171875,-40.19140625,1,0,0,response5disk_5,2,1.3666,1.3515625,3.04296875,1,0,0,rectangle_8,1.3515625,3.04296875,1,0,0,1.3515625,3.04296875,1,0,0,0,3,3,0,1,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,25,PF,-49.5078125,10.38671875,1,0,0,response7disk_5,1,1.217,-18.40625,-11.625,1,0,0,rectangle_8,9.2890625,63.31640625,1,0,0,9.02734375,4.26171875,1,0,0,0,4,4,6,1,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response1disk_7,7,2.0328,7,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,68,FF,22.3671875,-50.01953125,1,0,0,response3disk_5,4,1.9817,-10.42578125,5.1875,1,0,0,rectangle_8,-10.42578125,5.1875,1,0,0,-10.42578125,5.1875,1,0,0,0,5,5,5,1,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,157,PF,-53.69921875,-29.9453125,1,0,0,response5disk_5,2,1.0679,-9.4765625,2.1171875,1,0,0,rectangle_8,-9.4765625,2.1171875,1,0,0,-9.4765625,2.1171875,1,0,0,0,6,6,2,1,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9998,,,,,,,,,,,,,,,,,,,,,,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.9218,3766,-63.9765625,-28.8203125,1,0,0,response5disk,,2,-5.3984375,2.25,1,0,0,rectangle,-5.3984375,2.25,1,0,0,-5.3984375,2.25,1,0,0,0,0,0,135,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8325,,,,,,,,,,,,,,,,,,,,,,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3096,-52.08203125,31.484375,1,0,0,response7disk,,1,-8.4765625,2.296875,1,0,0,rectangle,-8.4765625,2.296875,1,0,0,-8.4765625,2.296875,1,0,0,0,1,1,106,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9,,,,,,,,,,,,,,,,,,,,,,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3900,47.19140625,-29.171875,1,0,0,response3disk,,5,2.70703125,-5.03125,1,0,0,rectangle,2.70703125,-5.03125,1,0,0,2.70703125,-5.03125,1,0,0,0,2,2,108,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6333,,,,,,,,,,,,,,,,,,,,,,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4041,22.515625,-55.03515625,1,0,0,response3disk,,4,9.328125,-5.5703125,1,0,0,rectangle,9.328125,-5.5703125,1,0,0,9.328125,-5.5703125,1,0,0,0,3,3,99,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.2509,,,,,,,,,,,,,,,,,,,,,,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1193,50.1484375,20.1796875,1,0,0,response1disk,,6,-7.890625,-4.60546875,1,0,0,rectangle,-7.890625,-4.60546875,1,0,0,-7.890625,-4.60546875,1,0,0,0,4,4,63,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1825,,,,,,,,,,,,,,,,,,,,,,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,474,33.87109375,55.14453125,1,0,0,response1disk,,7,10.75,0.4140625,1,0,0,rectangle,10.75,0.4140625,1,0,0,10.75,0.4140625,1,0,0,0,5,5,73,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6506,,,,,,,,,,,,,,,,,,,,,,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1564,44.66796875,-26.7109375,1,0,0,response3disk,,5,7.25390625,0.5546875,1,0,0,rectangle,7.25390625,0.5546875,1,0,0,7.25390625,0.5546875,1,0,0,0,6,6,115,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0333,,,,,,,,,,,,,,,,,,,,,,60ff83ae7a31ac64e3f71491,61036e39356b38f01ba123d6,2021-07-29_21h14.05.787,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,738,36.0390625,-18.59765625,1,0,0,response3disk,,5,1.65625,-1.4375,1,0,0,rectangle,1.65625,-1.4375,1,0,0,1.65625,-1.4375,1,0,0,0,7,7,110,1,,,,,,,,
