key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,0.913,space,4.691,space,25.882,space,8.563,space,3.379,space,2.377,24,FF,-32,76,1,0,0,response7disk_5,0,11.319,-2,5,1,0,0,rectangle_8,-2,5,1,0,0,-2,5,1,0,0,0,0,0,0,1,60ff8d646f5ecca6f516a910,610377ecf215faab0a11fde0,2021-07-29_23h55.46.555,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,PF,-30,65,1,0,0,response7disk_5,0,1.85,14,-7,1,0,0,rectangle_8,45,-69,1,0,0,9,-5,1,0,0,0,1,1,2,1,60ff8d646f5ecca6f516a910,610377ecf215faab0a11fde0,2021-07-29_23h55.46.555,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.65,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,86,PF,28,-48,1,0,0,response3disk_5,4,7.317,-6,0,1,0,0,rectangle_8,-6,0,1,0,0,-6,0,1,0,0,0,2,2,6,1,60ff8d646f5ecca6f516a910,610377ecf215faab0a11fde0,2021-07-29_23h55.46.555,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8,PF,25,67,1,0,0,response1disk_5,7,3.833,-10,16,1,0,0,rectangle_8,-10,16,1,0,0,-10,16,1,0,0,0,3,3,4,1,60ff8d646f5ecca6f516a910,610377ecf215faab0a11fde0,2021-07-29_23h55.46.555,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,87,FF,29,64,1,0,0,response1disk_5,7,2.717,16,9,1,0,0,rectangle_8,43,-84,1,0,0,19,3,1,0,0,0,4,4,5,1,60ff8d646f5ecca6f516a910,610377ecf215faab0a11fde0,2021-07-29_23h55.46.555,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response3disk_7,4,2.5,4,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,55,PF,-59,-42,1,0,0,response5disk_5,2,4.3,0,-1,1,0,0,rectangle_8,0,-1,1,0,0,0,-1,1,0,0,0,5,5,1,1,60ff8d646f5ecca6f516a910,610377ecf215faab0a11fde0,2021-07-29_23h55.46.555,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,142,FF,28,48,1,0,0,response1disk_5,7,2,12,-6,1,0,0,rectangle_8,12,-6,1,0,0,12,-6,1,0,0,0,6,6,3,1,60ff8d646f5ecca6f516a910,610377ecf215faab0a11fde0,2021-07-29_23h55.46.555,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.867,,,,,,,,,,,,,,,,,,,,,,60ff8d646f5ecca6f516a910,610377ecf215faab0a11fde0,2021-07-29_23h55.46.555,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.758,4061,47,-27,1,0,0,response3disk,,5,2,4,1,0,0,rectangle,2,4,1,0,0,2,4,1,0,0,0,0,0,90,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.867,,,,,,,,,,,,,,,,,,,,,,60ff8d646f5ecca6f516a910,610377ecf215faab0a11fde0,2021-07-29_23h55.46.555,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,528,76,37,1,0,0,response1disk,,6,22,7,1,0,0,rectangle,22,7,1,0,0,22,7,1,0,0,0,1,1,137,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.833,,,,,,,,,,,,,,,,,,,,,,60ff8d646f5ecca6f516a910,610377ecf215faab0a11fde0,2021-07-29_23h55.46.555,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,886,27,76,1,0,0,response1disk,,7,13,7,1,0,0,rectangle,13,7,1,0,0,13,7,1,0,0,0,2,2,128,1,,,,,,,,
