key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.614,space,3.3168,space,17.1635,space,2.553,space,0.2319,space,3.6721,91,PF,35.33335584,-26.00001508,1,0,0,response3disk_5,5,13.5777,10.00002176,-0.666680992,1,0,0,rectangle_8,10.00002176,-0.666680992,1,0,0,10.00002176,-0.666680992,1,0,0,0,0,0,1,1,60ff8dab5974afca9c2c6816,610367d4a53d4131b64c85df,2021-07-29_20h46.25.808,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,159,PF,70.66669023,-41.33338956,1,0,0,response3disk_5,5,10.5422,12.00002182,0.666652381,1,0,0,rectangle_8,-31.9999795,-112.0000176,1,0,0,-4.666645348,1.999985754,1,0,0,0,1,1,2,1,60ff8dab5974afca9c2c6816,610367d4a53d4131b64c85df,2021-07-29_20h46.25.808,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.6703,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,63,FF,46.66668952,87.33332163,1,0,0,response1disk_5,7,3.3014,12.6666885,-4.666681111,1,0,0,rectangle_8,12.6666885,-4.666681111,1,0,0,12.6666885,-4.666681111,1,0,0,0,2,2,0,1,60ff8dab5974afca9c2c6816,610367d4a53d4131b64c85df,2021-07-29_20h46.25.808,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,PF,101.3333578,-57.33339004,1,0,0,response3disk_5,5,6.3545,-8.666645467,7.333319247,1,0,0,rectangle_8,-8.666645467,7.333319247,1,0,0,-8.666645467,7.333319247,1,0,0,0,3,3,6,1,60ff8dab5974afca9c2c6816,610367d4a53d4131b64c85df,2021-07-29_20h46.25.808,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,35,FF,44.66668946,77.33332133,1,0,0,response1disk_5,7,4.1196,8.000021696,-4.000014424,1,0,0,rectangle_8,-43.99997985,-74.00001651,1,0,0,14.00002187,1.999985754,1,0,0,0,4,4,3,1,60ff8dab5974afca9c2c6816,610367d4a53d4131b64c85df,2021-07-29_20h46.25.808,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,1.5673,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,131,PF,-69.33331394,-46.00001568,1,0,0,response5disk_5,2,2.9847,8.666688383,5.999985874,1,0,0,rectangle_8,8.666688383,5.999985874,1,0,0,8.666688383,5.999985874,1,0,0,0,5,5,4,1,60ff8dab5974afca9c2c6816,610367d4a53d4131b64c85df,2021-07-29_20h46.25.808,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,146,FF,72.66669029,47.33332044,1,0,0,response1disk_5,6,2.5509,16.00002193,-2.666681051,1,0,0,rectangle_8,16.00002193,-2.666681051,1,0,0,16.00002193,-2.666681051,1,0,0,0,6,6,5,1,60ff8dab5974afca9c2c6816,610367d4a53d4131b64c85df,2021-07-29_20h46.25.808,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.2059,,,,,,,,,,,,,,,,,,,,,,60ff8dab5974afca9c2c6816,610367d4a53d4131b64c85df,2021-07-29_20h46.25.808,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.1669,3254,62.00002331,-94.66668379,1,0,0,response3disk,,4,1.333354831,-1.4351E-05,1,0,0,rectangle,1.333354831,-1.4351E-05,1,0,0,1.333354831,-1.4351E-05,1,0,0,0,0,0,61,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.0618,,,,,,,,,,,,,,,,,,,,,,60ff8dab5974afca9c2c6816,610367d4a53d4131b64c85df,2021-07-29_20h46.25.808,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,12,-37.33331299,-92.00001705,1,0,0,response5disk,,3,23.33335549,8.66665262,1,0,0,rectangle,23.33335549,8.66665262,1,0,0,23.33335549,8.66665262,1,0,0,0,1,1,40,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.654,,,,,,,,,,,,,,,,,,,,,,60ff8dab5974afca9c2c6816,610367d4a53d4131b64c85df,2021-07-29_20h46.25.808,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1282,48.00002289,97.33332193,1,0,0,response1disk,,7,7.33335501,-6.66668117,1,0,0,rectangle,7.33335501,-6.66668117,1,0,0,7.33335501,-6.66668117,1,0,0,0,2,2,23,1,,,,,,,,
