key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,10.7819,space,20.7204,space,12.9448,space,7.7513,space,3.121,space,5.7304,57,FF,-32,62.5,1,0,0,response7disk_5,0,3.5888,-18,-4.5,1,0,0,rectangle_8,-18,-4.5,1,0,0,-18,-4.5,1,0,0,0,0,0,5,1,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,152,PF,35,59.5,1,0,0,response1disk_5,7,3.5529,13,-8.5,1,0,0,rectangle_8,-43,-72.5,1,0,0,-1,3.5,1,0,0,0,1,1,6,1,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.6189,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,83,FF,44,-16.5,1,0,0,response3disk_5,5,5.0709,11,4.5,1,0,0,rectangle_8,11,4.5,1,0,0,11,4.5,1,0,0,0,2,2,3,1,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,PF,-36,51.5,1,0,0,response7disk_5,0,3.8699,-18,3.5,1,0,0,rectangle_8,-18,3.5,1,0,0,-18,3.5,1,0,0,0,3,3,2,1,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,111,PF,69,26.5,1,0,0,response1disk_5,6,4.4036,12,-1.5,1,0,0,rectangle_8,-24,-77.5,1,0,0,12,0.5,1,0,0,0,4,4,1,1,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response5disk_7,3,2.1519,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,71,FF,45,-25.5,1,0,0,response3disk_5,5,5.3043,23,3.5,1,0,0,rectangle_8,23,3.5,1,0,0,23,3.5,1,0,0,0,5,5,0,1,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,51,PF,29,62.5,1,0,0,response1disk_5,7,1.618,18,-2.5,1,0,0,rectangle_8,18,-2.5,1,0,0,18,-2.5,1,0,0,0,6,6,4,1,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3521,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,4.1923,750,70,-36.5,1,0,0,response3disk,,5,36,-3.5,1,0,0,rectangle,36,-3.5,1,0,0,36,-3.5,1,0,0,0,0,0,157,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3844,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3806,31,62.5,1,0,0,response1disk,,7,16,-5.5,1,0,0,rectangle,16,-5.5,1,0,0,16,-5.5,1,0,0,0,1,1,50,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8848,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1683,-22,-49.5,1,0,0,response5disk,,3,15,8.5,1,0,0,rectangle,15,8.5,1,0,0,15,8.5,1,0,0,0,2,2,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.9856,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3660,-36,-63.5,1,0,0,response5disk,,3,24,0.5,1,0,0,rectangle,24,0.5,1,0,0,24,0.5,1,0,0,0,3,3,75,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.3355,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1613,63,-23.5,1,0,0,response3disk,,5,33,-4.5,1,0,0,rectangle,33,-4.5,1,0,0,33,-4.5,1,0,0,0,4,4,114,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8518,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,605,30,-53.5,1,0,0,response3disk,,4,27,-5.5,1,0,0,rectangle,27,-5.5,1,0,0,27,-5.5,1,0,0,0,5,5,117,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9517,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3102,19,-49.5,1,0,0,response3disk,,4,27,-7.5,1,0,0,rectangle,27,-7.5,1,0,0,27,-7.5,1,0,0,0,6,6,31,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.186,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1610,-60,-40.5,1,0,0,response5disk,,2,15,-9.5,1,0,0,rectangle,15,-9.5,1,0,0,15,-9.5,1,0,0,0,7,7,131,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5522,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,585,-21,-58.5,1,0,0,response5disk,,3,3,-10.5,1,0,0,rectangle,3,-10.5,1,0,0,3,-10.5,1,0,0,0,8,8,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.5348,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1066,68,34.5,1,0,0,response1disk,,6,21,1.5,1,0,0,rectangle,21,1.5,1,0,0,21,1.5,1,0,0,0,9,9,87,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.5522,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4169,-74,-22.5,1,0,0,response5disk,,2,0,-7.5,1,0,0,rectangle,0,-7.5,1,0,0,0,-7.5,1,0,0,0,10,10,15,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.1529,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1928,60,-26.5,1,0,0,response3disk,,5,13,1.5,1,0,0,rectangle,13,1.5,1,0,0,13,1.5,1,0,0,0,11,11,9,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6012,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3559,-20,-43.5,1,0,0,response5disk,,3,11,4.5,1,0,0,rectangle,11,4.5,1,0,0,11,4.5,1,0,0,0,12,12,112,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.101,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3046,-52,-24.5,1,0,0,response5disk,,2,3,-5.5,1,0,0,rectangle,3,-5.5,1,0,0,3,-5.5,1,0,0,0,13,13,146,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.8681,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1773,30,-50.5,1,0,0,response3disk,,4,19,14.5,1,0,0,rectangle,19,14.5,1,0,0,19,14.5,1,0,0,0,14,14,22,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.4521,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1556,-35,-45.5,1,0,0,response5disk,,3,3,-5.5,1,0,0,rectangle,3,-5.5,1,0,0,3,-5.5,1,0,0,0,15,15,126,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2846,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1687,49,-21.5,1,0,0,response3disk,,5,25,-1.5,1,0,0,rectangle,25,-1.5,1,0,0,25,-1.5,1,0,0,0,16,16,133,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0358,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,367,-73,22.5,1,0,0,response7disk,,1,-3,-14.5,1,0,0,rectangle,-3,-14.5,1,0,0,-3,-14.5,1,0,0,0,17,17,1,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0358,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3267,49,33.5,1,0,0,response1disk,,6,4,-10.5,1,0,0,rectangle,4,-10.5,1,0,0,4,-10.5,1,0,0,0,18,18,153,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6179,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1231,-54,27.5,1,0,0,response7disk,,1,-22,-7.5,1,0,0,rectangle,-22,-7.5,1,0,0,-22,-7.5,1,0,0,0,19,19,80,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.2688,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4124,-34,-48.5,1,0,0,response5disk,,3,0,-11.5,1,0,0,rectangle,0,-11.5,1,0,0,0,-11.5,1,0,0,0,20,20,48,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6681,,,,,,,,,,,,,,,,,,,,,,60ffbf91875b2c515d251452,610376a9ddd5cd2c1be0548f,2021-07-30_13h57.42.754,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1950,58,-23.5,1,0,0,response3disk,,5,30,-7.5,1,0,0,rectangle,30,-7.5,1,0,0,30,-7.5,1,0,0,0,21,21,45,1,,,,,,,,
