key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.1588,space,32.2632,space,23.7003,space,2.1489,space,1.8663,space,3.4174,142,PF,-28.203125,75.49609375,1,0,0,response7disk_5,0,2.3011,8,-2.83984375,1,0,0,rectangle_8,8,-2.83984375,1,0,0,8,-2.83984375,1,0,0,0,0,0,6,1,61003848a370015d74d6b5d2,61036ea5cf576104d41a109d,2021-07-29_23h16.14.759,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,30,PF,31.5703125,73.60546875,1,0,0,response1disk_5,7,1.6653,6.00390625,0.8203125,1,0,0,rectangle_8,-88.2734375,56.3515625,1,0,0,9.6328125,-9.21875,1,0,0,0,1,1,2,1,61003848a370015d74d6b5d2,61036ea5cf576104d41a109d,2021-07-29_23h16.14.759,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.1851,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,3,FF,26.92578125,83.3828125,1,0,0,response1disk_5,7,1.7831,5.56640625,-2.8515625,1,0,0,rectangle_8,5.56640625,-2.8515625,1,0,0,5.56640625,-2.8515625,1,0,0,0,2,2,0,1,61003848a370015d74d6b5d2,61036ea5cf576104d41a109d,2021-07-29_23h16.14.759,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4,PF,67.9609375,31.3828125,1,0,0,response1disk_5,6,0.9666,8.296875,1.84375,1,0,0,rectangle_8,8.296875,1.84375,1,0,0,8.296875,1.84375,1,0,0,0,3,3,4,1,61003848a370015d74d6b5d2,61036ea5cf576104d41a109d,2021-07-29_23h16.14.759,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,145,PF,50.62109375,84.9375,1,0,0,response1disk_5,7,0.8677,-2.25390625,-8.0625,1,0,0,rectangle_8,-81.93359375,40.0546875,1,0,0,2.6328125,-1.1875,1,0,0,0,4,4,1,1,61003848a370015d74d6b5d2,61036ea5cf576104d41a109d,2021-07-29_23h16.14.759,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.5164,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,93,FF,39.86328125,-57.67578125,1,0,0,response3disk_5,4,1.3155,8.47265625,-10.65234375,1,0,0,rectangle_8,8.47265625,-10.65234375,1,0,0,8.47265625,-10.65234375,1,0,0,0,5,5,5,1,61003848a370015d74d6b5d2,61036ea5cf576104d41a109d,2021-07-29_23h16.14.759,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,61,FF,26.46875,60.99609375,1,0,0,response1disk_5,7,1.168,10.58984375,-7.98046875,1,0,0,rectangle_8,10.58984375,-7.98046875,1,0,0,10.58984375,-7.98046875,1,0,0,0,6,6,3,1,61003848a370015d74d6b5d2,61036ea5cf576104d41a109d,2021-07-29_23h16.14.759,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3502,,,,,,,,,,,,,,,,,,,,,,61003848a370015d74d6b5d2,61036ea5cf576104d41a109d,2021-07-29_23h16.14.759,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.1406,472,73.77734375,33.13671875,1,0,0,response1disk,,6,-6.55078125,-3.72265625,1,0,0,rectangle,-6.55078125,-3.72265625,1,0,0,-6.55078125,-3.72265625,1,0,0,0,0,0,149,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9353,,,,,,,,,,,,,,,,,,,,,,61003848a370015d74d6b5d2,61036ea5cf576104d41a109d,2021-07-29_23h16.14.759,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1785,83.85546875,-31.09765625,1,0,0,response3disk,,5,13.9609375,-7.921875,1,0,0,rectangle,13.9609375,-7.921875,1,0,0,13.9609375,-7.921875,1,0,0,0,1,1,141,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0669,,,,,,,,,,,,,,,,,,,,,,61003848a370015d74d6b5d2,61036ea5cf576104d41a109d,2021-07-29_23h16.14.759,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3161,-32.984375,-54.98046875,1,0,0,response5disk,,3,3.16796875,0.03515625,1,0,0,rectangle,3.16796875,0.03515625,1,0,0,3.16796875,0.03515625,1,0,0,0,2,2,46,1,,,,,,,,
