key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.3254,space,9.2931,space,12.7695,space,3.5164,space,4.3303,space,3.6568,68,FF,-78.890625,-47.96875,1,0,0,response5disk_5,2,8.3906,32.8515625,-8.125,1,0,0,rectangle_8,32.8515625,-8.125,1,0,0,32.8515625,-8.125,1,0,0,0,0,0,3,1,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,90,PF,-77.25390625,-50.8515625,1,0,0,response5disk_5,2,3.25,0.9609375,7.08984375,1,0,0,rectangle_8,-82.23828125,27.21875,1,0,0,10.69921875,-6.59765625,1,0,0,0,1,1,1,1,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.8347,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,145,PF,-60.84375,96.3359375,1,0,0,response7disk_5,0,2.7824,-6.5703125,6.515625,1,0,0,rectangle_8,-6.5703125,6.515625,1,0,0,-6.5703125,6.515625,1,0,0,0,2,2,2,1,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,136,PF,-91.33984375,26.828125,1,0,0,response7disk_5,1,1.3824,-3.79296875,-9.8125,1,0,0,rectangle_8,-3.79296875,-9.8125,1,0,0,-3.79296875,-9.8125,1,0,0,0,3,3,6,1,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,68,FF,-72.453125,30.33984375,1,0,0,response7disk_5,1,1.0014,-11.765625,-1.32421875,1,0,0,rectangle_8,-75.46875,51.9140625,1,0,0,-6.6875,-8.7265625,1,0,0,0,4,4,0,1,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.2836,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,88,PF,-70.2734375,26.71875,1,0,0,response7disk_5,1,1.0007,3.24609375,-7.83203125,1,0,0,rectangle_8,3.24609375,-7.83203125,1,0,0,3.24609375,-7.83203125,1,0,0,0,5,5,4,1,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,58,FF,-67.52734375,36.58984375,1,0,0,response7disk_5,1,0.8862,0.640625,-12.1953125,1,0,0,rectangle_8,0.640625,-12.1953125,1,0,0,0.640625,-12.1953125,1,0,0,0,6,6,5,1,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,6.5176,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,1.8937,1500,-75.359375,-32.390625,1,0,0,response5disk,,2,11.9765625,-8.0859375,1,0,0,rectangle,11.9765625,-8.0859375,1,0,0,11.9765625,-8.0859375,1,0,0,0,0,0,18,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.966,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2558,-60.390625,-26.640625,1,0,0,response5disk,,2,-21.42578125,-9.3125,1,0,0,rectangle,-21.42578125,-9.3125,1,0,0,-21.42578125,-9.3125,1,0,0,0,1,1,81,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8668,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2847,-64.2265625,-40.41015625,1,0,0,response5disk,,2,-9.56640625,-10.3671875,1,0,0,rectangle,-9.56640625,-10.3671875,1,0,0,-9.56640625,-10.3671875,1,0,0,0,2,2,56,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8347,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,213,-72.828125,-27.03125,1,0,0,response5disk,,2,-31.76171875,-11.5625,1,0,0,rectangle,-31.76171875,-11.5625,1,0,0,-31.76171875,-11.5625,1,0,0,0,3,3,48,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7824,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2423,-52.78125,-27.359375,1,0,0,response5disk,,2,-0.76953125,-12.3515625,1,0,0,rectangle,-0.76953125,-12.3515625,1,0,0,-0.76953125,-12.3515625,1,0,0,0,4,4,152,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.9004,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,837,-74.91015625,48.30859375,1,0,0,response7disk,,1,-8.84765625,-3.625,1,0,0,rectangle,-8.84765625,-3.625,1,0,0,-8.84765625,-3.625,1,0,0,0,5,5,84,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8666,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,189,-80.60546875,-28.5390625,1,0,0,response5disk,,2,-26.2890625,-12.6484375,1,0,0,rectangle,-26.2890625,-12.6484375,1,0,0,-26.2890625,-12.6484375,1,0,0,0,6,6,109,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1692,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2433,-50.890625,-31.91015625,1,0,0,response5disk,,2,11.93359375,-1.1640625,1,0,0,rectangle,11.93359375,-1.1640625,1,0,0,11.93359375,-1.1640625,1,0,0,0,7,7,89,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7157,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2220,-58.421875,-42.98046875,1,0,0,response5disk,,2,3.62109375,-8.92578125,1,0,0,rectangle,3.62109375,-8.92578125,1,0,0,3.62109375,-8.92578125,1,0,0,0,8,8,66,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.983,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4209,-78.92578125,24.95703125,1,0,0,response7disk,,1,15.15234375,-12.95703125,1,0,0,rectangle,15.15234375,-12.95703125,1,0,0,15.15234375,-12.95703125,1,0,0,0,9,9,3,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.932,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1068,-33.87890625,-89.828125,1,0,0,response5disk,,3,-7.484375,-11.91796875,1,0,0,rectangle,-7.484375,-11.91796875,1,0,0,-7.484375,-11.91796875,1,0,0,0,10,10,39,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.7493,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,712,-31.8359375,-110.0742188,1,0,0,response5disk,,3,10.328125,17.3359375,1,0,0,rectangle,10.328125,17.3359375,1,0,0,10.328125,17.3359375,1,0,0,0,11,11,111,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6839,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3338,-39.30078125,-88.16015625,1,0,0,response5disk,,3,-11.54296875,5.59375,1,0,0,rectangle,-11.54296875,5.59375,1,0,0,-11.54296875,5.59375,1,0,0,0,12,12,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.5823,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,97,-36.58984375,-82.58203125,1,0,0,response5disk,,3,-4.015625,-0.4453125,1,0,0,rectangle,-4.015625,-0.4453125,1,0,0,-4.015625,-0.4453125,1,0,0,0,13,13,156,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.483,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,160,-24.421875,-77.94140625,1,0,0,response5disk,,3,-1.078125,1.98046875,1,0,0,rectangle,-1.078125,1.98046875,1,0,0,-1.078125,1.98046875,1,0,0,0,14,14,68,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0504,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1779,-83.375,-55.41796875,1,0,0,response5disk,,2,-20.93359375,6.95703125,1,0,0,rectangle,-20.93359375,6.95703125,1,0,0,-20.93359375,6.95703125,1,0,0,0,15,15,78,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,4286,-38.015625,-73.21484375,1,0,0,response5disk,,3,14.11328125,0.96875,1,0,0,rectangle,14.11328125,0.96875,1,0,0,14.11328125,0.96875,1,0,0,0,16,16,35,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.9834,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1386,20.70703125,-97.0625,1,0,0,response3disk,,4,18.91796875,-3.375,1,0,0,rectangle,27.23828125,89.3203125,1,0,0,8.1953125,-11.19140625,1,0,0,0,17,17,53,1,,response1disk_3,TRUE,7,7,"[198,117,252,58,255,74,115,318,147,143,60,18,70,198,54,178,55,91,322,297]",2.8019,rectangle
,,,,,,,,,,,,,FF,,,,,,,,1.8525,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2332,-49.375,-92.83203125,1,0,0,response5disk,,3,5.59765625,-17.6953125,1,0,0,rectangle,5.59765625,-17.6953125,1,0,0,5.59765625,-17.6953125,1,0,0,0,18,18,38,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.0827,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1582,41.6484375,-97.19921875,1,0,0,response3disk,,4,18.6015625,-15.515625,1,0,0,rectangle,18.6015625,-15.515625,1,0,0,18.6015625,-15.515625,1,0,0,0,19,19,142,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4503,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,619,-36.40625,-105.8632813,1,0,0,response5disk,,3,3.5234375,-8.15234375,1,0,0,rectangle,3.5234375,-8.15234375,1,0,0,3.5234375,-8.15234375,1,0,0,0,20,20,41,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2655,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1378,-35.5,-90.12890625,1,0,0,response5disk,,3,10.18359375,1.3046875,1,0,0,rectangle,10.18359375,1.3046875,1,0,0,10.18359375,1.3046875,1,0,0,0,21,21,30,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.935,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,78,-66.35546875,-33.75390625,1,0,0,response5disk,,2,4.12890625,-0.40234375,1,0,0,rectangle,4.12890625,-0.40234375,1,0,0,4.12890625,-0.40234375,1,0,0,0,22,22,136,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1831,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2741,27.80859375,-102.2109375,1,0,0,response3disk,,4,2.80078125,-6.07421875,1,0,0,rectangle,2.80078125,-6.07421875,1,0,0,2.80078125,-6.07421875,1,0,0,0,23,23,12,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3495,,,,,,,,,,,,,,,,,,,,,,61003a235712401f910e230b,61036d7ee7004541069fe290,2021-07-29_23h12.42.770,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1298,-87.07421875,-35.0625,1,0,0,response5disk,,2,3.66796875,-6.76171875,1,0,0,rectangle,3.66796875,-6.76171875,1,0,0,3.66796875,-6.76171875,1,0,0,0,24,24,34,1,,,,,,,,
