key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,20.6963,space,14.3811,space,25.722,space,14.5832,space,1.5919,space,3.5102,35,PF,-54,135,1,0,0,response7disk_5,0,1.7853,-15,15,1,0,0,rectangle_8,-15,15,1,0,0,-15,15,1,0,0,0,0,0,1,1,61003d8e60e719291869b354,61036a8478938179e74f5788,2021-07-29_22h00.43.525,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,54,PF,-38,124,1,0,0,response7disk_5,0,4.0088,-8,-15,1,0,0,rectangle_8,-98,47,1,0,0,10,-7,1,0,0,0,1,1,2,1,61003d8e60e719291869b354,61036a8478938179e74f5788,2021-07-29_22h00.43.525,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.2158,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,21,PF,-61,136,1,0,0,response7disk_5,0,2.4031,0,-1,1,0,0,rectangle_8,0,-1,1,0,0,0,-1,1,0,0,0,2,2,4,1,61003d8e60e719291869b354,61036a8478938179e74f5788,2021-07-29_22h00.43.525,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,43,FF,-45,-151,1,0,0,response5disk_5,3,4.0422,-3,-7,1,0,0,rectangle_8,-3,-7,1,0,0,-3,-7,1,0,0,0,3,3,3,1,61003d8e60e719291869b354,61036a8478938179e74f5788,2021-07-29_22h00.43.525,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,147,PF,-118,-50,1,0,0,response5disk_5,2,1.3629,-7,-14,1,0,0,rectangle_8,-112,50,1,0,0,-12,-3,1,0,0,0,4,4,6,1,61003d8e60e719291869b354,61036a8478938179e74f5788,2021-07-29_22h00.43.525,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.5211,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,24,FF,47,142,1,0,0,response1disk_5,7,1.5009,-7,7,1,0,0,rectangle_8,-7,7,1,0,0,-7,7,1,0,0,0,5,5,5,1,61003d8e60e719291869b354,61036a8478938179e74f5788,2021-07-29_22h00.43.525,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,107,FF,-115,-61,1,0,0,response5disk_5,2,1.7225,0,0,1,0,0,rectangle_8,0,0,1,0,0,0,0,1,0,0,0,6,6,0,1,61003d8e60e719291869b354,61036a8478938179e74f5788,2021-07-29_22h00.43.525,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.0689,,,,,,,,,,,,,,,,,,,,,,61003d8e60e719291869b354,61036a8478938179e74f5788,2021-07-29_22h00.43.525,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.8692,2901,-103,-43,1,0,0,response5disk,,2,-11,-1,1,0,0,rectangle,-11,-1,1,0,0,-11,-1,1,0,0,0,0,0,147,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.7226,,,,,,,,,,,,,,,,,,,,,,61003d8e60e719291869b354,61036a8478938179e74f5788,2021-07-29_22h00.43.525,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,316,-52,114,1,0,0,response7disk,,0,-2,-4,1,0,0,rectangle,-2,-4,1,0,0,-2,-4,1,0,0,0,1,1,62,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8752,,,,,,,,,,,,,,,,,,,,,,61003d8e60e719291869b354,61036a8478938179e74f5788,2021-07-29_22h00.43.525,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3280,-73,106,1,0,0,response7disk,,0,-14,5,1,0,0,rectangle,-14,5,1,0,0,-14,5,1,0,0,0,2,2,71,1,,,,,,,,
