key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,23.0467,space,6.1765,space,6.3143,space,7.6344,space,3.1752,space,3.1049,122,FF,93.578125,45.125,1,0,0,response1disk_5,6,4.4847,-14.921875,-5.62890625,1,0,0,rectangle_8,-14.921875,-5.62890625,1,0,0,-14.921875,-5.62890625,1,0,0,0,0,0,5,1,610040fd17c5a03d279f90f3,610377da6925e7b72ab71a4f,2021-07-29_23h56.27.795,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,19,FF,67.9921875,-99.9921875,1,0,0,response3disk_5,4,3.2576,1.5,-3.609375,1,0,0,rectangle_8,-37.37890625,74.3515625,1,0,0,-3.83203125,-10.57421875,1,0,0,0,1,1,3,1,610040fd17c5a03d279f90f3,610377da6925e7b72ab71a4f,2021-07-29_23h56.27.795,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.406,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,150,FF,-65.0390625,-37.953125,1,0,0,response5disk_5,2,1.5879,1.609375,-7.76171875,1,0,0,rectangle_8,1.609375,-7.76171875,1,0,0,1.609375,-7.76171875,1,0,0,0,2,2,0,1,610040fd17c5a03d279f90f3,610377da6925e7b72ab71a4f,2021-07-29_23h56.27.795,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,PF,-35.58203125,-81.80859375,1,0,0,response5disk_5,3,1.4861,9.62890625,4.65625,1,0,0,rectangle_8,9.62890625,4.65625,1,0,0,9.62890625,4.65625,1,0,0,0,3,3,2,1,610040fd17c5a03d279f90f3,610377da6925e7b72ab71a4f,2021-07-29_23h56.27.795,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,39,PF,57.6875,88.58203125,1,0,0,response1disk_5,7,2.0888,16.13671875,17.7890625,1,0,0,rectangle_8,-32.2421875,68.5078125,1,0,0,-0.92578125,-3.83203125,1,0,0,0,4,4,1,1,610040fd17c5a03d279f90f3,610377da6925e7b72ab71a4f,2021-07-29_23h56.27.795,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response7disk_7,0,2.3565,0,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,106,PF,-85.94140625,-48.046875,1,0,0,response5disk_5,2,2.5562,7.64453125,-8.453125,1,0,0,rectangle_8,7.64453125,-8.453125,1,0,0,7.64453125,-8.453125,1,0,0,0,5,5,6,1,610040fd17c5a03d279f90f3,610377da6925e7b72ab71a4f,2021-07-29_23h56.27.795,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,34,PF,49.2109375,68.3203125,1,0,0,response1disk_5,7,1.5205,10.9375,-16.12109375,1,0,0,rectangle_8,10.9375,-16.12109375,1,0,0,10.9375,-16.12109375,1,0,0,0,6,6,4,1,610040fd17c5a03d279f90f3,610377da6925e7b72ab71a4f,2021-07-29_23h56.27.795,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.3208,,,,,,,,,,,,,,,,,,,,,,610040fd17c5a03d279f90f3,610377da6925e7b72ab71a4f,2021-07-29_23h56.27.795,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,2.6799,374,-74.82421875,-44.859375,1,0,0,response5disk,,2,-9.859375,-8.0390625,1,0,0,rectangle,-9.859375,-8.0390625,1,0,0,-9.859375,-8.0390625,1,0,0,0,0,0,101,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1189,,,,,,,,,,,,,,,,,,,,,,610040fd17c5a03d279f90f3,610377da6925e7b72ab71a4f,2021-07-29_23h56.27.795,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3485,-39.2109375,-95.05859375,1,0,0,response5disk,,3,5.671875,-4.4765625,1,0,0,rectangle,5.671875,-4.4765625,1,0,0,5.671875,-4.4765625,1,0,0,0,1,1,122,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.1522,,,,,,,,,,,,,,,,,,,,,,610040fd17c5a03d279f90f3,610377da6925e7b72ab71a4f,2021-07-29_23h56.27.795,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1444,41.2734375,103.1015625,1,0,0,response1disk,,7,4.86328125,-8.14453125,1,0,0,rectangle,4.86328125,-8.14453125,1,0,0,4.86328125,-8.14453125,1,0,0,0,2,2,90,1,,,,,,,,
