key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,2.5846,space,108.5601,space,0.8636,space,0.6679,space,1.9838,space,4.1862,62,FF,31.57421875,-74.7265625,1,0,0,response3disk_5,4,8.4219,-1.328125,-4.5,1,0,0,rectangle_8,-1.328125,-4.5,1,0,0,-1.328125,-4.5,1,0,0,0,0,0,5,1,6100432a67ad454d0a623a03,61036ea5445ee569e534157f,2021-07-29_23h16.11.051,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,158,PF,34.5390625,28.12890625,1,0,0,response1disk_5,6,3.0489,0.66015625,-6.17578125,1,0,0,rectangle_8,-64.03515625,-26.9375,1,0,0,-3.96484375,-0.87109375,1,0,0,0,1,1,2,1,6100432a67ad454d0a623a03,61036ea5445ee569e534157f,2021-07-29_23h16.11.051,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,3.7657,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,PF,-79.82421875,39.02734375,1,0,0,response7disk_5,1,10.1173,5.6953125,-2.7734375,1,0,0,rectangle_8,5.6953125,-2.7734375,1,0,0,5.6953125,-2.7734375,1,0,0,0,2,2,4,1,6100432a67ad454d0a623a03,61036ea5445ee569e534157f,2021-07-29_23h16.11.051,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,97,PF,-28.625,-70.51171875,1,0,0,response5disk_5,3,10.8342,-11.3125,-0.296875,1,0,0,rectangle_8,-11.3125,-0.296875,1,0,0,-11.3125,-0.296875,1,0,0,0,3,3,1,1,6100432a67ad454d0a623a03,61036ea5445ee569e534157f,2021-07-29_23h16.11.051,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,107,PF,81.4921875,-34.19140625,1,0,0,response3disk_5,5,1.6997,-2.00390625,0.16796875,1,0,0,rectangle_8,-75.26171875,-47.09765625,1,0,0,-17.75390625,3.13671875,1,0,0,0,4,4,6,1,6100432a67ad454d0a623a03,61036ea5445ee569e534157f,2021-07-29_23h16.11.051,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,2,8.8657,2,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,89,FF,-46.9140625,69.9375,1,0,0,response7disk_5,0,2.1673,-9.66015625,9.71484375,1,0,0,rectangle_8,-9.66015625,9.71484375,1,0,0,-9.66015625,9.71484375,1,0,0,0,5,5,3,1,6100432a67ad454d0a623a03,61036ea5445ee569e534157f,2021-07-29_23h16.11.051,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,FF,-28.9765625,50.32421875,1,0,0,response7disk_5,0,1.2156,-6.0234375,9.6484375,1,0,0,rectangle_8,-6.0234375,9.6484375,1,0,0,-6.0234375,9.6484375,1,0,0,0,6,6,0,1,6100432a67ad454d0a623a03,61036ea5445ee569e534157f,2021-07-29_23h16.11.051,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.0171,,,,,,,,,,,,,,,,,,,,,,6100432a67ad454d0a623a03,61036ea5445ee569e534157f,2021-07-29_23h16.11.051,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,11.6744,3488,65.33984375,-37.359375,1,0,0,response3disk,,5,13.11328125,2.015625,1,0,0,rectangle,13.11328125,2.015625,1,0,0,13.11328125,2.015625,1,0,0,0,0,0,9,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.4003,,,,,,,,,,,,,,,,,,,,,,6100432a67ad454d0a623a03,61036ea5445ee569e534157f,2021-07-29_23h16.11.051,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,1442,-87.53125,44.7890625,1,0,0,response7disk,,1,-11.3984375,7.08984375,1,0,0,rectangle,-11.3984375,7.08984375,1,0,0,-11.3984375,7.08984375,1,0,0,0,1,1,10,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,0.8841,,,,,,,,,,,,,,,,,,,,,,6100432a67ad454d0a623a03,61036ea5445ee569e534157f,2021-07-29_23h16.11.051,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,2869,74.63671875,-49.4140625,1,0,0,response3disk,,5,4.91796875,-3.7734375,1,0,0,rectangle,4.91796875,-3.7734375,1,0,0,4.91796875,-3.7734375,1,0,0,0,2,2,36,1,,,,,,,,
