key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.9376,space,23.018855,space,14.860135,space,10.872505,space,5.186380001,space,3.250235,126,FF,18,56,1,0,0,response1disk_5,7,6.23666,-11,0,1,0,0,rectangle_8,-11,0,1,0,0,-11,0,1,0,0,0,0,0,5,1,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,136,PF,75,26,1,0,0,response1disk_5,6,6.048555,-8,6,1,0,0,rectangle_8,-84,42,1,0,0,0,2,1,0,0,0,1,1,4,1,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,3.258134999,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,153,PF,42,69,1,0,0,response1disk_5,7,3.191625,-6,3,1,0,0,rectangle_8,-6,3,1,0,0,-6,3,1,0,0,0,2,2,2,1,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,FF,35,80,1,0,0,response1disk_5,7,3.972855,-3,-2,1,0,0,rectangle_8,-3,-2,1,0,0,-3,-2,1,0,0,0,3,3,0,1,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,64,PF,35,90,1,0,0,response1disk_5,7,4.155995,1,-7,1,0,0,rectangle_8,-72,45,1,0,0,-16,3,1,0,0,0,4,4,1,1,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.24416,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,74,PF,-69,-32,1,0,0,response5disk_5,2,3.441225001,5,2,1,0,0,rectangle_8,5,2,1,0,0,5,2,1,0,0,0,5,5,6,1,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,116,FF,88,-41,1,0,0,response3disk_5,5,5.119645,4,11,1,0,0,rectangle_8,4,11,1,0,0,4,11,1,0,0,0,6,6,3,1,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,3.258330001,,,,,,,,,,,,,,,,,,,,,,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,2.944865,521,40,87,1,0,0,response1disk,,7,-7,8,1,0,0,rectangle,-7,8,1,0,0,-7,8,1,0,0,0,0,0,98,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.892759999,,,,,,,,,,,,,,,,,,,,,,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2837,-29,-75,1,0,0,response5disk,,3,7,7,1,0,0,rectangle,7,7,1,0,0,7,7,1,0,0,0,1,1,154,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.638895,,,,,,,,,,,,,,,,,,,,,,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,185,-38,95,1,0,0,response7disk,,0,3,3,1,0,0,rectangle,3,3,1,0,0,3,3,1,0,0,0,2,2,132,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.339735,,,,,,,,,,,,,,,,,,,,,,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2701,95,32,1,0,0,response1disk,,6,-2,7,1,0,0,rectangle,-2,7,1,0,0,-2,7,1,0,0,0,3,3,39,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.82098,,,,,,,,,,,,,,,,,,,,,,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4222,72,67,1,0,0,response1disk,,6,6,1,1,0,0,rectangle,6,1,1,0,0,6,1,1,0,0,0,4,4,49,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.128014999,,,,,,,,,,,,,,,,,,,,,,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1932,38,85,1,0,0,response1disk,,7,7,5,1,0,0,rectangle,7,5,1,0,0,7,5,1,0,0,0,5,5,36,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.120615,,,,,,,,,,,,,,,,,,,,,,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2316,75,-41,1,0,0,response3disk,,5,8,-1,1,0,0,rectangle,8,-1,1,0,0,8,-1,1,0,0,0,6,6,150,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.97824,,,,,,,,,,,,,,,,,,,,,,6100434d983910e711b3a504,610365571e1a3fc0e82015cc,2021-07-29_21h38.34.022,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4173,66,44,1,0,0,response1disk,,6,10,2,1,0,0,rectangle,10,2,1,0,0,10,2,1,0,0,0,7,7,9,1,,,,,,,,
