key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,mouse_11.clicked_name,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1
space,2.3512,space,14.4752,space,7.1838,space,6.4056,space,1.4339,space,5.3985,63,PF,-33.09375,-98.7578125,1,0,0,response5disk_5,3,9.6051,-7.6015625,-0.6328125,1,0,0,rectangle_8,-7.6015625,-0.6328125,1,0,0,-7.6015625,-0.6328125,1,0,0,0,0,0,2,1,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,98,FF,40.47265625,-99.72265625,1,0,0,response3disk_5,4,7.9181,-10.58984375,7.6640625,1,0,0,rectangle_8,-36.30859375,-105.3671875,1,0,0,10.5703125,1.71875,1,0,0,0,1,1,3,1,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,3.2172,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,121,PF,-52.1640625,80.5,1,0,0,response7disk_5,0,2.0676,-3.90625,-2.3046875,1,0,0,rectangle_8,-3.90625,-2.3046875,1,0,0,-3.90625,-2.3046875,1,0,0,0,2,2,1,1,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,5,PF,-25.1640625,-99.421875,1,0,0,response5disk_5,3,7.9674,14.41015625,-5.37109375,1,0,0,rectangle_8,14.41015625,-5.37109375,1,0,0,14.41015625,-5.37109375,1,0,0,0,3,3,4,1,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,FF,76.76953125,-29.58203125,1,0,0,response3disk_5,5,6.8842,-0.6875,0.63671875,1,0,0,rectangle_8,-35.98046875,-84.37109375,1,0,0,11.66796875,4.7265625,1,0,0,0,4,4,5,1,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,response5disk_7,3,1.9836,3,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1,PF,94.828125,-36.4453125,1,0,0,response3disk_5,5,3.4678,5.33984375,2.8671875,1,0,0,rectangle_8,5.33984375,2.8671875,1,0,0,5.33984375,2.8671875,1,0,0,0,5,5,6,1,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,78,FF,86.31640625,47.6796875,1,0,0,response1disk_5,6,3.1159,-3.55859375,-0.921875,1,0,0,rectangle_8,-3.55859375,-0.921875,1,0,0,-3.55859375,-0.921875,1,0,0,0,6,6,0,1,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,4.9508,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,space,3.7266,1131,-39.30859375,99.93359375,1,0,0,response7disk,,0,-7.8203125,-2.12890625,1,0,0,rectangle,72.5703125,31.2890625,1,0,0,response1disk_3,TRUE,6,6,"[30,254,120,68,166,282,179,240,108,73,171,240,122,1,114,229,41,123,172,115]",2.5342,-12.015625,-3.3828125,1,0,0,rectangle,0,0,0,95,1,
,,,,,,,,,,,,,FF,,,,,,,,3.4828,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,273,34.65234375,-86.29296875,1,0,0,response3disk,,4,-10.84765625,-6.11328125,1,0,0,rectangle,-10.84765625,-6.11328125,1,0,0,,,,,,,-10.84765625,-6.11328125,1,0,0,,0,1,1,113,1,
,,,,,,,,,,,,,FF,,,,,,,,2.7825,,,,,,,,,,,,,,,,,,,,,,610048e0cb6a01bb2ac7aa76,61036f729149836248130cf5,2021-07-29_20h19.41.924,Simcolourproject_2stim_asymm_v5,2020.2.10,MacIntel,60,61025ae37ef11b136ea224fe,,,,,,,,,3432,-78.91015625,-47.859375,1,0,0,response5disk,,2,5.41015625,3.1015625,1,0,0,rectangle,5.41015625,3.1015625,1,0,0,,,,,,,5.41015625,3.1015625,1,0,0,,0,2,2,37,1,
