key_resp.keys,key_resp.rt,key_resp_14.keys,key_resp_14.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,practice_comparison,Ecc,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,pracsimilarity,response_time,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,mouse_7.clicked_name,catchpracsimilarity,catch_response_time,catchnumberprac,catchtrialorderprac,mouse_6.clicked_name,key_resp_22.keys,key_resp_22.rt,realcomparison,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,Colour2,similarity,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colour1,mouse_3.clicked_name,catchornah,catchsimilarity,catchnumber,catchtrialorder,catchRT,mouse_11.clicked_name
space,1.2197,space,55.3478,space,44.037,space,12.8805,space,0.9026,space,3.4128,48,FF,27,58,1,0,0,response1disk_5,7,9.9617,0,-5,1,0,0,rectangle_8,0,-5,1,0,0,0,-5,1,0,0,0,0,0,5,1,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,27,FF,-31,-53,1,0,0,response5disk_5,3,4.0256,-13,-5,1,0,0,rectangle_8,-61,25,1,0,0,-3,-7,1,0,0,0,1,1,3,1,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,2.3517,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,40,PF,31,59,1,0,0,response1disk_5,7,2.4759,10,6,1,0,0,rectangle_8,10,6,1,0,0,10,6,1,0,0,0,2,2,4,1,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,142,PF,-24,-48,1,0,0,response5disk_5,3,1.9258,-7,-4,1,0,0,rectangle_8,-7,-4,1,0,0,-7,-4,1,0,0,0,3,3,2,1,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,103,PF,-46,-19,1,0,0,response5disk_5,2,1.6259,-7,0,1,0,0,rectangle_8,-59,30,1,0,0,-3,5,1,0,0,0,4,4,6,1,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,response7disk_7,1,1.4754,1,"[2,5]",rectangle_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,79,FF,-16,-53,1,0,0,response5disk_5,3,5.3264,10,-5,1,0,0,rectangle_8,10,-5,1,0,0,10,-5,1,0,0,0,5,5,0,1,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,28,PF,-22,-41,1,0,0,response5disk_5,3,2.2753,-11,-14,1,0,0,rectangle_8,-11,-14,1,0,0,-11,-14,1,0,0,0,6,6,1,1,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,2.7228,,,,,,,,,,,,,,,,,,,,,,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,space,3.544,2828,58,21,1,0,0,response1disk,,6,30,-7,1,0,0,rectangle,30,-7,1,0,0,30,-7,1,0,0,0,0,0,73,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,5.227,,,,,,,,,,,,,,,,,,,,,,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,1388,35,-23,1,0,0,response3disk,,5,27,-4,1,0,0,rectangle,27,-4,1,0,0,27,-4,1,0,0,0,1,1,7,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.2495,,,,,,,,,,,,,,,,,,,,,,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,2188,50,22,1,0,0,response1disk,,6,34,0,1,0,0,rectangle,20,59,1,0,0,16,3,1,0,0,0,2,2,116,1,,response1disk_3,TRUE,7,7,"[37,319,167,192,173,23,27,43,302,269,323,49,3,157,248,90,66,102,77,297]",1.8517,rectangle
,,,,,,,,,,,,,FF,,,,,,,,3.9226,,,,,,,,,,,,,,,,,,,,,,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,4129,30,-36,1,0,0,response3disk,,4,16,0,1,0,0,rectangle,16,0,1,0,0,16,0,1,0,0,0,3,3,130,1,,,,,,,,
,,,,,,,,,,,,,FF,,,,,,,,1.6007,,,,,,,,,,,,,,,,,,,,,,610049238423f388e4bd4a32,6103686bd281cbf50c8e6ed9,2021-07-29_22h53.23.389,Simcolourproject_2stim_asymm_v5,2020.2.10,Win32,60,61025ae37ef11b136ea224fe,,,,,,,,,3002,18,-30,1,0,0,response3disk,,4,15,-6,1,0,0,rectangle,15,-6,1,0,0,15,-6,1,0,0,0,4,4,13,1,,,,,,,,
